latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.483303,78.57918,250.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,11.9,93,0.00,987.8,5.3,11.0,49,28
2024-01-01T01:00,11.8,94,0.00,988.9,6.0,8.9,32,25
2024-01-01T02:00,12.1,91,0.00,989.4,6.6,10.6,35,29
2024-01-01T03:00,12.9,87,0.00,990.1,7.7,10.2,45,41
2024-01-01T04:00,14.4,81,0.00,990.8,6.9,8.9,40,39
2024-01-01T05:00,16.0,75,0.00,990.7,7.5,9.3,36,35
2024-01-01T06:00,17.5,70,0.00,989.7,7.4,8.9,47,47
2024-01-01T07:00,18.6,68,0.00,988.2,7.7,9.7,63,62
2024-01-01T08:00,19.7,65,0.00,987.2,7.3,8.9,69,70
2024-01-01T09:00,20.3,65,0.00,986.5,5.9,7.1,75,76
2024-01-01T10:00,20.5,65,0.00,986.1,6.8,8.2,61,58
2024-01-01T11:00,19.9,67,0.00,986.0,8.4,11.0,52,50
2024-01-01T12:00,17.4,81,0.00,986.2,6.4,12.0,39,27
2024-01-01T13:00,16.3,84,0.00,987.4,5.8,12.3,58,68
2024-01-01T14:00,16.4,83,0.00,987.9,8.8,16.9,56,55
2024-01-01T15:00,14.5,92,0.00,988.1,7.9,18.4,51,47
2024-01-01T16:00,13.5,95,0.00,988.4,5.9,15.8,49,43
2024-01-01T17:00,12.8,96,0.00,988.4,5.4,13.7,35,20
2024-01-01T18:00,12.1,97,0.00,988.3,5.4,11.4,28,356
2024-01-01T19:00,12.1,97,0.00,988.0,5.1,12.1,23,356
2024-01-01T20:00,11.8,98,0.00,987.6,5.0,12.7,25,360
2024-01-01T21:00,12.5,95,0.00,987.4,6.8,13.8,28,3
2024-01-01T22:00,13.0,92,0.00,987.4,7.6,15.4,33,3
2024-01-01T23:00,13.3,90,0.00,987.3,7.2,14.9,37,18
2024-01-02T00:00,13.4,90,0.00,987.6,6.8,11.8,38,25
2024-01-02T01:00,13.0,89,0.00,988.7,5.2,8.5,36,16
2024-01-02T02:00,13.2,89,0.00,989.1,5.8,9.1,34,22
2024-01-02T03:00,13.8,86,0.00,989.7,5.5,7.7,37,32
2024-01-02T04:00,14.7,83,0.00,990.1,7.0,8.8,55,55
2024-01-02T05:00,15.6,80,0.00,989.9,6.6,7.8,68,68
2024-01-02T06:00,16.5,77,0.00,989.0,7.1,8.6,68,66
2024-01-02T07:00,17.5,75,0.00,987.8,7.6,9.2,64,65
2024-01-02T08:00,18.4,72,0.00,987.0,6.1,7.7,53,50
2024-01-02T09:00,18.5,73,0.00,986.3,6.6,7.9,43,41
2024-01-02T10:00,18.6,73,0.00,985.9,8.0,10.0,38,36
2024-01-02T11:00,18.3,74,0.00,985.9,8.9,11.2,33,32
