latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.224955,77.870895,205.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,5.9,99,0.00,993.3,6.9,11.2,318,321
2024-01-01T01:00,6.8,99,0.00,994.6,7.4,14.5,330,321
2024-01-01T02:00,7.0,96,0.00,995.1,6.3,14.3,348,347
2024-01-01T03:00,7.4,94,0.00,995.7,5.4,11.9,360,356
2024-01-01T04:00,9.0,99,0.00,996.6,6.5,7.2,360,357
2024-01-01T05:00,10.2,95,0.00,996.6,6.6,8.0,352,347
2024-01-01T06:00,12.9,81,0.00,995.9,5.2,6.4,344,344
2024-01-01T07:00,14.7,71,0.00,994.7,3.2,4.0,333,333
2024-01-01T08:00,15.7,68,0.00,993.5,3.4,4.4,325,328
2024-01-01T09:00,16.4,66,0.00,992.6,4.2,5.2,326,329
2024-01-01T10:00,16.6,65,0.00,992.1,4.6,5.9,322,321
2024-01-01T11:00,16.2,66,0.00,992.0,5.1,7.4,317,315
2024-01-01T12:00,13.0,81,0.00,991.8,8.1,9.7,315,302
2024-01-01T13:00,11.3,86,0.00,993.3,6.2,7.9,317,291
2024-01-01T14:00,10.2,90,0.00,993.8,5.8,6.8,302,270
2024-01-01T15:00,8.6,94,0.00,993.9,8.6,9.7,301,285
2024-01-01T16:00,8.3,96,0.00,994.1,6.6,14.3,321,311
2024-01-01T17:00,7.5,97,0.00,994.1,7.5,15.5,335,325
2024-01-01T18:00,6.7,98,0.00,993.8,8.9,14.2,336,328
2024-01-01T19:00,6.3,98,0.00,993.4,8.7,12.9,333,322
2024-01-01T20:00,5.9,99,0.00,992.9,8.5,12.4,334,324
2024-01-01T21:00,5.4,100,0.00,992.8,8.4,11.2,327,317
2024-01-01T22:00,5.2,100,0.00,992.5,7.7,12.0,327,323
2024-01-01T23:00,5.3,100,0.00,992.4,6.3,13.0,336,336
2024-01-02T00:00,5.2,99,0.00,992.4,6.4,14.6,344,344
2024-01-02T01:00,7.1,99,0.00,993.8,5.9,13.0,321,308
2024-01-02T02:00,7.6,98,0.00,994.7,4.3,8.0,306,294
2024-01-02T03:00,8.9,92,0.00,995.5,3.8,6.3,294,287
2024-01-02T04:00,10.2,86,0.00,996.4,5.1,6.4,317,315
2024-01-02T05:00,11.3,80,0.00,996.4,4.3,4.8,312,312
2024-01-02T06:00,12.4,75,0.00,995.5,3.9,4.7,328,326
2024-01-02T07:00,13.7,70,0.00,994.2,4.5,5.2,348,346
2024-01-02T08:00,14.7,67,0.00,993.1,4.1,5.2,344,345
2024-01-02T09:00,15.4,64,0.00,992.2,3.1,3.9,326,324
2024-01-02T10:00,15.5,63,0.00,991.7,3.6,4.1,315,315
2024-01-02T11:00,15.1,64,0.00,991.5,3.8,4.8,312,311
2024-01-02T12:00,12.6,77,0.00,991.6,6.0,6.0,303,287
2024-01-02T13:00,9.9,86,0.00,992.5,5.5,3.9,202,212
2024-01-02T14:00,8.6,92,0.00,992.9,7.7,6.1,230,233
2024-01-02T15:00,7.8,94,0.00,992.9,8.7,7.0,235,232
2024-01-02T16:00,7.2,95,0.00,993.0,9.2,8.1,238,239
