latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.857643,78.77575,204.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,7.4,100,0.00,993.4,6.3,14.3,311,301
2024-01-01T01:00,8.5,99,0.00,994.6,5.6,7.6,315,315
2024-01-01T02:00,8.7,99,0.00,995.3,5.6,6.9,317,315
2024-01-01T03:00,9.2,98,0.00,995.9,6.6,7.9,336,331
2024-01-01T04:00,10.1,97,0.00,996.4,6.6,7.4,331,331
2024-01-01T05:00,11.2,92,0.00,996.4,5.6,6.1,315,315
2024-01-01T06:00,13.1,84,0.00,995.8,4.6,5.4,290,288
2024-01-01T07:00,14.6,78,0.00,994.6,3.6,4.3,270,270
2024-01-01T08:00,16.2,72,0.00,993.4,4.0,5.0,270,270
2024-01-01T09:00,16.8,70,0.00,992.5,5.1,6.1,273,274
2024-01-01T10:00,16.9,69,0.00,991.9,6.2,7.6,278,280
2024-01-01T11:00,16.3,71,0.00,991.8,5.9,9.4,288,284
2024-01-01T12:00,12.8,87,0.00,991.7,9.0,10.8,285,270
2024-01-01T13:00,11.5,89,0.00,992.8,6.2,13.4,284,260
2024-01-01T14:00,10.7,92,0.00,993.5,6.4,13.6,282,254
2024-01-01T15:00,9.8,94,0.00,993.7,5.7,12.1,282,252
2024-01-01T16:00,9.0,96,0.00,993.9,5.7,11.1,283,252
2024-01-01T17:00,8.5,97,0.00,994.1,5.8,11.7,288,263
2024-01-01T18:00,8.2,97,0.00,993.6,5.9,13.4,301,284
2024-01-01T19:00,7.8,98,0.00,993.3,6.0,14.6,310,295
2024-01-01T20:00,7.4,98,0.00,992.9,6.4,14.5,312,297
2024-01-01T21:00,7.0,99,0.00,992.7,6.7,14.8,315,306
2024-01-01T22:00,6.7,99,0.00,992.5,6.4,14.6,320,313
2024-01-01T23:00,7.5,99,0.00,992.6,5.6,14.1,322,320
2024-01-02T00:00,7.8,100,0.00,992.8,6.4,13.8,327,322
2024-01-02T01:00,8.0,99,0.00,993.9,7.6,10.9,316,315
2024-01-02T02:00,8.3,99,0.00,994.7,7.9,10.7,320,321
2024-01-02T03:00,8.7,98,0.00,995.4,8.2,9.5,323,322
2024-01-02T04:00,9.4,97,0.00,996.3,7.6,8.4,313,315
2024-01-02T05:00,10.9,89,0.00,996.4,6.9,7.7,307,309
2024-01-02T06:00,12.1,84,0.00,995.5,5.6,6.6,292,297
2024-01-02T07:00,13.4,79,0.00,994.3,4.6,5.6,285,288
2024-01-02T08:00,15.1,73,0.00,993.2,3.0,3.7,281,284
2024-01-02T09:00,15.8,71,0.00,992.1,2.9,3.6,270,270
2024-01-02T10:00,16.0,71,0.00,991.7,3.7,4.4,279,281
