latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.490334,77.72254,251.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,7.1,100,0.00,987.9,6.1,15.8,319,332
2024-01-01T01:00,7.5,99,0.00,989.5,7.4,12.2,336,337
2024-01-01T02:00,7.8,99,0.00,990.0,6.8,10.9,343,342
2024-01-01T03:00,8.6,98,0.00,990.6,8.0,10.1,354,352
2024-01-01T04:00,9.9,93,0.00,991.1,6.8,7.9,357,357
2024-01-01T05:00,11.6,86,0.00,991.1,5.1,6.1,357,356
2024-01-01T06:00,13.4,80,0.00,990.4,2.7,3.2,333,337
2024-01-01T07:00,15.4,73,0.00,989.2,2.2,2.6,286,279
2024-01-01T08:00,16.7,69,0.00,988.1,4.0,4.7,274,275
2024-01-01T09:00,17.4,66,0.00,987.3,5.5,7.0,282,281
2024-01-01T10:00,17.5,66,0.00,986.8,6.8,8.8,289,288
2024-01-01T11:00,16.8,70,0.00,986.7,6.9,10.5,301,298
2024-01-01T12:00,13.5,86,0.00,986.4,6.5,15.3,311,304
2024-01-01T13:00,11.3,91,0.00,987.6,7.6,18.2,322,315
2024-01-01T14:00,10.3,93,0.00,988.1,6.7,17.1,319,306
2024-01-01T15:00,9.5,95,0.00,988.4,6.9,17.1,319,313
2024-01-01T16:00,8.9,95,0.00,988.6,6.7,17.4,326,324
2024-01-01T17:00,8.2,96,0.00,988.6,5.9,16.2,328,317
2024-01-01T18:00,7.3,98,0.00,988.2,6.0,14.1,320,303
2024-01-01T19:00,7.0,99,0.00,988.0,5.7,14.1,310,288
2024-01-01T20:00,6.7,99,0.00,987.6,5.7,14.7,306,288
2024-01-01T21:00,6.5,99,0.00,987.3,5.8,16.1,309,300
2024-01-01T22:00,6.4,99,0.00,987.0,6.4,17.1,314,313
2024-01-01T23:00,5.9,99,0.00,987.0,6.2,17.2,323,324
2024-01-02T00:00,5.2,100,0.00,987.2,6.9,16.3,329,332
2024-01-02T01:00,6.9,98,0.00,988.7,8.0,11.6,324,324
2024-01-02T02:00,7.1,99,0.00,989.3,6.4,10.1,325,322
2024-01-02T03:00,7.7,98,0.00,990.1,6.5,8.2,331,326
2024-01-02T04:00,8.6,96,0.00,990.9,5.2,5.7,342,335
2024-01-02T05:00,10.5,87,0.00,990.9,3.1,3.4,342,339
2024-01-02T06:00,12.0,81,0.00,990.1,1.1,1.1,252,270
2024-01-02T07:00,13.9,73,0.00,988.8,2.0,2.3,219,225
2024-01-02T08:00,15.2,68,0.00,987.8,1.9,2.3,252,248
2024-01-02T09:00,16.0,65,0.00,986.8,2.5,2.9,270,270
2024-01-02T10:00,16.2,65,0.00,986.4,3.3,4.1,285,283
2024-01-02T11:00,15.6,68,0.00,986.2,4.2,5.5,302,301
2024-01-02T12:00,12.0,86,0.00,986.0,7.7,8.8,325,323
2024-01-02T13:00,10.5,91,0.00,987.1,6.5,11.9,357,354
2024-01-02T14:00,9.1,94,0.00,987.4,5.5,10.2,350,337
2024-01-02T15:00,8.3,96,0.00,987.4,5.9,10.8,334,322
2024-01-02T16:00,7.6,97,0.00,987.8,5.9,10.5,329,322
2024-01-02T17:00,6.9,98,0.00,987.8,6.4,9.0,331,333
