Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,44.02,94.13,9.65,20.35,23.03,13.5,10.57,0.47,9.91,0.25,1.6,0.22,,0.13,0.07,10.13,76.89,0.69,103.02,0.0,0.0,4.66,744.15,-0.16
2024-01-01 01:00:00,43.57,83.62,8.53,19.45,21.34,12.54,10.38,0.46,10.65,0.24,1.65,0.22,,0.12,0.06,9.58,77.9,0.71,124.63,0.0,0.0,4.65,744.04,-0.21
2024-01-01 02:00:00,43.26,75.32,9.29,19.58,21.69,11.53,10.35,0.49,10.29,0.24,1.6,0.25,,0.11,0.06,8.79,74.92,0.92,97.91,0.0,0.0,4.65,744.01,-0.26
2024-01-01 03:00:00,37.94,71.79,9.22,20.14,21.79,11.61,10.73,0.44,11.44,0.23,1.65,0.22,,0.1,0.05,9.04,77.08,1.11,153.08,0.0,0.0,4.26,743.94,-0.2
2024-01-01 04:00:00,37.0,66.36,9.79,20.33,22.33,11.45,11.04,0.37,11.1,0.24,1.8,0.35,,0.09,0.05,9.33,91.19,1.16,157.51,0.0,0.0,4.84,743.92,-0.22
2024-01-01 05:00:00,33.9,67.36,9.12,20.08,21.64,11.38,11.04,0.34,10.83,0.24,1.8,0.4,,0.08,0.04,9.65,91.82,1.26,183.27,0.0,0.0,4.88,744.02,-0.18
2024-01-01 06:00:00,32.21,65.22,8.77,19.25,20.94,11.93,10.01,0.32,10.36,0.24,1.8,0.32,,0.08,0.04,9.75,90.46,1.25,165.78,0.0,0.0,4.77,744.39,-0.16
2024-01-01 07:00:00,30.74,64.51,8.83,18.33,20.55,12.31,9.32,0.29,7.8,0.23,1.72,0.15,,0.08,0.04,9.96,91.53,1.3,163.1,0.0,0.0,7.4,744.92,-0.12
2024-01-01 08:00:00,32.67,68.77,8.21,18.89,20.46,12.52,11.26,0.34,9.7,0.22,1.62,0.22,,0.08,0.04,10.35,90.8,1.19,156.59,0.01,0.01,21.09,745.33,-0.14
2024-01-01 09:00:00,38.45,79.59,11.41,25.61,25.94,12.42,9.07,0.36,10.86,0.27,1.62,0.22,,0.08,0.04,11.03,73.92,1.0,144.92,0.0,0.0,39.82,745.74,-0.13
2024-01-01 10:00:00,34.31,71.49,6.72,19.98,19.88,12.83,9.13,0.45,11.36,0.22,1.62,0.2,,0.08,0.04,11.44,70.93,1.24,120.95,0.0,0.0,60.93,745.65,-0.12
2024-01-01 11:00:00,41.6,87.36,7.35,21.45,21.21,13.06,9.9,0.41,12.12,0.22,1.68,0.25,,0.07,0.04,12.32,67.74,1.28,150.34,0.0,0.0,91.05,745.26,-0.16
2024-01-01 12:00:00,41.32,82.35,6.99,21.4,20.87,12.37,10.6,0.36,12.24,0.24,1.85,0.3,,0.07,0.04,13.45,62.57,1.09,167.56,0.0,0.0,139.65,744.53,-0.17
2024-01-01 13:00:00,41.96,85.81,6.36,21.23,20.32,10.47,10.32,0.36,12.62,0.24,1.88,0.48,,0.07,0.04,15.23,58.93,1.28,155.77,0.0,0.0,173.52,743.93,-0.18
2024-01-01 14:00:00,39.31,80.36,6.19,20.55,19.59,10.75,10.66,0.33,11.1,0.23,1.92,0.38,,0.07,0.04,15.35,56.78,1.25,173.58,0.0,0.0,147.1,743.47,-0.26
2024-01-01 15:00:00,32.58,69.91,6.73,19.05,19.2,11.59,9.91,0.28,9.15,0.22,1.72,0.35,,0.07,0.04,15.33,56.97,0.99,136.92,0.0,0.0,101.11,743.43,-0.26
2024-01-01 16:00:00,29.35,64.6,6.65,18.54,18.91,11.98,9.51,0.29,8.64,0.21,1.65,0.22,,0.07,0.03,14.77,62.04,0.91,154.07,0.0,0.0,50.33,743.38,-0.31
2024-01-01 17:00:00,29.0,61.18,6.89,20.13,20.06,11.74,9.72,0.37,8.79,0.26,1.65,0.22,,0.07,0.04,12.32,64.38,0.95,139.04,0.0,0.0,8.85,743.46,-0.26
2024-01-01 18:00:00,36.12,74.11,8.05,22.41,22.55,11.73,11.25,0.53,9.13,0.23,1.62,0.22,,0.09,0.05,10.94,84.61,0.89,140.93,0.0,0.0,4.67,743.76,-0.26
2024-01-01 19:00:00,51.83,104.42,9.13,23.77,24.36,11.72,12.01,0.61,9.34,0.24,1.62,0.22,,0.11,0.06,10.17,89.09,0.85,136.9,0.0,0.0,3.99,743.85,-0.28
2024-01-01 20:00:00,59.72,111.19,11.48,23.87,26.59,11.99,12.75,0.62,9.14,0.25,1.8,0.22,,0.12,0.07,9.62,77.32,0.75,128.04,0.0,0.0,4.75,743.96,-0.25
2024-01-01 21:00:00,57.53,108.45,12.47,23.02,27.27,12.48,12.99,0.62,8.72,0.27,2.22,0.5,,0.13,0.07,9.08,78.9,0.68,122.21,0.0,0.0,4.87,744.11,-0.28
2024-01-01 22:00:00,55.73,108.13,12.85,22.45,27.75,12.56,12.84,0.62,8.21,0.29,2.15,0.57,,0.14,0.08,8.44,77.86,0.58,101.26,0.0,0.0,4.44,744.19,-0.3
2024-01-01 23:00:00,54.36,109.04,14.29,20.85,28.15,12.7,12.06,0.61,6.56,0.28,1.78,0.1,,0.15,0.08,7.6,73.67,0.51,90.62,0.0,0.0,4.64,743.54,-0.3
2024-01-02 00:00:00,54.52,110.87,15.21,20.34,28.5,12.95,11.87,0.71,9.28,0.28,1.62,0.22,,0.16,0.09,7.57,79.37,0.58,112.5,0.0,0.0,4.64,744.12,-0.31
2024-01-02 01:00:00,49.31,100.23,14.53,19.46,27.17,12.38,12.0,0.73,8.5,0.28,1.62,0.2,,0.16,0.09,6.78,77.87,0.65,116.25,0.0,0.0,4.64,743.89,-0.31
2024-01-02 02:00:00,43.11,84.65,15.4,19.06,27.27,11.17,11.67,0.74,10.11,0.32,1.62,0.25,,0.15,0.09,6.58,79.34,0.64,112.87,0.0,0.0,4.64,743.68,-0.28
2024-01-02 03:00:00,39.4,74.19,13.69,19.3,25.76,11.23,11.93,0.67,10.95,0.27,1.65,0.2,,0.15,0.08,6.75,78.9,0.76,129.29,0.0,0.0,4.2,742.79,-0.26
2024-01-02 04:00:00,37.9,71.31,10.77,19.44,23.32,11.4,12.16,0.6,10.93,0.27,1.7,0.28,,0.14,0.08,6.97,76.97,0.62,107.5,0.0,0.0,4.75,743.39,-0.3
2024-01-02 05:00:00,36.06,70.01,9.89,19.17,22.33,11.5,12.28,0.57,10.7,0.28,2.0,0.35,,0.13,0.08,7.56,78.24,0.49,105.77,0.0,0.0,4.88,742.98,-0.32
2024-01-02 06:00:00,35.18,70.87,9.56,18.86,21.45,11.95,11.36,0.52,10.47,0.27,1.98,0.3,,0.13,0.07,7.79,75.94,0.42,93.73,0.0,0.0,4.84,743.9,-0.26
2024-01-02 07:00:00,39.92,82.93,13.13,21.4,26.04,12.64,10.42,0.52,6.21,0.27,1.78,0.0,,0.13,0.07,8.16,75.76,0.42,85.44,0.0,0.0,5.06,743.92,-0.25
2024-01-02 08:00:00,46.42,93.6,12.28,18.38,24.68,13.15,10.68,0.59,8.04,0.26,1.6,0.2,,0.14,0.08,8.97,79.35,0.6,80.24,0.0,0.0,13.94,745.04,-0.2
2024-01-02 09:00:00,47.51,102.68,10.39,20.18,24.18,13.4,10.87,0.61,8.65,0.27,1.6,0.22,,0.15,0.08,9.51,91.86,0.67,113.5,0.0,0.0,22.89,745.46,-0.18
2024-01-02 10:00:00,61.51,124.34,8.22,22.02,23.11,13.33,10.88,0.66,8.8,0.28,1.65,0.22,,0.14,0.08,10.18,89.63,0.74,102.88,0.0,0.0,35.89,745.36,-0.2
2024-01-02 11:00:00,61.72,130.49,5.37,16.24,18.03,12.37,11.54,0.6,10.66,0.25,1.62,0.22,,0.13,0.07,10.69,84.95,0.82,123.52,0.0,0.0,46.97,744.84,-0.22
2024-01-02 12:00:00,67.32,138.61,6.62,22.59,21.48,10.73,12.13,0.53,11.88,0.27,1.98,0.4,,0.12,0.07,11.66,70.04,0.9,127.28,0.0,0.0,60.79,744.2,-0.24
2024-01-02 13:00:00,72.09,140.03,6.86,23.16,22.13,11.18,11.8,0.52,11.93,0.27,2.05,0.4,,0.12,0.07,12.46,68.6,1.12,145.06,0.0,0.0,76.26,743.64,-0.18
2024-01-02 14:00:00,71.86,140.06,6.66,22.57,21.52,12.33,11.71,0.49,11.19,0.26,2.05,0.48,,0.11,0.06,12.69,64.34,0.87,102.73,0.0,0.0,70.23,743.24,-0.22
2024-01-02 15:00:00,70.7,141.56,7.71,19.96,20.91,12.53,11.01,0.42,8.57,0.25,1.75,0.12,,0.11,0.06,12.57,63.11,0.86,131.59,0.0,0.0,56.44,743.11,-0.19
2024-01-02 16:00:00,67.98,137.95,6.56,21.15,20.59,12.68,10.83,0.44,9.4,0.24,1.6,0.2,,0.11,0.06,11.88,63.28,0.77,118.72,0.0,0.0,40.5,742.97,-0.24
2024-01-02 17:00:00,62.84,125.43,6.68,21.06,20.8,12.86,11.3,0.53,10.08,0.25,1.62,0.2,,0.12,0.06,10.42,68.94,0.53,81.82,0.0,0.0,7.92,742.92,-0.28
2024-01-02 18:00:00,72.4,144.57,8.03,21.76,22.73,12.89,12.3,0.73,10.7,0.26,1.62,0.2,,0.14,0.08,9.42,89.82,0.55,97.43,0.0,0.0,4.67,743.17,-0.31
2024-01-02 19:00:00,83.04,171.7,10.85,25.5,27.84,13.1,14.42,1.02,14.85,0.3,1.62,0.22,,0.2,0.11,8.95,76.1,0.79,168.16,0.0,0.0,4.14,743.21,-0.33
2024-01-02 20:00:00,120.78,249.33,19.42,27.85,36.49,13.79,15.31,1.3,14.6,0.36,2.38,0.35,,0.27,0.15,8.73,78.28,0.84,159.49,0.0,0.0,4.76,743.4,-0.32
2024-01-02 21:00:00,108.56,222.11,22.28,27.67,38.83,14.14,16.11,1.32,13.51,0.45,4.15,0.82,,0.31,0.17,7.96,75.25,0.6,134.5,0.0,0.0,4.88,743.48,-0.33
2024-01-02 22:00:00,100.81,208.37,24.17,25.99,39.24,14.25,15.96,1.38,13.19,0.46,3.95,0.77,,0.33,0.18,7.69,76.15,0.52,142.55,0.0,0.0,4.66,743.56,-0.33
2024-01-02 23:00:00,94.06,188.2,25.42,22.49,37.86,14.12,14.55,1.2,8.65,0.42,2.7,1.25,,0.33,0.18,7.36,78.93,0.61,162.32,0.0,0.0,4.04,743.56,-0.31
2024-01-03 00:00:00,81.26,160.87,26.2,20.76,36.99,13.72,13.98,1.21,9.58,0.38,1.62,0.2,,0.31,0.17,7.11,81.44,0.5,142.86,0.0,0.0,4.65,743.39,-0.29
2024-01-03 01:00:00,71.45,145.28,23.82,19.3,33.86,13.33,13.96,1.13,9.8,0.36,1.65,0.2,,0.28,0.16,7.08,81.81,0.54,156.42,0.0,0.0,4.64,743.39,-0.3
2024-01-03 02:00:00,66.05,131.73,19.23,19.75,30.21,13.32,13.64,1.08,9.24,0.35,1.6,0.25,,0.26,0.14,7.75,78.95,0.79,159.21,0.0,0.0,4.66,743.36,-0.25
2024-01-03 03:00:00,62.76,127.7,11.86,21.23,25.08,13.27,13.73,0.98,9.47,0.34,1.65,0.25,,0.24,0.14,7.68,77.54,0.82,116.92,0.0,0.0,4.29,742.96,-0.26
2024-01-03 04:00:00,59.98,113.21,8.82,20.88,22.34,13.26,14.36,0.82,9.23,0.33,1.75,0.22,,0.22,0.13,7.71,82.14,0.78,136.8,0.0,0.0,4.75,743.0,-0.27
2024-01-03 05:00:00,47.77,97.63,8.39,20.48,21.72,13.15,14.12,0.76,8.82,0.33,2.2,0.3,,0.2,0.11,7.47,82.5,0.72,120.79,0.0,0.0,4.35,743.26,-0.31
2024-01-03 06:00:00,41.69,86.94,8.62,19.89,21.12,12.9,13.16,0.66,8.55,0.31,2.17,0.4,,0.18,0.1,7.56,78.4,0.52,114.55,0.0,0.0,4.66,743.52,-0.29
2024-01-03 07:00:00,40.07,83.61,13.48,23.01,26.73,12.79,12.39,0.63,8.35,0.29,1.85,0.18,,0.17,0.09,7.59,78.61,0.72,120.17,0.0,0.0,8.94,743.99,-0.24
2024-01-03 08:00:00,39.61,86.88,10.95,19.19,23.49,13.09,12.33,0.66,7.71,0.28,1.65,0.22,,0.17,0.09,8.01,76.15,0.8,130.93,0.0,0.0,28.56,744.01,-0.14
2024-01-03 09:00:00,49.77,108.93,9.56,20.28,22.96,13.17,12.77,0.71,8.64,0.33,2.45,0.22,,0.16,0.1,9.15,93.2,1.1,147.33,0.0,0.0,51.05,744.96,-0.13
2024-01-03 10:00:00,59.03,127.43,12.8,26.15,26.23,13.07,12.77,0.78,10.55,0.28,1.65,0.22,,0.16,0.09,9.66,84.37,1.03,112.11,0.0,0.0,66.26,744.37,-0.1
2024-01-03 11:00:00,71.67,158.05,8.36,26.04,21.63,14.84,13.66,0.76,12.01,0.28,1.62,0.25,,0.16,0.09,11.05,86.56,1.16,97.71,0.0,0.0,72.19,744.55,-0.12
2024-01-03 12:00:00,80.06,181.46,7.84,26.18,25.58,15.25,13.48,0.62,8.74,0.31,2.17,0.3,,0.16,0.09,11.54,81.94,1.0,104.44,0.0,0.0,47.99,743.35,-0.18
2024-01-03 13:00:00,74.55,167.63,21.55,44.94,31.81,13.47,12.52,0.51,11.12,0.27,2.48,0.4,,0.14,0.07,11.96,82.78,1.22,151.45,0.0,0.0,40.72,743.37,-0.19
2024-01-03 14:00:00,60.44,131.72,7.28,22.33,21.86,13.7,13.19,0.57,11.68,0.28,2.22,0.4,,0.13,0.08,11.9,83.39,1.3,148.85,0.0,0.0,59.25,742.94,-0.15
2024-01-03 15:00:00,53.58,111.9,8.08,20.92,21.76,13.83,12.63,0.52,8.49,0.27,1.85,0.15,,0.13,0.07,11.92,84.93,1.06,152.39,0.0,0.0,27.9,742.83,-0.18
2024-01-03 16:00:00,60.68,127.43,7.96,22.71,22.76,13.58,12.18,0.57,9.74,0.3,2.42,0.15,,0.13,0.07,11.54,86.6,1.46,173.91,0.0,0.0,11.99,742.87,-0.09
2024-01-03 17:00:00,68.26,147.2,8.09,24.04,23.73,13.71,12.24,0.67,10.51,0.26,1.62,0.25,,0.14,0.08,10.87,87.25,1.64,168.95,0.0,0.0,5.61,742.96,-0.08
2024-01-03 18:00:00,73.92,156.24,8.77,24.88,24.92,13.67,13.28,0.8,10.32,0.27,1.62,0.22,,0.15,0.08,10.37,86.94,1.51,155.23,0.0,0.0,4.67,743.1,-0.1
2024-01-03 19:00:00,72.38,149.2,9.42,24.64,25.4,13.62,13.81,0.79,10.24,0.27,1.62,0.22,,0.16,0.09,10.34,87.85,1.2,139.79,0.0,0.0,4.23,743.12,-0.2
2024-01-03 20:00:00,69.86,145.2,10.02,23.94,25.38,13.73,14.11,0.7,9.71,0.28,1.68,0.22,,0.16,0.09,10.43,89.89,1.21,144.75,0.0,0.0,4.77,743.21,-0.2
2024-01-03 21:00:00,65.5,138.54,9.24,22.89,24.0,13.68,14.1,0.65,9.76,0.29,1.88,0.28,,0.16,0.09,10.26,90.94,1.12,153.6,0.0,0.0,4.89,743.36,-0.2
2024-01-03 22:00:00,60.79,128.73,8.97,21.97,23.12,13.67,13.84,0.61,9.48,0.29,2.05,0.48,,0.15,0.09,10.16,91.59,1.5,165.37,0.0,0.0,4.85,743.5,-0.22
2024-01-03 23:00:00,60.0,132.12,10.64,20.16,23.4,13.57,13.16,0.54,7.76,0.28,1.8,0.12,,0.15,0.08,10.02,90.68,1.11,180.58,0.0,0.0,4.39,743.46,-0.21
