Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,26.96,47.69,4.7,22.94,27.88,2.13,30.19,0.56,5.92,0.22,,,,0.07,0.09,11.52,85.4,0.37,105.52,0.0,0.0,0.0,747.22,
2024-01-01 01:00:00,25.42,49.86,25.38,21.94,56.02,2.67,30.14,0.53,5.79,0.22,,,,0.07,0.09,11.34,85.9,0.28,78.28,0.0,0.0,0.0,747.06,
2024-01-01 02:00:00,28.22,50.98,4.35,21.59,26.16,2.15,30.18,0.52,6.32,0.21,,,,0.07,0.08,10.98,86.36,0.44,97.68,0.0,0.0,0.0,746.9,
2024-01-01 03:00:00,27.98,40.76,4.24,20.25,24.82,2.17,30.24,0.48,6.36,0.2,,,,0.07,0.08,10.73,87.38,0.32,88.3,0.0,0.0,0.0,746.86,
2024-01-01 04:00:00,24.66,38.47,4.18,19.51,23.96,2.11,30.28,0.44,6.09,0.16,,,,0.06,0.06,10.72,87.56,0.44,100.36,0.0,0.0,0.0,746.9,
2024-01-01 05:00:00,20.06,35.36,4.12,19.08,23.44,1.96,30.42,0.38,5.6,0.13,,,,0.04,0.05,10.67,86.69,0.45,104.23,0.0,0.0,0.0,747.25,
2024-01-01 06:00:00,20.06,37.91,4.16,19.0,23.44,1.88,30.4,0.34,5.52,0.11,,,,0.04,0.04,10.54,85.74,0.39,116.96,0.0,0.0,0.0,747.76,
2024-01-01 07:00:00,21.48,35.89,4.37,19.13,23.8,1.89,30.38,0.33,5.36,0.1,,,,0.03,0.04,10.58,85.66,0.21,93.61,0.0,0.0,5.15,748.02,
2024-01-01 08:00:00,21.61,43.36,4.45,19.6,24.34,1.84,30.48,0.35,5.26,0.1,,,,0.03,0.04,11.83,82.7,0.38,101.65,0.0,0.0,33.89,748.28,
2024-01-01 09:00:00,24.31,50.42,4.01,19.5,23.76,1.95,30.08,0.35,5.72,0.11,,,,0.03,0.04,13.27,76.86,0.54,119.4,0.0,0.0,76.97,748.9,
2024-01-01 10:00:00,23.66,42.62,4.1,19.3,23.64,2.04,29.9,0.36,6.13,0.11,,,,0.04,0.04,15.93,68.03,0.45,173.63,0.0,0.0,168.18,748.92,
2024-01-01 11:00:00,24.54,43.67,3.88,20.14,24.16,2.32,30.02,0.37,7.14,0.11,,,,0.04,0.04,18.14,61.03,0.67,168.98,0.0,0.0,232.48,748.26,
2024-01-01 12:00:00,25.67,48.6,3.81,20.64,24.72,2.63,30.48,0.38,9.0,0.11,,,,0.04,0.04,19.58,57.38,0.68,143.57,0.0,0.0,251.29,747.46,
2024-01-01 13:00:00,22.88,51.68,3.84,21.24,25.11,2.5,30.84,0.36,8.97,0.09,,,,0.03,0.04,20.33,56.3,0.84,158.63,0.0,0.0,246.74,746.64,
2024-01-01 14:00:00,20.66,43.44,3.82,20.14,24.01,2.35,30.66,0.33,8.41,0.08,,,,0.03,0.03,20.81,55.9,0.62,160.37,0.0,0.0,211.06,746.06,
2024-01-01 15:00:00,21.84,45.72,3.76,19.78,23.72,2.14,30.4,0.32,7.96,0.08,,,,0.02,0.03,20.16,56.84,0.56,113.89,0.03,0.03,150.59,745.58,
2024-01-01 16:00:00,22.14,42.92,3.58,20.02,23.72,1.93,30.22,0.32,7.07,0.08,,,,0.03,0.03,17.22,66.76,0.57,101.7,0.0,0.0,54.52,745.46,
2024-01-01 17:00:00,22.35,47.51,3.78,20.78,24.71,1.96,29.7,0.35,6.96,0.1,,,,0.03,0.04,14.35,77.28,0.56,66.85,0.01,0.01,1.44,745.73,
2024-01-01 18:00:00,26.32,62.04,3.82,25.01,28.56,2.36,29.62,0.46,7.05,0.16,,,,0.05,0.06,12.66,85.22,0.36,65.16,0.0,0.0,0.0,746.22,
2024-01-01 19:00:00,38.56,73.88,4.14,29.36,32.96,2.82,29.79,0.63,7.69,0.24,,,,0.08,0.09,11.87,87.25,0.29,56.02,0.0,0.0,0.0,746.65,
2024-01-01 20:00:00,36.97,76.41,4.32,31.72,35.44,3.62,29.9,0.8,10.19,0.34,,,,0.11,0.14,11.42,88.54,0.29,35.96,0.0,0.0,0.0,746.96,
2024-01-01 21:00:00,42.19,80.09,4.34,31.54,35.12,4.04,30.16,0.91,11.29,0.42,,,,0.14,0.17,10.78,91.4,0.27,49.24,0.0,0.0,0.0,747.18,
2024-01-01 22:00:00,38.82,79.5,4.5,30.88,34.94,3.8,30.18,0.94,10.3,0.44,,,,0.15,0.18,10.22,93.12,0.24,42.36,0.0,0.0,0.0,747.24,
2024-01-01 23:00:00,34.25,66.87,4.67,29.89,34.16,3.48,30.45,0.93,9.25,0.42,,,,0.14,0.17,9.9,94.06,0.36,49.12,0.0,0.0,0.0,747.04,
2024-01-02 00:00:00,33.2,64.65,4.63,27.16,31.67,3.12,30.04,0.88,8.51,0.4,,,,0.13,0.16,9.38,96.19,0.34,83.42,0.0,0.0,0.0,746.65,
2024-01-02 01:00:00,34.62,67.58,4.89,26.78,31.6,3.21,29.96,0.88,8.58,0.4,,,,0.14,0.16,9.02,97.88,0.32,99.08,0.0,0.0,0.0,746.34,
2024-01-02 02:00:00,35.9,73.39,4.81,25.28,30.08,3.18,29.94,0.9,8.36,0.43,,,,0.14,0.17,8.75,98.76,0.32,50.68,0.0,0.0,0.0,746.3,
2024-01-02 03:00:00,34.14,67.9,4.91,25.14,30.14,3.06,29.98,0.9,7.93,0.43,,,,0.14,0.17,8.91,99.04,0.56,87.15,0.0,0.0,0.0,746.23,
2024-01-02 04:00:00,23.08,45.42,5.52,25.14,30.92,3.1,29.92,0.89,7.88,0.43,,,,0.14,0.17,8.63,99.31,0.31,88.39,0.0,0.0,0.0,746.16,
2024-01-02 05:00:00,19.09,34.02,5.1,23.74,29.18,2.7,30.16,0.86,7.54,0.42,,,,0.14,0.17,8.46,99.58,0.6,103.58,0.0,0.0,0.0,746.32,
2024-01-02 06:00:00,18.52,28.4,4.79,22.32,27.5,2.72,30.3,0.83,7.24,0.41,,,,0.14,0.16,8.07,99.68,0.54,104.0,0.0,0.0,0.0,746.89,
2024-01-02 07:00:00,18.51,28.45,4.85,22.16,27.28,2.79,30.2,0.82,7.15,0.4,,,,0.14,0.16,8.06,99.8,0.51,118.31,0.0,0.0,0.63,747.52,
2024-01-02 08:00:00,18.16,31.1,5.0,23.15,28.45,2.46,29.82,0.81,6.21,0.39,,,,0.13,0.16,8.5,99.86,0.46,102.66,0.0,0.0,9.33,748.22,
2024-01-02 09:00:00,18.87,30.76,5.21,26.12,31.53,2.47,30.74,0.82,6.69,0.4,,,,0.13,0.16,9.2,99.9,0.38,101.0,0.0,0.0,24.31,748.73,
2024-01-02 10:00:00,22.78,40.16,5.2,30.07,35.2,2.99,30.24,0.86,8.03,0.43,,,,0.14,0.17,10.07,99.8,0.31,111.58,0.0,0.0,33.08,748.75,
2024-01-02 11:00:00,29.05,64.96,6.86,36.16,32.35,3.47,30.37,0.79,8.94,,,,,,,10.58,99.4,0.77,97.87,0.0,0.0,35.56,747.79,
2024-01-02 12:00:00,34.0,66.3,12.99,26.84,34.99,4.96,30.1,0.81,13.84,0.3,,,,0.14,0.16,12.14,92.1,0.47,138.06,0.0,0.0,56.12,747.44,
2024-01-02 13:00:00,34.7,,3.92,26.79,24.35,8.49,30.46,0.68,17.58,0.41,,,,0.14,0.16,13.23,84.77,0.52,105.58,0.0,0.0,65.98,746.63,
2024-01-02 14:00:00,34.7,,4.18,28.26,31.93,3.94,30.1,0.88,11.5,0.42,,,,0.14,0.17,13.82,82.52,0.57,129.0,0.0,0.0,69.65,746.04,
2024-01-02 15:00:00,,,4.14,26.42,30.33,3.44,30.25,0.88,10.47,0.43,,,,0.14,0.17,13.32,83.89,0.54,137.35,0.0,0.0,48.35,745.58,
2024-01-02 16:00:00,34.46,58.9,4.1,26.52,30.32,3.22,30.52,0.88,9.84,0.44,,,,0.15,0.18,12.39,87.05,0.5,119.7,0.0,0.0,20.62,745.32,
2024-01-02 17:00:00,35.61,65.62,38.9,26.33,78.68,4.18,30.52,0.86,8.99,0.42,,,,0.14,0.17,11.32,90.82,0.65,136.98,0.0,0.0,0.14,745.58,
