Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,95.88,158.62,5.16,48.17,29.77,32.12,10.72,0.58,18.4,0.77,1.86,0.19,,,,15.32,84.0,0.72,179.25,0.0,0.0,11.81,740.25,
2024-01-01 01:00:00,99.06,163.0,4.89,47.35,29.28,32.18,10.14,0.57,21.95,0.77,1.98,0.24,,,,15.19,84.12,0.94,186.06,0.0,0.0,11.88,740.25,
2024-01-01 02:00:00,98.88,164.25,3.71,30.78,19.43,24.22,8.57,0.57,26.27,0.73,1.85,0.28,,,,15.12,83.88,0.88,203.5,0.0,0.0,11.81,740.25,
2024-01-01 03:00:00,96.46,160.12,5.15,42.85,26.93,29.57,8.88,0.49,19.49,0.73,1.81,0.19,,,,15.12,83.38,0.84,202.25,0.0,0.0,11.88,740.25,
2024-01-01 04:00:00,94.88,156.25,4.43,39.23,24.52,29.17,8.5,0.46,16.64,0.73,1.65,0.12,,,,14.97,83.88,1.17,189.56,0.0,0.0,11.75,740.25,
2024-01-01 05:00:00,94.06,157.19,3.81,37.92,23.36,29.94,8.53,0.49,17.95,0.74,1.52,0.1,,,,14.79,84.25,1.41,197.38,0.0,0.0,11.75,740.25,
2024-01-01 06:00:00,87.69,146.88,4.02,37.88,23.59,29.58,8.14,0.61,16.64,1.34,1.41,0.22,,,,14.7,84.56,1.04,232.25,0.0,0.0,11.75,740.44,
2024-01-01 07:00:00,88.19,150.69,4.18,36.73,23.09,29.44,8.01,0.64,34.68,0.99,1.25,0.18,,,,14.52,84.69,1.3,194.69,0.0,0.0,12.44,740.5,
2024-01-01 08:00:00,85.12,148.31,4.25,36.11,24.49,28.17,7.9,0.57,26.9,0.88,1.29,0.19,,,,14.42,84.44,1.37,204.94,0.0,0.0,16.0,740.62,
2024-01-01 09:00:00,79.0,141.31,4.26,34.21,26.15,28.99,8.74,0.49,22.61,0.72,1.06,0.14,,,,14.62,82.88,1.09,188.69,0.0,0.0,26.25,740.75,
