Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,55.18,95.95,2.56,1.64,4.96,7.13,27.72,1.41,2.72,0.85,,,,,,13.18,84.5,0.37,95.86,0.0,0.0,0.3,750.0,
2024-01-01 01:00:00,56.84,103.59,2.65,1.42,4.86,7.62,28.05,1.47,2.7,0.88,,,,,,13.96,84.18,0.57,233.42,0.0,0.0,0.3,750.0,
2024-01-01 02:00:00,61.93,113.94,2.58,1.48,4.82,7.78,27.62,1.25,3.17,0.75,,,,,,14.54,80.84,0.9,286.06,0.0,0.0,0.3,750.0,
2024-01-01 03:00:00,39.24,76.6,2.44,1.6,4.74,7.74,27.68,1.01,3.88,0.6,,,,,,14.65,78.78,0.94,267.58,0.0,0.0,0.3,750.0,
2024-01-01 04:00:00,36.73,60.8,2.54,1.57,4.86,7.51,28.0,0.85,4.22,0.51,,,,,,14.52,78.09,0.91,268.48,0.0,0.0,0.3,750.0,
2024-01-01 05:00:00,32.61,54.21,2.7,1.3,4.84,7.29,27.4,0.77,4.3,0.46,,,,,,14.38,78.15,0.88,253.16,0.0,0.0,0.3,750.0,
2024-01-01 06:00:00,31.82,48.99,2.49,1.74,4.93,7.12,27.46,0.71,4.59,0.42,,,,,,14.21,78.55,0.97,265.6,0.0,0.0,0.31,750.0,
2024-01-01 07:00:00,33.04,56.6,2.53,1.59,4.85,6.95,27.42,0.69,4.35,0.41,,,,,,14.32,77.86,0.77,260.41,0.0,0.0,0.58,750.0,
2024-01-01 08:00:00,31.71,57.5,2.4,1.66,4.74,7.4,27.74,0.66,4.22,0.4,,,,,,14.95,74.95,0.91,235.87,0.0,0.0,1.31,750.0,
2024-01-01 09:00:00,39.26,55.92,2.65,1.54,4.96,6.92,27.63,0.66,4.52,0.4,,,,,,16.15,70.39,0.86,240.23,0.0,0.0,3.35,750.0,
2024-01-01 10:00:00,41.56,68.92,2.48,1.6,4.78,7.51,27.87,0.68,5.77,0.41,,,,,,19.04,61.34,1.06,259.42,0.0,0.0,7.19,750.0,
2024-01-01 11:00:00,36.18,66.73,2.58,1.62,4.92,7.06,27.8,0.69,8.35,0.42,,,,,,20.9,55.35,1.32,251.42,0.0,0.0,7.87,750.0,
2024-01-01 12:00:00,44.78,83.64,2.56,1.57,4.88,7.3,27.79,0.71,9.72,0.43,,,,,,22.04,53.34,1.41,259.73,0.0,0.0,7.52,750.0,
2024-01-01 13:00:00,43.36,73.54,2.41,1.63,4.7,7.58,27.88,0.7,11.88,0.42,,,,,,22.8,51.16,1.32,265.2,0.0,0.0,6.5,750.0,
2024-01-01 14:00:00,42.56,82.56,2.47,1.64,4.81,7.35,28.14,0.69,13.78,0.41,,,,,,23.5,48.98,1.11,264.37,0.0,0.0,5.04,750.0,
2024-01-01 15:00:00,40.63,77.47,2.51,1.68,4.9,7.68,28.13,0.7,12.7,0.42,,,,,,22.58,52.11,1.12,250.64,0.0,0.0,2.38,750.0,
2024-01-01 16:00:00,35.36,80.14,2.52,1.53,4.77,7.95,28.46,0.72,10.73,0.43,,,,,,19.96,61.94,0.82,270.88,0.0,0.0,0.91,750.0,
2024-01-01 17:00:00,45.91,89.72,2.52,1.69,4.91,8.22,28.18,0.82,6.52,0.49,,,,,,17.75,70.18,0.5,190.24,0.0,0.0,0.33,750.0,
2024-01-01 18:00:00,60.15,129.52,2.7,1.49,4.96,8.02,27.94,0.96,4.19,0.57,,,,,,15.7,77.57,0.48,68.0,0.0,0.0,0.3,750.0,
2024-01-01 19:00:00,31.66,101.96,2.51,1.67,4.89,8.64,28.18,1.08,2.66,0.66,,,,,,14.48,80.57,0.36,70.28,0.0,0.0,0.3,750.0,
2024-01-01 20:00:00,,106.65,2.56,1.45,4.76,7.84,27.84,1.19,2.6,0.72,,,,,,13.86,82.18,0.3,54.72,0.0,0.0,0.3,750.0,
2024-01-01 21:00:00,,121.64,2.54,1.68,4.93,8.18,28.02,1.34,2.57,0.8,,,,,,13.86,83.04,0.45,112.96,0.0,0.0,0.3,750.0,
2024-01-01 22:00:00,,128.23,2.49,1.65,4.85,8.17,28.22,1.52,2.54,0.92,,,,,,13.7,83.78,0.42,74.92,0.0,0.0,0.3,750.0,
2024-01-01 23:00:00,,156.36,2.52,1.58,4.82,7.67,28.13,1.83,2.68,1.1,,,,,,13.45,84.38,0.53,147.73,0.0,0.0,0.3,750.0,
2024-01-02 00:00:00,,149.83,2.58,1.5,4.81,7.88,27.9,1.81,2.84,1.08,,,,,,14.42,84.54,0.89,316.8,0.0,0.0,0.3,750.0,
2024-01-02 01:00:00,,135.03,2.48,1.53,4.72,8.53,28.15,1.62,2.78,0.97,,,,,,14.31,84.9,0.93,306.46,0.0,0.0,0.3,750.0,
2024-01-02 02:00:00,,123.52,2.43,1.58,4.69,7.69,27.77,1.49,2.74,0.9,,,,,,13.39,84.63,0.38,107.27,0.0,0.0,0.3,750.0,
2024-01-02 03:00:00,,119.05,2.55,1.31,4.63,7.58,27.98,1.44,2.7,0.86,,,,,,13.16,85.98,0.78,141.43,0.0,0.0,0.3,750.0,
2024-01-02 04:00:00,,106.94,2.53,1.57,4.83,7.82,28.15,1.32,2.67,0.79,,,,,,13.8,86.6,1.28,191.92,0.0,0.0,0.3,750.0,
2024-01-02 05:00:00,,115.1,2.52,1.54,4.79,8.05,28.38,1.23,2.66,0.74,,,,,,13.82,87.06,1.15,189.6,0.0,0.0,0.3,750.0,
2024-01-02 06:00:00,,111.17,2.51,1.57,4.81,7.67,28.04,1.18,2.77,0.7,,,,,,13.64,87.01,1.05,209.36,0.0,0.0,0.32,750.0,
2024-01-02 07:00:00,,86.29,2.55,1.52,4.79,7.81,27.97,1.15,2.74,0.69,,,,,,13.63,87.18,0.85,194.76,0.0,0.0,0.62,750.0,
2024-01-02 08:00:00,,81.49,2.44,1.81,4.93,7.92,28.31,1.16,2.67,0.7,,,,,,14.26,86.81,0.59,151.33,0.0,0.0,1.27,750.0,
2024-01-02 09:00:00,,91.54,2.57,1.44,4.78,7.77,28.28,1.25,2.9,0.75,,,,,,15.63,86.07,0.7,229.74,0.0,0.0,2.26,750.0,
2024-01-02 10:00:00,,108.02,2.56,1.62,4.91,8.78,28.78,1.29,3.64,0.78,,,,,,17.63,79.55,0.97,254.16,0.0,0.0,5.26,750.0,
