Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,43.93,92.72,6.14,18.67,23.59,24.67,17.32,0.84,17.26,0.72,0.0,0.0,,0.46,0.96,13.28,80.56,0.68,186.84,0.0,0.0,47.87,747.19,
2024-01-02,60.07,132.02,7.79,19.72,27.0,24.62,17.34,1.05,19.35,0.9,0.03,0.02,,0.57,1.19,11.82,87.41,0.72,209.95,0.0,0.0,41.72,746.71,
2024-01-03,76.34,140.98,9.32,24.1,32.25,25.94,17.71,1.41,14.74,1.23,0.05,0.03,,0.77,1.62,9.2,94.84,1.25,178.38,0.0,0.0,28.07,746.67,
2024-01-04,65.9,124.63,10.2,22.41,32.27,26.42,18.36,1.44,15.48,1.25,0.08,0.04,,0.78,1.65,11.69,94.59,0.91,184.86,0.0,0.0,24.89,746.53,
2024-01-05,52.95,107.39,8.42,18.15,26.43,25.83,18.53,1.11,17.25,0.96,0.01,0.0,,0.61,1.29,11.74,94.8,2.05,165.49,0.01,0.01,10.21,747.0,
2024-01-06,56.25,116.19,7.22,17.82,24.64,25.84,18.5,0.99,18.66,0.85,0.0,0.0,,0.54,1.13,12.14,89.82,1.77,182.94,0.0,0.0,32.7,748.13,
2024-01-07,56.61,121.58,6.67,18.11,24.52,25.49,18.21,1.03,17.94,0.88,0.01,0.0,,0.56,1.17,12.46,90.97,1.03,179.3,0.0,0.0,23.28,748.5,
2024-01-08,38.92,78.95,6.35,17.24,23.38,24.94,18.27,0.88,17.54,0.76,0.0,0.0,,0.48,1.0,12.16,93.86,0.84,179.55,0.03,0.02,20.18,748.49,
2024-01-09,37.72,74.76,6.57,17.58,23.83,24.79,18.24,0.98,17.36,0.84,0.01,0.0,,0.53,1.11,11.43,94.5,1.09,181.85,0.0,0.0,19.05,748.07,
2024-01-10,54.25,116.77,7.88,18.85,26.09,25.01,18.27,0.82,17.5,0.7,0.02,0.0,,0.45,0.94,11.52,83.83,2.56,190.02,0.0,0.0,48.88,746.61,
2024-01-11,65.52,130.38,9.11,19.56,28.63,25.62,17.64,0.96,13.11,0.79,0.0,0.0,,0.5,1.06,10.04,87.76,0.89,188.81,0.0,0.0,15.18,747.4,
2024-01-12,82.32,183.89,9.6,21.52,30.81,25.35,17.85,1.29,11.8,1.11,0.04,0.01,,0.7,1.45,8.93,91.69,0.66,202.85,0.0,0.0,13.63,746.96,
2024-01-13,73.04,155.46,10.67,19.79,31.21,24.89,19.15,1.26,12.2,1.1,0.01,0.0,,0.69,1.44,9.5,90.17,0.59,188.45,0.0,0.0,31.44,746.34,
2024-01-14,74.13,138.16,9.25,21.55,29.8,24.98,19.71,1.57,12.42,1.36,0.02,0.01,,0.86,1.8,8.83,96.18,0.82,181.38,0.0,0.0,27.86,746.3,
2024-01-15,75.58,135.52,8.11,20.29,26.35,24.84,20.8,1.53,12.41,1.33,0.02,0.01,,0.83,1.75,9.34,96.93,0.69,185.1,0.0,0.0,15.11,746.03,
2024-01-16,77.87,148.95,11.07,21.56,31.83,22.96,19.74,1.37,15.06,1.2,0.04,0.01,,0.76,1.58,8.63,93.72,0.57,215.72,0.0,0.0,28.52,744.98,
2024-01-17,54.07,101.14,10.02,20.36,29.55,24.41,18.39,1.46,13.93,1.27,0.05,0.02,,0.8,1.7,7.97,98.11,0.57,185.11,0.0,0.0,12.98,744.97,
2024-01-18,40.93,77.5,7.88,17.77,24.01,23.71,17.2,1.03,21.05,0.88,0.01,0.0,,0.57,1.19,9.63,94.98,0.59,191.63,0.0,0.0,12.33,746.43,
2024-01-19,50.18,99.46,8.16,16.45,23.96,24.47,17.08,0.87,12.97,0.76,0.01,0.0,,0.48,0.99,10.65,92.57,0.69,171.91,0.0,0.0,6.97,747.75,
2024-01-20,56.02,112.53,7.76,18.71,25.27,23.52,17.35,0.86,13.16,0.74,0.03,0.01,,0.48,0.97,11.48,83.95,0.56,182.32,0.0,0.0,37.87,747.74,
2024-01-21,65.56,131.67,7.87,21.26,27.61,22.27,17.15,1.06,13.08,0.92,0.02,0.0,,0.58,1.19,9.75,91.82,0.76,170.98,0.0,0.0,30.69,746.77,
2024-01-22,67.17,135.16,6.08,18.59,23.01,21.46,18.9,0.79,13.5,0.68,0.0,0.0,,0.44,0.9,10.2,83.72,0.76,185.81,0.04,0.03,31.41,748.3,
2024-01-23,60.6,116.96,9.23,21.27,29.42,21.44,18.0,1.08,12.5,0.93,0.04,0.01,,0.59,1.22,7.09,96.04,0.64,184.95,0.0,0.0,17.34,747.33,
2024-01-24,71.02,147.76,8.79,21.06,28.42,18.99,18.82,1.11,13.75,0.97,0.05,0.02,,0.62,1.27,10.83,86.66,0.64,185.1,0.0,0.0,41.75,747.18,
2024-01-25,66.14,132.19,11.71,23.42,34.58,17.75,18.49,1.29,13.16,1.12,0.01,0.0,,0.71,1.47,10.06,86.58,0.61,176.63,0.0,0.0,51.95,748.82,
2024-01-26,87.5,163.82,8.76,24.32,31.33,18.02,19.37,1.56,13.33,1.35,0.08,0.1,,0.84,1.77,10.9,89.81,0.58,210.89,0.01,0.01,43.66,749.41,
2024-01-27,79.45,154.2,7.7,21.75,27.67,17.9,19.51,1.25,13.2,1.08,0.02,0.01,,0.68,1.42,11.6,91.52,0.88,187.22,0.01,0.01,37.76,747.78,
2024-01-28,63.25,124.64,6.92,19.57,24.96,17.58,18.9,1.12,12.86,0.97,0.01,0.0,,0.61,1.27,10.63,97.04,0.96,175.03,0.0,0.0,9.19,747.84,
2024-01-29,70.78,156.76,10.1,20.91,30.67,17.28,20.92,1.18,14.26,1.02,0.0,0.0,,0.65,1.33,13.91,84.67,0.61,171.94,0.0,0.0,47.69,747.07,
2024-01-30,101.9,194.42,20.89,22.16,43.47,17.22,21.36,1.72,15.26,1.5,0.1,0.05,,0.98,2.02,14.4,86.03,0.49,179.54,0.0,0.0,48.07,746.07,
2024-01-31,79.28,159.27,12.41,20.18,33.25,16.8,20.78,1.41,16.23,1.21,0.02,0.0,,0.77,1.58,14.81,88.9,0.58,178.85,0.04,0.04,38.66,745.62,
