Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,140.53,236.03,12.67,80.74,56.43,41.66,12.59,1.17,11.89,1.4,1.33,4.82,,,,16.89,76.8,1.27,157.41,0.0,0.0,43.56,741.11,
2024-01-02,136.65,249.74,20.33,75.92,60.11,39.5,11.19,1.21,14.94,1.48,1.34,5.29,,,,16.49,72.97,1.3,166.58,0.0,0.0,55.57,740.86,
2024-01-03,150.32,247.89,17.66,62.05,51.44,33.18,11.87,1.57,13.92,2.26,1.83,8.64,,,,15.6,82.75,1.29,151.63,0.0,0.0,39.61,740.8,
2024-01-04,184.22,310.83,25.23,65.96,60.65,35.1,11.78,1.26,9.07,1.37,1.25,4.84,,,,16.53,82.25,1.37,187.0,0.0,0.0,29.89,740.91,
2024-01-05,141.56,253.75,15.28,60.08,47.97,39.28,11.5,1.24,11.22,1.6,1.4,5.94,,,,17.23,84.49,1.16,161.26,0.0,0.0,26.56,740.97,
2024-01-06,146.49,259.23,10.26,59.23,41.86,38.14,12.15,1.47,17.13,1.73,1.48,6.49,,,,16.69,78.21,1.27,150.39,0.0,0.0,42.44,741.35,
2024-01-07,148.45,239.75,11.6,59.73,44.11,36.18,13.87,1.2,28.43,1.54,1.5,5.25,,,,16.49,74.95,1.17,177.08,0.0,0.0,53.64,741.65,
2024-01-08,214.01,374.64,24.57,70.74,62.16,34.59,13.83,1.45,20.66,2.26,2.13,7.83,,,,15.97,79.25,1.01,150.53,0.0,0.0,41.85,741.58,
2024-01-09,119.91,214.0,9.31,45.26,33.77,40.44,10.11,1.04,17.31,1.29,1.21,4.51,,,,15.06,82.1,1.73,159.4,0.0,0.0,33.67,741.5,
2024-01-10,115.72,216.08,10.56,47.54,36.73,41.35,9.35,1.23,17.16,1.51,1.36,5.45,,,,14.39,78.05,1.82,191.35,0.0,0.0,56.21,741.11,
2024-01-11,150.04,278.4,13.93,60.1,45.73,44.77,10.84,1.31,22.1,1.9,1.69,6.9,,,,15.07,72.97,1.37,189.57,0.0,0.0,60.61,741.22,
2024-01-12,162.85,268.39,19.11,67.36,55.65,47.08,13.85,1.38,18.49,1.69,1.46,6.18,,,,15.0,73.38,1.22,181.76,0.0,0.0,63.27,740.89,
2024-01-13,314.61,455.19,45.17,84.96,87.09,49.11,11.27,2.51,17.97,3.94,2.97,15.58,,,,13.89,78.94,0.8,191.04,0.0,0.0,44.31,740.58,
2024-01-14,361.04,445.59,56.56,90.47,99.11,51.76,11.24,2.26,20.74,3.74,2.57,15.37,,,,14.76,74.94,0.92,187.11,0.0,0.0,51.0,740.47,
2024-01-15,173.87,260.37,27.98,77.75,68.9,49.03,13.52,1.6,20.19,2.66,2.27,9.87,,,,15.29,69.22,1.05,165.92,0.0,0.0,63.93,740.27,
2024-01-16,142.84,231.24,12.3,47.03,37.97,51.3,8.08,1.36,15.83,1.76,1.43,6.65,,,,13.27,83.6,1.25,234.83,0.0,0.0,44.3,739.7,
2024-01-17,116.08,207.31,8.48,38.83,29.7,47.83,9.61,1.13,22.54,1.34,1.26,4.7,,,,14.01,76.91,1.24,263.17,0.0,0.0,62.35,739.81,
2024-01-18,89.21,160.6,14.87,43.86,38.31,42.41,7.91,1.17,16.84,1.51,1.27,5.68,,,,13.08,75.98,1.24,267.9,,0.0,,740.5,
2024-01-19,139.23,171.1,11.76,47.36,36.44,37.08,7.86,1.14,15.84,1.36,1.19,5.01,,,,12.83,79.51,1.23,245.0,,0.0,,741.02,
2024-01-20,157.12,230.71,20.15,43.71,39.24,35.96,11.75,1.49,21.13,2.53,2.0,9.75,,,,14.62,75.29,1.05,267.76,0.0,0.0,66.87,741.03,
2024-01-21,162.41,252.42,27.64,52.77,49.92,38.78,10.5,1.46,15.76,2.42,1.9,9.43,,,,13.49,81.37,1.03,220.11,0.0,0.0,15.0,740.91,
2024-01-22,158.85,241.57,8.94,38.06,27.87,38.64,13.88,1.2,18.92,1.75,1.5,6.52,,,,14.24,74.77,1.27,255.18,0.0,0.0,60.16,741.36,
2024-01-23,181.89,266.23,9.09,42.7,31.37,43.14,12.68,1.57,22.29,2.37,1.78,9.44,,,,14.64,77.59,1.18,205.0,0.0,0.0,45.18,740.76,
2024-01-24,193.3,324.19,21.35,61.84,52.58,46.94,17.41,1.75,18.85,2.6,2.01,10.17,,,,15.08,73.81,1.03,162.3,0.0,0.0,47.36,740.73,
2024-01-25,169.13,295.62,29.48,65.45,61.48,49.13,13.73,1.78,19.3,2.49,1.98,9.58,,,,14.98,74.38,1.0,126.63,0.0,0.0,60.94,741.41,
2024-01-26,211.98,333.3,40.01,49.32,59.95,52.38,13.13,2.01,21.08,2.94,2.22,11.63,,,,15.94,74.21,0.81,208.96,0.0,0.0,70.14,741.88,
2024-01-27,133.78,243.77,51.12,64.7,76.92,45.53,12.17,1.97,18.22,3.81,2.7,15.49,,,,17.72,59.51,1.26,213.53,0.0,0.0,70.9,741.16,
2024-01-28,189.86,325.2,70.18,62.08,87.01,49.58,10.41,2.04,2.9,3.4,2.3,14.03,,,,15.55,73.54,1.1,210.48,0.0,0.0,44.35,740.94,
2024-01-29,135.92,257.58,22.42,42.7,41.31,54.2,13.71,1.84,21.45,3.1,2.13,12.75,,,,16.74,72.9,1.08,225.91,0.0,0.0,56.37,740.96,
2024-01-30,198.1,348.48,37.32,68.34,68.93,50.95,12.2,1.97,19.53,3.32,2.25,13.72,,,,16.71,79.13,0.92,171.75,0.0,0.0,43.82,740.63,
2024-01-31,176.12,218.73,31.95,53.47,56.7,51.81,13.72,1.69,17.14,3.07,2.2,12.45,,,,16.31,82.86,1.11,220.95,0.08,0.02,36.78,740.28,
2024-02-01,70.72,70.95,13.08,28.98,26.68,57.78,12.58,1.02,17.93,1.4,1.19,5.21,,,,17.89,78.99,1.56,238.33,0.03,0.01,49.43,740.38,
2024-02-02,90.3,150.2,17.5,44.48,39.07,54.27,12.55,1.32,17.93,1.95,1.44,7.75,,,,17.13,77.04,1.39,192.19,0.0,0.0,82.8,741.32,
2024-02-03,76.79,181.63,26.14,62.07,55.12,43.5,13.87,1.41,15.66,1.66,1.12,6.84,,,,18.59,55.65,1.19,204.61,0.0,0.0,75.2,740.73,
2024-02-04,103.28,184.48,34.09,47.15,54.04,56.22,10.73,1.57,15.35,2.78,1.9,11.54,,,,18.37,75.17,1.13,244.63,0.0,0.0,48.52,740.52,
2024-02-05,67.62,124.69,7.79,28.8,22.2,50.03,11.61,1.09,18.03,1.54,1.18,5.98,,,,18.92,73.11,1.54,223.0,0.0,0.0,91.86,740.7,
2024-02-06,56.27,131.38,10.49,36.02,28.74,39.48,11.92,1.18,22.02,1.79,1.28,7.16,,,,17.44,62.3,1.62,186.49,0.0,0.0,108.43,741.24,
2024-02-07,56.28,137.96,6.15,34.32,23.92,36.95,12.2,1.12,27.94,1.62,1.13,6.64,,,,17.64,53.21,2.12,190.98,0.0,0.0,96.42,741.32,
2024-02-08,58.15,129.64,3.78,29.52,18.75,35.83,15.48,1.06,27.27,1.46,1.11,5.65,,,,17.2,57.1,2.33,202.81,0.0,0.0,97.22,740.74,
2024-02-09,65.88,153.69,24.16,49.94,44.16,33.25,15.77,1.48,34.97,1.67,1.41,6.23,,,,18.92,44.71,1.45,194.09,0.0,0.0,112.16,741.13,
2024-02-10,172.24,324.92,45.28,76.48,75.18,36.94,19.03,1.73,34.77,3.34,2.44,13.33,,,,18.43,56.24,0.84,179.98,0.0,0.0,87.11,741.79,
2024-02-11,152.61,285.92,21.26,64.48,52.4,38.86,14.19,1.4,28.83,2.44,2.27,8.62,,,,19.26,55.31,0.87,182.57,0.0,0.0,93.31,741.76,
2024-02-12,146.43,285.6,33.27,69.1,64.57,37.66,11.98,1.4,20.25,2.75,2.35,10.15,,,,19.14,59.14,0.98,194.0,0.0,0.0,75.68,741.44,
2024-02-13,188.83,349.37,54.7,80.77,87.18,36.86,14.03,1.6,20.05,3.47,2.88,13.11,,,,19.18,60.38,0.67,214.52,0.0,0.0,64.17,741.09,
2024-02-14,168.72,306.98,34.18,65.91,64.21,42.51,11.93,1.25,24.14,2.16,1.75,8.24,,,,19.62,60.54,0.9,221.82,0.0,0.0,65.42,740.94,
2024-02-15,113.49,229.98,20.73,57.19,49.07,37.46,12.75,1.13,25.69,2.29,1.9,8.58,,,,20.44,53.92,1.0,241.7,,0.0,,740.91,
2024-02-16,99.92,221.74,28.48,59.24,56.48,30.54,12.73,1.12,24.51,2.34,2.04,8.54,,,,20.15,48.03,0.82,214.66,0.0,0.0,12.0,741.01,
2024-02-17,104.12,249.72,45.36,66.19,74.86,31.81,11.56,1.34,24.89,3.34,7.19,10.88,,,,20.17,49.63,1.13,221.25,0.0,0.0,80.85,739.79,
2024-02-18,122.64,276.57,59.8,50.06,78.95,39.21,12.72,1.42,29.61,3.03,11.87,9.75,,,,21.09,51.26,1.17,238.57,0.0,0.0,90.22,738.85,
2024-02-19,82.19,211.21,3.21,20.34,14.19,38.97,10.2,0.75,52.07,1.64,4.34,5.21,,,,22.15,50.6,2.24,219.01,0.0,0.0,90.69,738.3,
2024-02-20,113.07,203.06,10.27,30.92,25.84,38.65,9.75,1.15,28.45,2.15,5.69,7.7,,,,22.48,60.84,1.23,223.6,0.09,0.02,94.76,738.19,
2024-02-21,87.6,201.72,12.9,33.64,29.87,37.0,7.67,0.79,30.24,1.95,7.27,6.15,,,,22.36,49.02,1.9,174.67,0.0,0.0,123.96,738.22,
2024-02-22,53.76,156.62,8.02,37.96,27.94,29.77,15.0,0.67,27.45,1.43,5.58,4.5,,,,21.19,43.08,1.57,172.97,0.0,0.0,90.9,739.02,
2024-02-23,46.09,134.41,7.92,40.86,29.29,25.99,13.18,0.71,27.91,1.27,5.78,4.06,,,,19.78,40.6,1.41,177.37,0.0,0.0,57.51,739.9,
2024-02-24,73.66,201.24,24.25,59.76,52.44,25.99,14.37,0.99,26.19,2.43,9.91,8.27,,,,21.12,37.79,1.42,133.58,0.0,0.0,305.0,740.02,
2024-02-25,67.72,159.02,8.43,41.92,26.88,24.63,14.7,0.65,26.06,1.57,4.48,4.94,,,,20.68,36.4,1.34,104.58,,0.0,,740.83,
2024-02-26,65.29,165.72,14.9,47.32,34.54,22.29,18.11,0.8,33.37,1.52,5.79,4.18,,,,20.92,36.68,1.14,127.26,,0.0,,740.73,
2024-02-27,47.78,127.39,9.41,38.1,27.8,26.55,12.66,0.71,22.28,1.65,6.91,6.14,,,,20.84,41.58,1.48,170.26,,0.0,,740.23,
2024-02-28,49.26,126.21,6.09,33.94,23.26,31.02,13.49,0.62,27.78,1.25,4.45,4.38,,,,20.62,47.87,1.52,225.63,,0.0,,740.11,
2024-02-29,50.11,140.78,12.22,48.28,36.09,29.5,13.07,0.84,29.9,1.78,5.53,6.51,,,,21.8,45.48,1.23,233.82,,0.0,,739.76,
