Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,38.02,83.36,4.78,17.3,17.93,6.78,22.27,0.76,7.74,0.43,3.44,6.82,,0.08,0.45,12.25,90.04,0.37,179.14,0.0,0.0,47.78,828.89,-0.16
2024-01-02,55.1,123.63,15.44,20.18,35.41,8.13,23.35,1.77,8.32,0.64,4.17,8.26,,0.18,1.06,16.08,84.5,0.27,162.44,0.0,0.0,82.56,828.65,-0.17
2024-01-03,52.69,112.06,10.39,19.16,27.63,9.03,23.36,1.52,7.6,0.53,3.2,6.41,,0.16,0.91,17.08,90.39,0.33,177.52,0.01,0.01,54.33,828.72,-0.18
2024-01-04,32.12,85.5,9.74,17.21,24.89,9.2,23.53,1.34,7.97,0.52,3.51,6.96,,0.14,0.81,17.82,92.72,0.3,159.21,0.02,0.02,59.1,828.64,-0.18
2024-01-05,24.96,67.84,5.58,14.23,16.75,6.29,19.69,0.92,7.36,0.44,3.21,6.34,,0.09,0.55,17.64,93.0,0.33,183.15,0.0,0.0,32.89,828.67,-0.18
2024-01-06,20.66,56.55,4.8,14.6,15.75,6.06,16.64,0.75,9.29,0.42,3.21,6.35,,0.08,0.46,20.32,90.0,0.32,184.75,0.0,0.0,63.5,828.55,-0.19
2024-01-07,20.26,55.03,3.97,13.6,13.72,5.89,16.77,0.61,10.12,0.39,3.14,6.25,,0.06,0.37,20.37,87.19,0.3,161.34,0.0,0.0,64.63,828.55,-0.19
2024-01-08,20.06,55.67,6.72,17.06,20.2,6.93,17.43,0.73,11.62,0.43,3.68,7.29,,0.08,0.44,19.63,85.97,0.32,152.01,0.0,0.0,103.86,828.5,-0.19
2024-01-09,21.76,59.68,5.9,18.58,20.25,8.11,17.69,0.79,11.82,0.43,3.48,6.88,,0.08,0.47,20.08,84.62,0.43,161.5,0.0,0.0,105.68,828.48,-0.19
2024-01-10,15.72,42.04,3.32,12.81,11.94,5.63,17.08,0.43,10.18,0.36,3.1,6.14,,0.04,0.26,18.93,80.17,0.7,178.45,0.0,0.0,104.34,828.48,-0.18
2024-01-11,16.24,43.94,4.51,15.63,15.72,6.47,17.65,0.51,9.93,0.39,3.33,6.56,,0.07,0.36,13.94,86.13,0.39,165.95,0.0,0.0,73.47,828.82,-0.17
2024-01-12,24.66,64.46,4.12,17.12,15.97,7.35,18.03,0.73,9.69,0.44,3.76,7.45,,0.08,0.44,11.6,90.66,0.39,164.83,0.0,0.0,63.05,828.94,-0.16
2024-01-13,22.62,59.57,3.62,16.06,14.94,6.66,17.66,0.72,11.02,0.41,3.31,6.5,,0.07,0.43,12.31,85.38,0.6,177.68,0.0,0.0,104.14,828.83,-0.16
2024-01-14,23.22,61.83,3.44,15.19,14.46,6.41,17.34,0.79,8.26,0.4,3.06,6.0,,0.08,0.47,10.51,91.74,0.57,177.35,0.0,0.0,57.17,828.98,-0.15
2024-01-15,27.28,70.04,3.82,14.22,13.99,6.09,17.4,0.72,11.24,0.39,3.1,6.06,,0.07,0.43,11.6,82.43,0.48,165.31,0.0,0.0,80.8,828.86,-0.16
2024-01-16,28.56,75.84,3.43,14.96,14.4,6.65,17.21,0.85,8.63,0.42,3.16,6.18,,0.09,0.51,9.9,89.51,0.58,186.72,0.0,0.0,71.96,829.03,-0.14
2024-01-17,21.64,59.02,3.4,11.69,11.72,5.9,16.73,0.4,9.34,0.35,3.06,5.99,,0.04,0.26,11.82,88.03,0.71,179.95,0.0,0.0,40.18,829.0,-0.15
2024-01-18,20.86,56.54,3.94,12.72,13.28,6.11,16.84,0.45,9.75,0.37,3.15,6.19,,0.05,0.29,12.9,85.47,0.51,183.94,0.0,0.0,31.44,828.98,-0.15
2024-01-19,23.46,62.96,3.49,12.98,12.6,6.07,17.1,0.76,11.36,0.41,3.16,6.25,,0.11,0.65,12.46,80.11,0.51,168.38,0.0,0.0,58.08,829.02,-0.15
2024-01-20,24.66,66.21,3.76,14.38,13.96,6.01,17.1,1.07,9.97,0.48,3.48,6.91,,0.11,0.64,12.2,85.29,0.52,167.52,0.0,0.0,103.18,828.99,-0.15
2024-01-21,22.67,60.57,6.26,13.02,16.37,4.44,16.63,0.61,9.94,0.48,4.09,8.12,,0.08,0.41,13.12,85.22,0.52,154.03,0.0,0.0,70.83,828.94,-0.15
2024-01-22,33.66,89.12,9.72,15.24,23.12,4.97,16.89,1.19,9.57,0.66,5.31,10.56,,0.12,0.71,11.32,91.5,0.42,159.97,0.0,0.0,52.31,829.09,-0.15
2024-01-23,25.87,69.76,4.65,14.54,15.29,5.65,17.07,0.96,9.47,0.48,3.81,7.53,,0.1,0.58,12.05,90.47,0.5,169.44,0.0,0.0,85.78,830.37,-0.16
2024-01-24,24.62,69.16,4.47,11.59,12.69,6.64,16.81,0.9,8.14,0.46,3.52,6.95,,0.09,0.54,11.3,93.67,0.56,178.62,0.0,0.0,60.83,834.94,-0.17
2024-01-25,28.22,78.16,7.85,10.75,16.24,6.4,17.13,0.86,9.33,0.5,3.91,7.8,,0.1,0.55,12.94,85.76,0.48,173.67,0.0,0.0,78.82,831.74,-0.15
2024-01-26,27.17,74.26,6.58,11.46,14.64,7.73,17.08,0.88,9.07,0.46,3.61,7.18,,0.09,0.53,14.82,85.72,0.45,172.84,0.0,0.0,103.3,830.72,-0.18
2024-01-27,26.94,73.76,19.24,12.78,33.98,7.33,18.01,1.3,12.31,0.63,4.75,9.44,,0.17,0.96,17.88,76.66,0.42,151.97,0.0,0.0,122.42,833.12,-0.19
2024-01-28,25.78,68.55,6.28,12.14,14.9,6.81,17.3,1.24,10.96,0.45,3.37,6.64,,0.11,0.61,18.14,79.28,0.48,193.16,0.0,0.0,109.18,831.38,-0.2
2024-01-29,24.58,66.27,3.95,11.17,10.03,5.43,17.36,0.5,11.68,0.38,3.03,6.0,,0.07,0.38,19.0,82.43,0.59,194.06,0.0,0.0,109.3,834.51,-0.2
2024-01-30,28.96,79.2,9.09,16.19,22.48,6.99,18.18,0.95,11.34,0.52,4.16,8.24,,0.1,0.57,19.62,82.1,0.4,150.54,0.0,0.0,113.86,830.77,-0.21
2024-01-31,32.72,92.44,19.13,21.21,40.82,12.47,18.38,1.28,13.04,0.94,8.32,16.57,,0.16,0.89,20.9,78.64,0.37,144.88,0.0,0.0,90.03,829.38,-0.2
2024-02-01,17.87,52.44,3.85,10.62,10.65,6.31,17.26,0.49,20.68,0.35,3.1,6.06,,0.08,0.47,20.52,72.86,0.68,188.33,0.0,0.0,104.63,831.71,-0.21
2024-02-02,17.14,52.43,3.69,9.03,7.42,5.36,17.42,0.68,33.94,0.4,3.1,6.09,,0.07,0.41,18.86,73.04,0.58,177.73,0.0,0.0,107.91,832.84,-0.21
