latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.678381,88.40884,126.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,12.1,90,0.00,1001.0,9.5,9.8,278,245
2024-01-01T01:00,12.6,90,0.00,1002.1,7.9,6.9,279,240
2024-01-01T02:00,14.0,89,0.00,1002.8,7.4,9.7,270,247
2024-01-01T03:00,15.6,84,0.00,1003.7,5.6,10.1,268,243
2024-01-01T04:00,17.7,75,0.00,1004.1,3.9,5.9,256,248
2024-01-01T05:00,19.8,67,0.00,1003.3,4.8,6.5,251,257
2024-01-01T06:00,21.5,59,0.00,1001.8,7.0,9.0,254,258
2024-01-01T07:00,22.7,55,0.00,1000.3,7.8,10.2,252,257
2024-01-01T08:00,23.2,55,0.00,999.2,9.3,12.2,251,254
2024-01-01T09:00,22.9,56,0.00,998.6,10.0,13.3,251,255
2024-01-01T10:00,22.0,61,0.00,998.5,7.4,13.0,251,256
2024-01-01T11:00,19.0,76,0.00,998.7,6.6,14.0,252,248
2024-01-01T12:00,16.4,86,0.00,999.2,9.6,12.9,243,236
2024-01-01T13:00,14.6,92,0.00,1000.6,9.8,14.7,253,242
2024-01-01T14:00,14.8,92,0.00,1001.1,7.1,16.7,256,246
2024-01-01T15:00,13.8,93,0.00,1001.3,9.2,14.0,258,244
2024-01-01T16:00,13.0,95,0.00,1001.3,10.3,11.6,263,245
2024-01-01T17:00,13.1,94,0.00,1001.3,7.9,12.0,261,240
2024-01-01T18:00,13.4,93,0.00,1001.0,6.9,14.1,257,242
2024-01-01T19:00,13.3,93,0.00,1000.7,7.5,15.7,250,235
2024-01-01T20:00,12.4,95,0.00,1000.5,6.0,14.4,257,237
2024-01-01T21:00,11.4,97,0.00,1000.1,8.3,10.8,266,236
2024-01-01T22:00,10.8,98,0.00,999.9,9.4,8.6,270,238
2024-01-01T23:00,10.6,98,0.00,1000.0,8.2,8.0,260,232
2024-01-02T00:00,10.8,98,0.00,1000.7,7.3,7.2,264,237
2024-01-02T01:00,10.9,98,0.00,1002.1,1.3,2.8,310,124
2024-01-02T02:00,11.3,97,0.00,1003.0,2.1,1.9,22,149
2024-01-02T03:00,12.6,96,0.00,1003.8,1.6,1.1,252,207
2024-01-02T04:00,14.5,90,0.00,1004.1,2.5,4.3,265,262
2024-01-02T05:00,17.7,71,0.00,1003.3,3.8,5.0,249,253
2024-01-02T06:00,20.0,60,0.00,1002.0,3.3,3.9,248,257
2024-01-02T07:00,21.6,53,0.00,1000.5,2.3,2.4,243,252
2024-01-02T08:00,22.3,52,0.00,999.5,2.6,3.3,221,236
2024-01-02T09:00,22.3,53,0.00,999.1,3.6,4.1,255,264
