city,latitude,longitude,pollutant,value,last_updated
"R K Puram, Delhi - DPCC",28.563262,77.186937,o3,87.7,2026-03-03T12:45:00Z
"R K Puram, Delhi - DPCC",28.563262,77.186937,pm25,39.0,2026-03-03T12:45:00Z
"R K Puram, Delhi - DPCC",28.563262,77.186937,no2,16.9,2026-03-03T12:45:00Z
"R K Puram, Delhi - DPCC",28.563262,77.186937,pm10,136.0,2026-03-03T12:45:00Z
"R K Puram, Delhi - DPCC",28.563262,77.186937,co,1.26,2026-03-03T12:45:00Z
"R K Puram, Delhi - DPCC",28.563262,77.186937,so2,25.9,2026-03-03T12:45:00Z
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,so2,33.1,2026-03-03T12:45:00Z
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,pm25,70.0,2026-03-03T12:45:00Z
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,o3,56.4,2026-03-03T12:45:00Z
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,no2,22.7,2026-03-03T12:45:00Z
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,co,1.02,2026-03-03T12:45:00Z
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,pm10,522.0,2026-03-03T12:45:00Z
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,o3,38.7,2026-03-03T12:45:00Z
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,co,3.38,2026-03-03T12:45:00Z
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,so2,29.7,2026-03-03T12:45:00Z
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,no2,52.9,2026-03-03T12:45:00Z
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,pm10,322.0,2026-03-03T12:45:00Z
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,pm25,124.0,2026-03-03T12:45:00Z
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,co,1.71,2026-03-03T12:30:00Z
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,so2,2.6,2026-03-03T12:30:00Z
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,no2,19.49,2026-03-03T12:30:00Z
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,pm25,126.0,2026-03-03T12:30:00Z
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,o3,22.6,2026-03-03T12:30:00Z
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,pm10,199.3,2026-03-03T12:30:00Z
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,so2,1.8,2026-03-03T12:30:00Z
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,o3,21.2,2026-03-03T12:30:00Z
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,co,1.05,2026-03-03T12:30:00Z
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,no2,8.8,2026-03-03T12:30:00Z
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,pm25,54.0,2026-03-03T12:30:00Z
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,pm10,126.0,2026-03-03T12:30:00Z
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,no2,1.9,2026-03-03T12:30:00Z
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,o3,80.6,2026-03-03T12:30:00Z
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,co,0.65,2026-03-03T12:30:00Z
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,pm10,63.0,2026-03-03T12:30:00Z
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,pm25,20.0,2026-03-03T12:30:00Z
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,so2,13.9,2026-03-03T12:30:00Z
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,o3,37.4,2026-03-03T12:30:00Z
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,so2,0.12,2026-03-03T12:30:00Z
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,no2,5.82,2026-03-03T12:30:00Z
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,co,0.175,2026-03-03T12:30:00Z
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,pm10,116.6,2026-03-03T12:30:00Z
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,pm25,63.89,2026-03-03T12:30:00Z
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,so2,11.93,2026-03-03T12:30:00Z
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,no2,19.13,2026-03-03T12:30:00Z
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,o3,61.71,2026-03-03T12:30:00Z
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,co,0.15,2026-03-03T12:30:00Z
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,pm25,65.08,2026-03-03T12:30:00Z
"Manali, Chennai - CPCB",13.164544,80.26285,so2,3.62,2026-03-03T12:15:00Z
"Manali, Chennai - CPCB",13.164544,80.26285,co,0.223,2026-03-03T12:15:00Z
"Manali, Chennai - CPCB",13.164544,80.26285,pm25,78.77,2026-03-03T12:15:00Z
"Manali, Chennai - CPCB",13.164544,80.26285,pm10,88.22,2026-03-03T12:15:00Z
"Manali, Chennai - CPCB",13.164544,80.26285,no2,8.21,2026-03-03T12:15:00Z
"Manali, Chennai - CPCB",13.164544,80.26285,o3,39.9,2026-03-03T12:15:00Z
"Pusa, Delhi - IMD",28.639645,77.146263,co,1.5457500000000002,2026-03-03T12:15:00Z
"Pusa, Delhi - IMD",28.639645,77.146263,pm10,122.1,2026-03-03T12:15:00Z
"Pusa, Delhi - IMD",28.639645,77.146263,pm25,50.7,2026-03-03T12:15:00Z
"Pusa, Delhi - IMD",28.639645,77.146263,no2,41.56679999999999,2026-03-03T12:15:00Z
"Pusa, Delhi - IMD",28.639645,77.146263,o3,138.6504,2026-03-03T12:15:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,so2,10.0,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,no2,15.8,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,co,0.38,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,pm25,60.0,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,o3,38.4,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,pm10,128.0,2026-03-03T12:30:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,pm10,143.91,2026-03-03T12:15:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,no2,53.3356,2026-03-03T12:15:00Z
