city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"R K Puram, Delhi - DPCC",28.563262,77.186937,6.51,278.61,2709.28,5000.0
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,5.04,127.45,1356.52,3897.37
"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,17.12,217.42,5254.81,2776.59
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,106.93,215.08,1152.9,5296.04
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,29.74,1376.95,2738.07,5000.0
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,6.01,510.18,3483.13,5000.0
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,19.94,69.04,1585.66,5000.0
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,16.1,1139.05,3992.09,4360.59
"Manali, Chennai - CPCB",13.164544,80.26285,13.88,150.82,3168.68,2643.47
"Pusa, Delhi - IMD",28.639645,77.146263,15.36,237.96,15.15,5945.72
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,9.9,5000.0,1027.06,5000.0
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,45.74,1018.1,561.93,2515.82
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,20.76,3782.4,5958.31,5000.0
"Model Town, Patiala - PPCB",30.349388,76.366642,43.94,1199.21,4189.71,5000.0
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,2.52,29.0,3330.52,2659.39
"Golden Temple, Amritsar - PPCB",31.62,74.876512,7.14,1751.34,3919.81,5000.0
"Collectorate, Gaya - BSPCB",24.7955,84.9994,7.28,2973.65,1077.24,5000.0
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,8.97,0.0,5000.0,5000.0
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,164.18,901.3,5000.0,5000.0
