station,date,to_date,pm25,pm10,no2,so2,co,ozone
AHEMEDABAD,2025-01-01,02-01-2025 00:00,44.2,96.41,39.45,3.78,0.01,32.14
AHEMEDABAD,2025-01-02,02-02-2025 00:00,51.57,97.53,39.45,17.32,0.01,34.53
AHEMEDABAD,2025-01-03,02-03-2025 00:00,42.905,88.455,39.45,24.97,0.01,26.57
AHEMEDABAD,2025-01-04,02-04-2025 00:00,34.24,79.38,39.45,21.46,0.26,76.01
AHEMEDABAD,2025-01-05,02-05-2025 00:00,57.17,99.66,35.51,12.225000000000001,0.28,34.77
AHEMEDABAD,2025-01-06,02-06-2025 00:00,41.61,74.23,31.619999999999997,2.99,0.3,7.74
AHEMEDABAD,2025-01-07,02-07-2025 00:00,24.56,44.12,27.73,4.9,0.32,8.44
AHEMEDABAD,2025-01-08,02-08-2025 00:00,37.35,75.04,17.53,1.49,0.35,17.51
AHEMEDABAD,2025-01-09,02-09-2025 00:00,24.55,49.89,10.33,3.36,0.39,11.28
AHEMEDABAD,2025-01-10,02-10-2025 00:00,20.39,44.46,24.6,16.06,0.77,9.08
AHEMEDABAD,2025-01-11,02-11-2025 00:00,10.9,27.45,19.37,4.4,0.87,9.17
AHEMEDABAD,2025-01-12,02-12-2025 00:00,53.78,107.32,35.18,8.86,1.11,20.55
AHEMEDABAD,2025-02-01,03-01-2025 00:00,43.66,94.39,34.574,3.68,0.7466666666666668,37.45
AHEMEDABAD,2025-02-02,03-02-2025 00:00,63.45,123.11,33.967999999999996,10.71,0.3833333333333334,26.7
AHEMEDABAD,2025-02-03,03-03-2025 00:00,60.79,114.35,33.362,13.71,0.02,35.85
AHEMEDABAD,2025-02-04,03-04-2025 00:00,58.13,105.59,32.756,16.55,0.305,36.980000000000004
AHEMEDABAD,2025-02-05,03-05-2025 00:00,55.47,96.83,32.15,19.39,0.59,38.11
AHEMEDABAD,2025-02-06,03-06-2025 00:00,43.76,76.47,37.905,3.14,0.71,8.2
AHEMEDABAD,2025-02-07,03-07-2025 00:00,29.22,51.64,43.66,4.79,0.83,7.41
AHEMEDABAD,2025-02-08,03-08-2025 00:00,31.03,63.13,14.26,1.38,0.06,21.35
AHEMEDABAD,2025-02-09,03-09-2025 00:00,35.5,70.86,21.45,3.5,0.39,15.05
AHEMEDABAD,2025-02-10,03-10-2025 00:00,19.84,42.49,22.0,13.67,0.16,8.32
AHEMEDABAD,2025-02-11,03-11-2025 00:00,26.46,60.22,19.65,3.58,0.67,10.98
AHEMEDABAD,2025-02-12,03-12-2025 00:00,52.09,105.54,34.24,14.12,1.35,10.67
AHEMEDABAD,2025-03-01,04-01-2025 00:00,53.37,110.38,32.554,4.16,4.57,23.52
AHEMEDABAD,2025-03-02,04-02-2025 00:00,63.11,124.86,30.868000000000002,20.7,2.4000000000000004,48.32
AHEMEDABAD,2025-03-03,04-03-2025 00:00,59.21333333333333,113.86666666666666,29.182000000000002,17.38,0.23,37.79
AHEMEDABAD,2025-03-04,04-04-2025 00:00,55.31666666666667,102.87333333333333,27.496,19.415,0.35,35.135
AHEMEDABAD,2025-03-05,04-05-2025 00:00,51.42,91.88,25.81,21.45,0.47,32.48
AHEMEDABAD,2025-03-06,04-06-2025 00:00,39.2,69.19,27.755,3.67,0.44999999999999996,22.14
AHEMEDABAD,2025-03-07,04-07-2025 00:00,23.12,41.6,29.7,4.48,0.43,8.35
AHEMEDABAD,2025-03-08,04-08-2025 00:00,21.14,43.53,9.82,1.17,0.01,16.64
AHEMEDABAD,2025-03-09,04-09-2025 00:00,43.06,85.29,13.42,3.7,0.25,14.73
AHEMEDABAD,2025-03-10,04-10-2025 00:00,20.96,45.15,21.53,7.64,0.47,8.66
AHEMEDABAD,2025-03-11,04-11-2025 00:00,10.99,31.45,8.32,2.28,0.47,19.76
AHEMEDABAD,2025-03-12,04-12-2025 00:00,45.41,96.23,20.96,5.84,0.93,18.88
AHEMEDABAD,2025-04-01,05-01-2025 00:00,61.36,126.44,21.720000000000002,6.6,0.84,68.58
AHEMEDABAD,2025-04-02,05-02-2025 00:00,56.95,117.81,22.48,17.02,0.59,45.17
AHEMEDABAD,2025-04-03,05-03-2025 00:00,53.763333333333335,107.33,23.240000000000002,8.94,0.34,46.25
AHEMEDABAD,2025-04-04,05-04-2025 00:00,50.57666666666667,96.85000000000001,24.0,9.635,0.29500000000000004,35.24
AHEMEDABAD,2025-04-05,05-05-2025 00:00,47.39,86.37,24.76,10.33,0.25,24.23
AHEMEDABAD,2025-04-06,05-06-2025 00:00,59.02,100.87,26.105,4.71,0.74,29.84
AHEMEDABAD,2025-04-07,05-07-2025 00:00,19.77,36.03,27.45,1.32,0.29,9.32
AHEMEDABAD,2025-04-08,05-08-2025 00:00,21.79,44.35,11.08,1.72,0.06,15.14
AHEMEDABAD,2025-04-09,05-09-2025 00:00,26.01,54.75,13.09,2.68,0.32,12.05
AHEMEDABAD,2025-04-10,05-10-2025 00:00,23.99,55.02,16.75,2.07,0.47,9.17
AHEMEDABAD,2025-04-11,05-11-2025 00:00,26.49,68.01,11.14,2.65,0.72,13.1
AHEMEDABAD,2025-04-12,05-12-2025 00:00,35.57,73.71,16.65,6.6,0.53,24.66
AHEMEDABAD,2025-05-01,06-01-2025 00:00,52.36,112.09,18.666,5.88,0.0,73.54
AHEMEDABAD,2025-05-02,06-02-2025 00:00,55.11,103.59,20.682,13.86,0.175,39.15
AHEMEDABAD,2025-05-03,06-03-2025 00:00,57.86,95.09,22.698,19.02,0.35,50.22
AHEMEDABAD,2025-05-04,06-04-2025 00:00,60.61,86.59,24.714,14.145,0.275,38.465
AHEMEDABAD,2025-05-05,06-05-2025 00:00,63.36,78.09,26.73,9.27,0.2,26.71
AHEMEDABAD,2025-05-06,06-06-2025 00:00,60.09,104.33,7.83,3.7,0.94,17.57
AHEMEDABAD,2025-05-07,06-07-2025 00:00,19.38,35.34,17.69,1.46,0.21,7.38
AHEMEDABAD,2025-05-08,06-08-2025 00:00,23.25,46.25,10.48,1.61,0.15,16.89
AHEMEDABAD,2025-05-09,06-09-2025 00:00,18.55,37.92,10.29,2.69,0.71,22.5
AHEMEDABAD,2025-05-10,06-10-2025 00:00,16.19,37.41,13.74,1.66,0.38,6.45
AHEMEDABAD,2025-05-11,06-11-2025 00:00,37.76,84.18,41.35,4.39,0.92,17.84
AHEMEDABAD,2025-05-12,06-12-2025 00:00,39.29,83.0,16.04,6.68,0.55,28.81
AHEMEDABAD,2025-06-01,07-01-2025 00:00,52.05,112.73,18.02,6.41,0.29,66.42
AHEMEDABAD,2025-06-02,07-02-2025 00:00,45.0725,95.265,20.0,44.25,0.44999999999999996,43.59
AHEMEDABAD,2025-06-03,07-03-2025 00:00,38.095,77.8,21.98,17.2,0.61,49.32
AHEMEDABAD,2025-06-04,07-04-2025 00:00,31.1175,60.334999999999994,23.96,11.149999999999999,0.44,43.85
AHEMEDABAD,2025-06-05,07-05-2025 00:00,24.14,42.87,25.94,5.1,0.27,38.38
AHEMEDABAD,2025-06-06,07-06-2025 00:00,61.9,109.27,32.45,3.5,0.8,14.0
AHEMEDABAD,2025-06-07,07-07-2025 00:00,23.11,42.89,38.96,1.16,0.08,8.76
AHEMEDABAD,2025-06-08,07-08-2025 00:00,27.72,56.68,11.14,1.72,0.04,16.68
AHEMEDABAD,2025-06-09,07-09-2025 00:00,24.63,49.11,13.33,2.35,0.69,17.45
AHEMEDABAD,2025-06-10,07-10-2025 00:00,9.74,26.22,14.26,1.62,0.02,7.49
AHEMEDABAD,2025-06-11,07-11-2025 00:00,44.23,99.12,35.67,5.41,0.7,21.57
AHEMEDABAD,2025-06-12,07-12-2025 00:00,38.92,80.51,16.78,7.43,0.57,28.76
AHEMEDABAD,2025-07-01,08-01-2025 00:00,44.83,95.09,41.73,27.2,0.74,48.28
AHEMEDABAD,2025-07-02,08-02-2025 00:00,57.76333333333333,111.96666666666667,57.346666666666664,40.86,0.63,43.32
AHEMEDABAD,2025-07-03,08-03-2025 00:00,70.69666666666666,128.84333333333333,72.96333333333334,16.72,0.52,39.12
AHEMEDABAD,2025-07-04,08-04-2025 00:00,83.63,145.72,88.58,10.65,0.85,54.05
AHEMEDABAD,2025-07-05,08-05-2025 00:00,14.93,26.45,25.45,4.01,0.21,32.48
AHEMEDABAD,2025-07-06,08-06-2025 00:00,50.0,87.76,19.4,3.23,0.25,17.48
AHEMEDABAD,2025-07-07,08-07-2025 00:00,26.61,46.91,13.35,1.54,0.02,9.87
AHEMEDABAD,2025-07-08,08-08-2025 00:00,30.74,61.88,10.71,2.03,0.23,20.74
AHEMEDABAD,2025-07-09,08-09-2025 00:00,12.14,23.92,7.59,2.94,0.14,79.4
AHEMEDABAD,2025-07-10,08-10-2025 00:00,29.61,59.11,23.73,2.27,0.46,9.67
AHEMEDABAD,2025-07-11,08-11-2025 00:00,55.43,118.07,53.37,7.09,1.7,23.19
AHEMEDABAD,2025-07-12,08-12-2025 00:00,38.59,78.95,21.03,12.83,0.75,26.12
AHEMEDABAD,2025-08-01,09-01-2025 00:00,44.66,94.51,44.08,13.79,0.51,53.03
AHEMEDABAD,2025-08-02,09-02-2025 00:00,51.56333333333333,102.54333333333334,50.9,26.345,0.455,46.055
AHEMEDABAD,2025-08-03,09-03-2025 00:00,58.46666666666667,110.57666666666667,57.720000000000006,38.9,0.4,39.08
AHEMEDABAD,2025-08-04,09-04-2025 00:00,65.37,118.61,64.54,24.12,0.46,61.76
AHEMEDABAD,2025-08-05,09-05-2025 00:00,23.68,48.12,25.02,3.75,0.25,33.29
AHEMEDABAD,2025-08-06,09-06-2025 00:00,48.21,84.7,18.665,3.3,0.05,17.51
AHEMEDABAD,2025-08-07,09-07-2025 00:00,34.98,62.18,12.31,7.63,0.35,9.16
AHEMEDABAD,2025-08-08,09-08-2025 00:00,31.6,63.96,10.85,2.48,0.34,20.05
AHEMEDABAD,2025-08-09,09-09-2025 00:00,22.33,48.04,8.11,2.65,0.78,19.14
AHEMEDABAD,2025-08-10,09-10-2025 00:00,53.53,102.53,33.81,5.52,0.45,8.72
AHEMEDABAD,2025-08-11,09-11-2025 00:00,53.47,112.42,61.17,4.77,1.69,21.44
AHEMEDABAD,2025-08-12,09-12-2025 00:00,33.52,68.09,22.35,8.02,0.86,19.72
AHEMEDABAD,2025-09-01,10-01-2025 00:00,43.83,92.94,42.34,15.94,0.35,52.86
AHEMEDABAD,2025-09-02,10-02-2025 00:00,46.906666666666666,95.52333333333333,45.54666666666667,25.355000000000004,0.365,53.455
AHEMEDABAD,2025-09-03,10-03-2025 00:00,49.983333333333334,98.10666666666667,48.75333333333334,34.77,0.38,54.05
AHEMEDABAD,2025-09-04,10-04-2025 00:00,53.06,100.69,51.96,21.1,0.36,61.23
AHEMEDABAD,2025-09-05,10-05-2025 00:00,21.65,45.25,24.44,3.56,0.16,45.36
AHEMEDABAD,2025-09-06,10-06-2025 00:00,46.3,80.48,41.8,3.19,0.0,14.82
AHEMEDABAD,2025-09-07,10-07-2025 00:00,39.12,69.54,59.16,5.98,0.8,8.01
AHEMEDABAD,2025-09-08,10-08-2025 00:00,27.97,56.16,9.36,2.27,0.44,19.3
AHEMEDABAD,2025-09-09,10-09-2025 00:00,32.39,68.23,9.16,2.58,0.6,19.85
AHEMEDABAD,2025-09-10,10-10-2025 00:00,82.79,155.48,50.11,7.73,0.63,13.39
AHEMEDABAD,2025-09-11,10-11-2025 00:00,56.69,113.47,61.53,6.43,1.02,20.89
AHEMEDABAD,2025-09-12,10-12-2025 00:00,35.92,71.26,27.68,10.13,0.81,19.41
AHEMEDABAD,2025-10-01,11-01-2025 00:00,49.54,103.94,40.59,22.1,0.72,52.07
AHEMEDABAD,2025-10-02,11-02-2025 00:00,88.28,179.04,41.28666666666667,20.715,0.54,23.23
AHEMEDABAD,2025-10-03,11-03-2025 00:00,60.24,119.89,41.983333333333334,19.33,0.36,48.27
AHEMEDABAD,2025-10-04,11-04-2025 00:00,32.2,60.74,42.68,28.03,0.2,67.18
AHEMEDABAD,2025-10-05,11-05-2025 00:00,33.76,65.44,24.28,3.65,0.11,38.85
AHEMEDABAD,2025-10-06,11-06-2025 00:00,37.67,65.79,33.370000000000005,3.0,0.2,14.09
AHEMEDABAD,2025-10-07,11-07-2025 00:00,35.06,61.82,42.46,5.34,0.55,6.43
AHEMEDABAD,2025-10-08,11-08-2025 00:00,28.25,56.87,9.33,3.02,0.28,20.43
AHEMEDABAD,2025-10-09,11-09-2025 00:00,32.27,67.09,13.06,1.26,0.62,9.19
AHEMEDABAD,2025-10-10,11-10-2025 00:00,89.87,168.25,56.97,6.66,0.9,11.31
AHEMEDABAD,2025-10-11,11-11-2025 00:00,64.38,127.43,70.04,8.01,1.8,20.24
AHEMEDABAD,2025-10-12,11-12-2025 00:00,38.74,78.86,29.21,9.37,0.95,19.43
AHEMEDABAD,2025-11-01,12-01-2025 00:00,73.78,152.76,40.52,26.81,0.52,47.6
AHEMEDABAD,2025-11-02,12-02-2025 00:00,52.27,103.87,40.266666666666666,12.28,0.325,27.24
AHEMEDABAD,2025-11-03,12-03-2025 00:00,35.8,69.67,40.013333333333335,26.77,0.13,59.73
AHEMEDABAD,2025-11-04,12-04-2025 00:00,19.33,35.47,39.76,19.6,0.12,51.15
AHEMEDABAD,2025-11-05,12-05-2025 00:00,41.96,78.48,24.9,3.6,0.03,31.13
AHEMEDABAD,2025-11-06,12-06-2025 00:00,30.16,54.09,30.259999999999998,3.77,0.32,12.45
AHEMEDABAD,2025-11-07,12-07-2025 00:00,29.65,52.43,35.62,5.61,0.32,7.6
