From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,44.2,96.41,None,3.78,None,32.14
02-01-2025 00:00,03-01-2025 00:00,43.66,94.39,None,3.68,None,37.45
03-01-2025 00:00,04-01-2025 00:00,53.37,110.38,None,4.16,4.57,23.52
04-01-2025 00:00,05-01-2025 00:00,61.36,126.44,None,6.6,0.84,68.58
05-01-2025 00:00,06-01-2025 00:00,52.36,112.09,None,5.88,0,73.54
06-01-2025 00:00,07-01-2025 00:00,52.05,112.73,None,6.41,0.29,66.42
07-01-2025 00:00,08-01-2025 00:00,44.83,95.09,41.73,27.2,0.74,48.28
08-01-2025 00:00,09-01-2025 00:00,44.66,94.51,44.08,13.79,0.51,53.03
09-01-2025 00:00,10-01-2025 00:00,43.83,92.94,42.34,15.94,0.35,52.86
10-01-2025 00:00,11-01-2025 00:00,49.54,103.94,40.59,22.1,0.72,52.07
11-01-2025 00:00,12-01-2025 00:00,73.78,152.76,40.52,26.81,0.52,47.6
12-01-2025 00:00,13-01-2025 00:00,43.23,92.87,38.88,30.24,0.01,44.72
13-01-2025 00:00,14-01-2025 00:00,35.73,76.89,38.06,14.47,0,51.52
14-01-2025 00:00,15-01-2025 00:00,30.04,67.56,37.46,13.95,None,52.24
15-01-2025 00:00,16-01-2025 00:00,38.61,83.41,37.34,30.01,None,51.14
16-01-2025 00:00,17-01-2025 00:00,42.87,91.86,38.01,21.25,None,46.15
17-01-2025 00:00,18-01-2025 00:00,38.7,86.99,39.76,21.99,None,47.22
18-01-2025 00:00,19-01-2025 00:00,47.29,100.65,38.15,19.78,None,15.92
19-01-2025 00:00,20-01-2025 00:00,66.83,140.87,38.91,20.81,None,18.39
20-01-2025 00:00,21-01-2025 00:00,74.51,153.5,41.92,14.33,None,7.71
21-01-2025 00:00,22-01-2025 00:00,59.46,122.06,38.41,13.72,None,None
22-01-2025 00:00,23-01-2025 00:00,52.91,110.64,None,11.87,None,None
23-01-2025 00:00,24-01-2025 00:00,45.89,95.88,None,11.05,None,27.7
24-01-2025 00:00,25-01-2025 00:00,40.42,90.07,None,26.88,None,36.12
25-01-2025 00:00,26-01-2025 00:00,34.69,74.8,None,54.65,None,31.84
26-01-2025 00:00,27-01-2025 00:00,41.82,88.1,None,46.31,None,36.31
27-01-2025 00:00,28-01-2025 00:00,43.39,88.97,None,36.94,None,35.62
28-01-2025 00:00,29-01-2025 00:00,52.08,107.91,None,29.33,None,41.93
29-01-2025 00:00,30-01-2025 00:00,83.47,165.46,None,28.19,None,50.33
30-01-2025 00:00,31-01-2025 00:00,40.21,81.48,None,17.6,None,38.79
31-01-2025 00:00,01-02-2025 00:00,54.67,108.36,None,22.79,None,37.3
01-02-2025 00:00,02-02-2025 00:00,51.57,97.53,None,17.32,None,34.53
02-02-2025 00:00,03-02-2025 00:00,63.45,123.11,None,10.71,None,26.7
03-02-2025 00:00,04-02-2025 00:00,63.11,124.86,None,20.7,None,48.32
04-02-2025 00:00,05-02-2025 00:00,56.95,117.81,None,17.02,None,45.17
05-02-2025 00:00,06-02-2025 00:00,None,None,None,13.86,None,39.15
06-02-2025 00:00,07-02-2025 00:00,None,None,None,44.25,None,43.59
07-02-2025 00:00,08-02-2025 00:00,None,None,None,40.86,None,43.32
08-02-2025 00:00,09-02-2025 00:00,None,None,None,None,None,None
09-02-2025 00:00,10-02-2025 00:00,None,None,None,None,None,None
10-02-2025 00:00,11-02-2025 00:00,88.28,179.04,None,None,None,23.23
11-02-2025 00:00,12-02-2025 00:00,52.27,103.87,None,12.28,None,27.24
12-02-2025 00:00,13-02-2025 00:00,49.54,98.68,None,9.34,None,26.88
13-02-2025 00:00,14-02-2025 00:00,54.26,107.94,None,11.92,None,37.27
14-02-2025 00:00,15-02-2025 00:00,74.68,145.91,None,18.16,None,36.56
15-02-2025 00:00,16-02-2025 00:00,62.07,119.46,None,40.94,None,31.25
16-02-2025 00:00,17-02-2025 00:00,48.01,94.3,None,22.75,None,24.13
17-02-2025 00:00,18-02-2025 00:00,39.48,75.75,None,19.91,None,26.31
18-02-2025 00:00,19-02-2025 00:00,None,None,None,15.38,None,28.27
19-02-2025 00:00,20-02-2025 00:00,None,None,None,20.94,0.45,36.08
20-02-2025 00:00,21-02-2025 00:00,None,None,None,28.77,0.27,28.46
21-02-2025 00:00,22-02-2025 00:00,None,None,None,29.94,0.24,33.7
22-02-2025 00:00,23-02-2025 00:00,None,None,None,18.51,0.2,36.39
23-02-2025 00:00,24-02-2025 00:00,None,None,None,23.77,0.1,39.29
24-02-2025 00:00,25-02-2025 00:00,None,None,None,19.21,0.32,35.61
25-02-2025 00:00,26-02-2025 00:00,None,None,None,15.7,0.46,41.83
26-02-2025 00:00,27-02-2025 00:00,None,None,None,24.13,0.56,43.47
27-02-2025 00:00,28-02-2025 00:00,None,None,None,31.44,0.48,46.43
28-02-2025 00:00,01-03-2025 00:00,None,None,None,29.11,0.24,29.03
01-03-2025 00:00,02-03-2025 00:00,None,None,None,24.97,0.01,26.57
02-03-2025 00:00,03-03-2025 00:00,None,None,None,13.71,0.02,35.85
03-03-2025 00:00,04-03-2025 00:00,None,None,None,17.38,0.23,37.79
04-03-2025 00:00,05-03-2025 00:00,None,None,None,8.94,0.34,46.25
05-03-2025 00:00,06-03-2025 00:00,None,None,None,19.02,0.35,50.22
06-03-2025 00:00,07-03-2025 00:00,None,None,None,17.2,0.61,49.32
07-03-2025 00:00,08-03-2025 00:00,None,None,None,16.72,0.52,39.12
08-03-2025 00:00,09-03-2025 00:00,None,None,None,38.9,0.4,39.08
09-03-2025 00:00,10-03-2025 00:00,None,None,None,34.77,0.38,54.05
10-03-2025 00:00,11-03-2025 00:00,None,None,None,19.33,0.36,48.27
11-03-2025 00:00,12-03-2025 00:00,None,None,None,26.77,0.13,59.73
12-03-2025 00:00,13-03-2025 00:00,None,None,None,22.78,0.2,45.32
13-03-2025 00:00,14-03-2025 00:00,None,None,None,30.87,0.16,43.73
14-03-2025 00:00,15-03-2025 00:00,None,None,None,30.67,0.31,45.5
15-03-2025 00:00,16-03-2025 00:00,None,None,None,22.79,0.39,42.96
16-03-2025 00:00,17-03-2025 00:00,None,None,None,20.32,0.32,49.17
17-03-2025 00:00,18-03-2025 00:00,None,None,None,18.14,0.24,55.69
18-03-2025 00:00,19-03-2025 00:00,None,None,None,20.34,0.17,57.59
19-03-2025 00:00,20-03-2025 00:00,None,None,None,19.38,0.21,57.01
20-03-2025 00:00,21-03-2025 00:00,None,None,None,13.06,0.45,43.06
21-03-2025 00:00,22-03-2025 00:00,None,None,None,18.96,0.49,47.4
22-03-2025 00:00,23-03-2025 00:00,None,None,None,31.27,0.45,63.7
23-03-2025 00:00,24-03-2025 00:00,None,None,None,37.1,0.32,59.89
24-03-2025 00:00,25-03-2025 00:00,None,None,None,37.86,0.32,71.77
25-03-2025 00:00,26-03-2025 00:00,None,None,74.91,32.36,0.45,65.13
26-03-2025 00:00,27-03-2025 00:00,None,None,46.34,35.49,0.28,49.48
27-03-2025 00:00,28-03-2025 00:00,None,None,42.08,24.99,0.18,40.79
