From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,45.36,76.51,20.92,4.04,29.69,0.7
02-01-2025 00:00,03-01-2025 00:00,43.13,74.37,25.52,3.58,22.91,0.68
03-01-2025 00:00,04-01-2025 00:00,51.27,96.02,32.3,5.37,20.06,0.5
04-01-2025 00:00,05-01-2025 00:00,56.34,105.34,37.83,3.31,17.38,0.54
05-01-2025 00:00,06-01-2025 00:00,53.73,100.34,30.27,1.01,32.64,0.52
06-01-2025 00:00,07-01-2025 00:00,57.14,106.65,29.94,5.95,33.19,0.53
07-01-2025 00:00,08-01-2025 00:00,42.66,78.99,35.03,3.19,31.08,0.36
08-01-2025 00:00,09-01-2025 00:00,47.01,86.94,39.31,3.54,26.51,0.46
09-01-2025 00:00,10-01-2025 00:00,63.52,117.75,40.04,6.92,22.13,0.77
10-01-2025 00:00,11-01-2025 00:00,45.45,84.38,30.58,7.79,26.58,0.39
11-01-2025 00:00,12-01-2025 00:00,None,None,None,None,None,None
12-01-2025 00:00,13-01-2025 00:00,None,None,None,None,None,None
13-01-2025 00:00,14-01-2025 00:00,35.83,65.52,28.26,4.62,43.95,0.44
14-01-2025 00:00,15-01-2025 00:00,39.19,72.24,19.95,3.39,None,0.38
15-01-2025 00:00,16-01-2025 00:00,38.98,72.69,20.07,4.31,39.15,0.32
16-01-2025 00:00,17-01-2025 00:00,52.88,98.49,27.96,4.75,27.49,0.33
17-01-2025 00:00,18-01-2025 00:00,65.73,121.86,24.11,3.27,30.37,0.37
18-01-2025 00:00,19-01-2025 00:00,53.64,95.86,30.58,5.22,24.53,0.61
19-01-2025 00:00,20-01-2025 00:00,80.57,150.99,38.96,7.61,22.95,0.71
20-01-2025 00:00,21-01-2025 00:00,64.48,121.12,38.51,7.96,20.91,0.66
21-01-2025 00:00,22-01-2025 00:00,77.58,145.74,32.58,7.73,20.31,0.58
22-01-2025 00:00,23-01-2025 00:00,57.13,106.95,28.83,8.16,15.16,0.49
23-01-2025 00:00,24-01-2025 00:00,53.1,99.67,18.74,8.03,9.48,0.27
24-01-2025 00:00,25-01-2025 00:00,48.6,88.26,16.02,4.56,23.68,0.34
25-01-2025 00:00,26-01-2025 00:00,40.9,76.3,20.91,4.17,22.17,0.57
