From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,61.48,125.65,51.23,9.57,27.28,0.89
02-01-2025 00:00,03-01-2025 00:00,61.32,124.78,40.87,9.81,21.72,1.18
03-01-2025 00:00,04-01-2025 00:00,85.13,167.41,25.98,15.84,36.24,1.24
04-01-2025 00:00,05-01-2025 00:00,85.72,168.34,46.48,15.19,24.23,0.92
05-01-2025 00:00,06-01-2025 00:00,77.23,154.48,42.91,11.91,29.32,0.77
06-01-2025 00:00,07-01-2025 00:00,66.49,132.25,33.8,9.06,25.05,0.66
07-01-2025 00:00,08-01-2025 00:00,62.45,125.97,20.33,12.77,21.18,0.97
08-01-2025 00:00,09-01-2025 00:00,60.75,118.91,40.7,8.33,22.78,0.82
09-01-2025 00:00,10-01-2025 00:00,61.12,120.48,34.19,9.62,24.75,1
10-01-2025 00:00,11-01-2025 00:00,76.47,151.46,178.79,10.42,29.19,1.39
11-01-2025 00:00,12-01-2025 00:00,96.01,189.18,331.5,12.61,30.59,1.45
12-01-2025 00:00,13-01-2025 00:00,59.02,118.71,315.74,12.09,32.03,0.82
13-01-2025 00:00,14-01-2025 00:00,49.11,99.53,167.33,12.7,30.47,0.81
14-01-2025 00:00,15-01-2025 00:00,46.24,95.58,40.15,9.93,36.2,0.79
15-01-2025 00:00,16-01-2025 00:00,49.81,101.15,37.98,16.74,40.08,0.82
16-01-2025 00:00,17-01-2025 00:00,56.01,113.86,44.74,6.97,30.71,0.88
17-01-2025 00:00,18-01-2025 00:00,60.93,126.15,39.87,7.32,33.07,0.71
18-01-2025 00:00,19-01-2025 00:00,64.32,130.29,57.29,6.82,22.93,1.02
19-01-2025 00:00,20-01-2025 00:00,90.83,179.57,72.49,7.13,23.31,1.86
20-01-2025 00:00,21-01-2025 00:00,104.08,201.66,78.74,7.13,22.19,1.82
21-01-2025 00:00,22-01-2025 00:00,91.74,177.1,66.09,6.42,23.57,1.45
22-01-2025 00:00,23-01-2025 00:00,79.38,154.86,51.22,10.83,25.47,0.96
23-01-2025 00:00,24-01-2025 00:00,59.32,119.11,35.61,17.36,24.8,0.7
24-01-2025 00:00,25-01-2025 00:00,56.64,116.36,37.54,24.84,21.66,0.5
25-01-2025 00:00,26-01-2025 00:00,48.29,96.73,51.97,23.14,21.39,0.78
26-01-2025 00:00,27-01-2025 00:00,55.04,110.01,61.34,19.49,26.16,0.94
27-01-2025 00:00,28-01-2025 00:00,64.53,126.43,70.07,26.19,23.73,1.41
28-01-2025 00:00,29-01-2025 00:00,66.89,130.61,85.63,21.45,29.82,1.53
29-01-2025 00:00,30-01-2025 00:00,108.3,206.3,162.3,31.48,29.56,2.77
30-01-2025 00:00,31-01-2025 00:00,59.3,114.88,80.64,33.91,29.52,0.82
31-01-2025 00:00,01-02-2025 00:00,82.3,165.3,None,15.99,None,None
01-02-2025 00:00,02-02-2025 00:00,63.37,114.59,65.15,21.15,None,1.08
02-02-2025 00:00,03-02-2025 00:00,79.12,146.21,61.45,21.58,None,0.94
03-02-2025 00:00,04-02-2025 00:00,67.38,138.38,71.23,17.31,None,1.16
04-02-2025 00:00,05-02-2025 00:00,42.41,97.46,43.41,11.42,None,0.93
05-02-2025 00:00,06-02-2025 00:00,46.17,103.71,71.22,15.42,None,1.34
06-02-2025 00:00,07-02-2025 00:00,44.08,103.95,20.9,17.81,None,0.63
07-02-2025 00:00,08-02-2025 00:00,34.53,81.47,18.79,29.65,40.38,0.6
08-02-2025 00:00,09-02-2025 00:00,33.76,76.91,39.91,21.88,32.21,1.16
09-02-2025 00:00,10-02-2025 00:00,44.55,100.29,37.48,25.14,29.46,1.26
10-02-2025 00:00,11-02-2025 00:00,56.83,125.43,57.76,15.56,26.59,1.86
11-02-2025 00:00,12-02-2025 00:00,47.75,107.38,71.28,21.77,26.88,1.88
12-02-2025 00:00,13-02-2025 00:00,45.2,99.31,43.56,17.86,32.97,1.32
13-02-2025 00:00,14-02-2025 00:00,56.11,126.5,59.51,14.46,27.66,1.72
14-02-2025 00:00,15-02-2025 00:00,77.59,167.79,78.92,21.49,28.32,2.4
15-02-2025 00:00,16-02-2025 00:00,69.71,138.44,32.23,51.22,29.46,1.11
16-02-2025 00:00,17-02-2025 00:00,55.83,96.37,26.72,36.81,30.67,0.85
17-02-2025 00:00,18-02-2025 00:00,58.47,102.32,51.58,38.14,35.52,1.47
18-02-2025 00:00,19-02-2025 00:00,56.95,103.45,45.11,28.65,31.12,1.32
19-02-2025 00:00,20-02-2025 00:00,48.37,87.13,14.75,29.8,36.17,0.66
20-02-2025 00:00,21-02-2025 00:00,45.77,80.46,24.36,41.39,29.44,0.72
21-02-2025 00:00,22-02-2025 00:00,72.67,127.79,22.67,37.84,33.42,0.85
22-02-2025 00:00,23-02-2025 00:00,81.48,143.43,34.18,28.48,30.06,1.01
23-02-2025 00:00,24-02-2025 00:00,71.39,125.41,26.63,29.15,29.43,1.04
24-02-2025 00:00,25-02-2025 00:00,61.83,112.47,24.85,26.07,29.33,0.91
25-02-2025 00:00,26-02-2025 00:00,50.92,94.13,15.94,27.51,29.57,0.91
26-02-2025 00:00,27-02-2025 00:00,58.65,106.97,28.15,30.02,30.9,1.39
27-02-2025 00:00,28-02-2025 00:00,77.65,138.71,23.13,48.07,33.91,1.55
28-02-2025 00:00,01-03-2025 00:00,68.5,121.89,37.89,38.58,30.25,1.3
01-03-2025 00:00,02-03-2025 00:00,56.45,99.46,13.42,36.02,32.46,0.75
02-03-2025 00:00,03-03-2025 00:00,60.29,103.6,21.8,29.02,37.07,0.94
03-03-2025 00:00,04-03-2025 00:00,55.47,96.92,28.88,29.36,33.75,0.97
04-03-2025 00:00,05-03-2025 00:00,68.02,124.48,7.03,25.44,38.07,0.39
05-03-2025 00:00,06-03-2025 00:00,62.15,116.01,29.11,30.66,30.39,0.97
06-03-2025 00:00,07-03-2025 00:00,50.26,93.66,22.6,21.66,18.76,1.46
07-03-2025 00:00,08-03-2025 00:00,80.71,141.77,65.02,23.08,17.8,2.34
08-03-2025 00:00,09-03-2025 00:00,66.58,116.56,37.92,39.44,23.72,1.93
09-03-2025 00:00,10-03-2025 00:00,76.19,134.8,24.21,32.11,30.62,1.85
10-03-2025 00:00,11-03-2025 00:00,76.99,139.1,63.17,25.48,24.16,2.79
11-03-2025 00:00,12-03-2025 00:00,82.74,153.13,18.98,21.95,29.8,1.65
12-03-2025 00:00,13-03-2025 00:00,74.74,137.5,23.01,23.46,33.69,1.43
13-03-2025 00:00,14-03-2025 00:00,46.66,86.63,36.52,30.64,38.1,0.68
14-03-2025 00:00,15-03-2025 00:00,31.02,56.33,37.76,32.34,45.6,0.37
15-03-2025 00:00,16-03-2025 00:00,35.99,65.74,40.68,21.96,43.97,0.61
16-03-2025 00:00,17-03-2025 00:00,38.06,70.32,35.13,21.41,44.08,0.43
17-03-2025 00:00,18-03-2025 00:00,35.59,66.04,35.31,25.04,28.67,0.47
18-03-2025 00:00,19-03-2025 00:00,43.49,86.77,46.3,18.82,18.48,0.66
19-03-2025 00:00,20-03-2025 00:00,49.23,95.03,41.98,24.49,18.88,0.86
20-03-2025 00:00,21-03-2025 00:00,29.43,56.16,34.28,13.84,29.82,0.4
21-03-2025 00:00,22-03-2025 00:00,38.17,73.67,40.47,14.91,52.67,0.8
22-03-2025 00:00,23-03-2025 00:00,52.51,101.61,49.71,39.51,42.79,1.29
23-03-2025 00:00,24-03-2025 00:00,57.54,109.23,50.98,37.82,35.38,1.45
24-03-2025 00:00,25-03-2025 00:00,77.8,145.4,57.64,31.79,39.57,1.33
25-03-2025 00:00,26-03-2025 00:00,73.22,136.72,56.73,46.37,32.99,1.62
26-03-2025 00:00,27-03-2025 00:00,54.02,101.75,34.19,30.87,46.01,0.52
27-03-2025 00:00,28-03-2025 00:00,41.62,77.17,24,13.39,28.96,0.25
28-03-2025 00:00,29-03-2025 00:00,46.02,88.85,16.88,17.55,25.05,0.37
29-03-2025 00:00,30-03-2025 00:00,48.27,98.81,26.04,27.71,17.91,1.17
30-03-2025 00:00,31-03-2025 00:00,45.62,91.09,27.36,22.9,18.43,1.09
31-03-2025 00:00,01-04-2025 00:00,46.58,95.65,25.91,23.96,17.21,1.18
01-04-2025 00:00,02-04-2025 00:00,38.74,79.59,24.09,35.49,17.26,0.99
02-04-2025 00:00,03-04-2025 00:00,55.05,104.91,35.94,27.74,33.6,2.41
03-04-2025 00:00,04-04-2025 00:00,82.91,156.49,43.69,46.58,53.41,2.26
04-04-2025 00:00,05-04-2025 00:00,60.93,113.39,32.13,18.14,61.21,1.77
05-04-2025 00:00,06-04-2025 00:00,62.04,113.43,32.29,28.71,50.36,1.7
06-04-2025 00:00,07-04-2025 00:00,40.27,73.22,23.43,14.93,41.19,1.04
07-04-2025 00:00,08-04-2025 00:00,51.64,92.96,25.15,15.28,37.59,1.52
08-04-2025 00:00,09-04-2025 00:00,57.47,106.09,30.79,24.35,39.58,1.38
09-04-2025 00:00,10-04-2025 00:00,44.33,82.97,23.18,20.3,43.03,0.63
10-04-2025 00:00,11-04-2025 00:00,42.99,83.03,17.75,22.95,51.44,0.44
11-04-2025 00:00,12-04-2025 00:00,42.1,90.6,22.74,18.47,67.8,0.51
12-04-2025 00:00,13-04-2025 00:00,45.16,82.36,42.25,17.4,47.42,0.65
13-04-2025 00:00,14-04-2025 00:00,40.22,71.75,36.43,25,42.22,0.59
14-04-2025 00:00,15-04-2025 00:00,40.48,75.41,28.57,20.22,46.75,0.44
15-04-2025 00:00,16-04-2025 00:00,39.81,73.45,32.24,18.85,59.44,0.67
16-04-2025 00:00,17-04-2025 00:00,50.07,90.95,34.4,17.25,44.76,0.78
17-04-2025 00:00,18-04-2025 00:00,39.86,72,31.41,20.25,37.95,0.7
18-04-2025 00:00,19-04-2025 00:00,43.05,77.33,31.78,25.25,40.86,0.6
19-04-2025 00:00,20-04-2025 00:00,57.38,100.6,22.26,31.73,45.29,0.36
20-04-2025 00:00,21-04-2025 00:00,66.04,112.16,20.95,21.31,48.78,0.41
21-04-2025 00:00,22-04-2025 00:00,63.96,110.42,59.63,16.67,35.49,0.6
22-04-2025 00:00,23-04-2025 00:00,59.63,104.22,79.39,16.81,41.32,0.57
23-04-2025 00:00,24-04-2025 00:00,69.4,124.98,88.56,18.84,36.82,1.52
24-04-2025 00:00,25-04-2025 00:00,53.48,94.27,74.3,26.95,36.9,0.75
25-04-2025 00:00,26-04-2025 00:00,49.45,88.46,63.27,33.56,25.07,0.56
26-04-2025 00:00,27-04-2025 00:00,51.27,90.37,62.31,22.2,47.75,0.65
27-04-2025 00:00,28-04-2025 00:00,52.03,92.2,61.17,28.85,47.18,0.72
28-04-2025 00:00,29-04-2025 00:00,55.96,100.47,59.55,29.12,42.26,0.62
29-04-2025 00:00,30-04-2025 00:00,50.99,92.37,59.69,19.64,44.63,0.65
30-04-2025 00:00,01-05-2025 00:00,47.96,86.89,61.78,19.83,43.26,0.64
01-05-2025 00:00,02-05-2025 00:00,46.02,82.45,61.76,25.06,40.78,0.54
02-05-2025 00:00,03-05-2025 00:00,46.34,82.38,65.12,20.39,34.05,0.53
03-05-2025 00:00,04-05-2025 00:00,44.61,81.28,63.07,15.76,37.74,0.41
04-05-2025 00:00,05-05-2025 00:00,41.25,77.38,67.5,6.5,48.1,0.51
05-05-2025 00:00,06-05-2025 00:00,61.69,78.59,68.47,7.05,41.35,0.54
06-05-2025 00:00,07-05-2025 00:00,24.01,44.44,75.07,8.65,None,0.55
07-05-2025 00:00,08-05-2025 00:00,20.04,35.78,77.42,9.82,20.34,0.71
08-05-2025 00:00,09-05-2025 00:00,31.52,62.55,72.98,9.7,34.46,0.68
09-05-2025 00:00,10-05-2025 00:00,23.45,47.26,64.01,7.73,49.23,0.48
10-05-2025 00:00,11-05-2025 00:00,35.44,68.44,76.29,7.39,41.48,0.57
11-05-2025 00:00,12-05-2025 00:00,38.38,72.79,68.14,7.06,32.93,0.43
12-05-2025 00:00,13-05-2025 00:00,43.01,81.16,68.04,6.26,35.01,0.51
13-05-2025 00:00,14-05-2025 00:00,52.21,94.05,63.25,2.34,34.81,0.47
14-05-2025 00:00,15-05-2025 00:00,55.83,100.61,72.82,1.95,32.54,0.51
15-05-2025 00:00,16-05-2025 00:00,50.96,92.45,76.36,2.58,31.27,0.44
16-05-2025 00:00,17-05-2025 00:00,41.31,77.68,75,4.51,21.31,0.42
17-05-2025 00:00,18-05-2025 00:00,33.78,62.91,78.44,4.34,16.98,0.34
18-05-2025 00:00,19-05-2025 00:00,29.29,55.13,77.97,5.35,19.61,0.35
19-05-2025 00:00,20-05-2025 00:00,45.48,82.48,82.23,4.85,26.39,0.34
20-05-2025 00:00,21-05-2025 00:00,49.15,90.04,90.3,9.55,27.17,0.49
21-05-2025 00:00,22-05-2025 00:00,41.7,77.28,83.42,7.77,47.61,0.39
22-05-2025 00:00,23-05-2025 00:00,39.36,73.01,87.23,10.47,47.5,0.45
23-05-2025 00:00,24-05-2025 00:00,56.8,113.68,98.38,11.26,49.88,0.6
24-05-2025 00:00,25-05-2025 00:00,42.52,79.25,80.88,11.36,47.42,0.34
25-05-2025 00:00,26-05-2025 00:00,64.02,107.62,78.31,6.32,33.15,0.25
26-05-2025 00:00,27-05-2025 00:00,47.71,91.21,64.42,7.58,34.6,0.39
27-05-2025 00:00,28-05-2025 00:00,73.9,144.49,64.28,5.52,10.93,0.39
28-05-2025 00:00,29-05-2025 00:00,56.03,108.91,58.49,4.89,16.02,0.29
29-05-2025 00:00,30-05-2025 00:00,42.86,85.71,72.81,4.92,24.27,0.29
30-05-2025 00:00,31-05-2025 00:00,62.29,123.64,60.91,4.45,14.73,0.21
31-05-2025 00:00,01-06-2025 00:00,51.97,105,62.3,4.19,17.31,0.23
01-06-2025 00:00,02-06-2025 00:00,48.31,95.04,51.96,4.04,16.55,0.29
02-06-2025 00:00,03-06-2025 00:00,46.54,90.62,53.46,2.98,17.55,0.37
03-06-2025 00:00,04-06-2025 00:00,40.16,79.05,58.91,1.95,21.82,0.38
04-06-2025 00:00,05-06-2025 00:00,52.29,98.48,63.43,2.52,28.1,0.41
05-06-2025 00:00,06-06-2025 00:00,60.93,117.11,64.65,2.44,24.17,0.4
06-06-2025 00:00,07-06-2025 00:00,57.77,110.98,65.7,2.46,19,0.47
07-06-2025 00:00,08-06-2025 00:00,51.59,99.55,58.91,2.37,24.89,0.33
08-06-2025 00:00,09-06-2025 00:00,49.37,93.7,55.36,2.44,26.49,0.29
09-06-2025 00:00,10-06-2025 00:00,45.9,102,59.02,2.61,21.22,0.36
10-06-2025 00:00,11-06-2025 00:00,39.46,75.41,62.27,2.75,20.62,0.39
11-06-2025 00:00,12-06-2025 00:00,32.29,62.81,61.78,5.02,20.07,0.37
12-06-2025 00:00,13-06-2025 00:00,44.95,86.05,64.47,7.64,21.49,0.43
13-06-2025 00:00,14-06-2025 00:00,52.09,100.03,64.95,10.83,22.21,0.64
14-06-2025 00:00,15-06-2025 00:00,56.59,113.91,58.99,9.82,36.51,0.55
15-06-2025 00:00,16-06-2025 00:00,20.88,41.69,62.43,9.7,63.59,0.61
16-06-2025 00:00,17-06-2025 00:00,22.63,50.76,73.2,10.73,39.72,0.66
17-06-2025 00:00,18-06-2025 00:00,11.57,22.38,60.85,10.81,16.31,0.63
18-06-2025 00:00,19-06-2025 00:00,36.52,85.15,None,4.9,16.46,0.7
19-06-2025 00:00,20-06-2025 00:00,26.75,64.94,None,4.69,15.39,0.86
20-06-2025 00:00,21-06-2025 00:00,39.75,77.97,None,4.5,9.6,0.63
21-06-2025 00:00,22-06-2025 00:00,36.52,71.08,None,8.98,8.46,0.68
22-06-2025 00:00,23-06-2025 00:00,None,None,None,19.54,8.56,0.43
23-06-2025 00:00,24-06-2025 00:00,None,None,None,21.68,7.42,0.55
24-06-2025 00:00,25-06-2025 00:00,41.21,129.8,2.75,9.76,7.17,0.69
