From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,50.1,98.33,17.04,7.78,0.87,32.35
02-01-2025 00:00,03-01-2025 00:00,48.15,94.52,16.95,7.39,0.72,32.49
03-01-2025 00:00,04-01-2025 00:00,43.45,85.3,16.74,7.23,0.8,33.94
04-01-2025 00:00,05-01-2025 00:00,51.16,100.42,16.79,7.43,0.8,32.61
05-01-2025 00:00,06-01-2025 00:00,45.6,89.51,17.17,7.2,1.01,32.13
06-01-2025 00:00,07-01-2025 00:00,50.15,98.44,16.77,7.5,0.93,32.06
07-01-2025 00:00,08-01-2025 00:00,48.11,94.44,16.84,7.07,1.06,32.06
08-01-2025 00:00,09-01-2025 00:00,44.54,87.44,16.21,7.33,0.9,32.65
09-01-2025 00:00,10-01-2025 00:00,52.29,102.62,13.76,7.31,0.53,29.11
10-01-2025 00:00,11-01-2025 00:00,52.44,102.92,13.48,7.71,0.94,23.06
11-01-2025 00:00,12-01-2025 00:00,43.25,84.89,13.51,7.82,0.75,23.06
12-01-2025 00:00,13-01-2025 00:00,38.46,75.52,13.69,7.23,0.67,22.51
13-01-2025 00:00,14-01-2025 00:00,35.16,69.03,13.63,7.46,1.08,9.62
14-01-2025 00:00,15-01-2025 00:00,30.89,60.66,13.39,7.72,0.61,None
15-01-2025 00:00,16-01-2025 00:00,34.56,67.85,13.55,7.47,0.96,16.24
16-01-2025 00:00,17-01-2025 00:00,41.35,81.18,13.38,7.15,1.02,27.4
17-01-2025 00:00,18-01-2025 00:00,46.92,92.04,13.22,7.4,0.51,15.55
18-01-2025 00:00,19-01-2025 00:00,52.66,103.34,13.62,7.93,0.82,12.23
19-01-2025 00:00,20-01-2025 00:00,36.73,72.11,13.71,7.53,0.94,11.68
20-01-2025 00:00,21-01-2025 00:00,36.16,70.99,13.81,7.82,0.71,29.71
21-01-2025 00:00,22-01-2025 00:00,49.45,97.05,13.5,7.78,0.92,31.22
22-01-2025 00:00,23-01-2025 00:00,44.55,87.43,13.7,7.8,1.18,32.59
23-01-2025 00:00,24-01-2025 00:00,43.65,85.69,13.66,7.64,0.84,32.6
24-01-2025 00:00,25-01-2025 00:00,37.16,72.95,13.7,7.78,1.01,32.59
25-01-2025 00:00,26-01-2025 00:00,47.81,93.85,13.66,7.58,0.62,32.63
26-01-2025 00:00,27-01-2025 00:00,37.09,72.82,13.81,7.37,0.48,32.58
27-01-2025 00:00,28-01-2025 00:00,41.02,80.53,13.49,None,0.91,32.55
28-01-2025 00:00,29-01-2025 00:00,47.98,94.19,13.51,5.94,0.93,32.59
29-01-2025 00:00,30-01-2025 00:00,50.06,98.25,13.65,6.58,0.78,34.67
30-01-2025 00:00,31-01-2025 00:00,44.85,88.04,12.76,None,1.62,36.55
31-01-2025 00:00,01-02-2025 00:00,42.42,83.28,15.63,8.08,0.78,34.85
01-02-2025 00:00,02-02-2025 00:00,41.54,81.55,17.54,8.3,0.94,10.06
