From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,57,97.66,50,11.72,6.11,None
02-01-2025 00:00,03-01-2025 00:00,61.55,108.24,53.61,12.86,6,None
03-01-2025 00:00,04-01-2025 00:00,58.92,103.9,53.15,12.85,None,None
04-01-2025 00:00,05-01-2025 00:00,63.08,120.95,54.65,13.49,None,None
05-01-2025 00:00,06-01-2025 00:00,66.08,116.82,53.63,12.45,None,None
06-01-2025 00:00,07-01-2025 00:00,63.57,117.04,55.24,13.1,None,None
07-01-2025 00:00,08-01-2025 00:00,56.84,118.67,54.42,12.74,None,None
08-01-2025 00:00,09-01-2025 00:00,51.79,104.81,55.06,12.3,None,None
09-01-2025 00:00,10-01-2025 00:00,71.38,120.55,54.62,10.46,None,None
10-01-2025 00:00,11-01-2025 00:00,73.58,117.33,54.11,11.91,None,None
11-01-2025 00:00,12-01-2025 00:00,45.79,89.54,52.58,11.26,None,None
12-01-2025 00:00,13-01-2025 00:00,41.72,79.06,50.84,12.52,None,None
13-01-2025 00:00,14-01-2025 00:00,31.65,64.84,50.21,12.86,None,None
14-01-2025 00:00,15-01-2025 00:00,22.28,52.74,48.21,13.4,None,None
15-01-2025 00:00,16-01-2025 00:00,19.59,54.4,49.96,12.88,None,None
16-01-2025 00:00,17-01-2025 00:00,41.99,85.38,53.35,12.74,None,None
17-01-2025 00:00,18-01-2025 00:00,68.48,110.86,52.63,13.65,14.05,None
18-01-2025 00:00,19-01-2025 00:00,66.09,110.33,47.15,13.14,22.99,0.63
19-01-2025 00:00,20-01-2025 00:00,34.54,70.14,32.42,8.49,5.11,0.35
20-01-2025 00:00,21-01-2025 00:00,28.42,74.84,33.93,9.21,6.9,0.38
21-01-2025 00:00,22-01-2025 00:00,46.83,99.33,42.22,9.7,5.46,0.45
22-01-2025 00:00,23-01-2025 00:00,43.1,99.27,43.61,9.55,5.84,0.39
23-01-2025 00:00,24-01-2025 00:00,40.85,94.83,42.33,11.07,6.13,0.38
24-01-2025 00:00,25-01-2025 00:00,35.07,87.85,46.3,9.62,5.46,0.39
25-01-2025 00:00,26-01-2025 00:00,36.89,92.54,49.84,9.62,5.3,0.51
26-01-2025 00:00,27-01-2025 00:00,21.95,55.16,47.76,10.35,4.89,0.41
27-01-2025 00:00,28-01-2025 00:00,31.34,78.66,49.44,10.72,7,0.43
28-01-2025 00:00,29-01-2025 00:00,53.33,133.54,48.18,10.43,27.53,0.42
29-01-2025 00:00,30-01-2025 00:00,58.56,146.68,49.95,9.95,10.69,0.46
30-01-2025 00:00,31-01-2025 00:00,45.93,115.02,47.02,10.59,9.96,0.42
31-01-2025 00:00,01-02-2025 00:00,22.8,57.34,46.68,9.66,6.93,0.41
01-02-2025 00:00,02-02-2025 00:00,25.21,63.33,47.14,9.3,9.23,0.43
02-02-2025 00:00,03-02-2025 00:00,21.01,52.74,49.24,9.58,7.55,0.47
03-02-2025 00:00,04-02-2025 00:00,22.9,57.53,52.65,8.69,5.74,0.43
04-02-2025 00:00,05-02-2025 00:00,30.1,75.57,54.87,11.2,5.71,0.45
05-02-2025 00:00,06-02-2025 00:00,49.32,120.11,51.4,10.35,15.91,0.41
06-02-2025 00:00,07-02-2025 00:00,35.84,88.85,49.01,10.21,7.4,0.39
07-02-2025 00:00,08-02-2025 00:00,42.15,94.29,49.8,9.97,6.33,0.43
08-02-2025 00:00,09-02-2025 00:00,60.55,118.48,52.82,10.34,7.16,0.37
09-02-2025 00:00,10-02-2025 00:00,75.15,134.07,53.63,9.81,8.03,0.33
10-02-2025 00:00,11-02-2025 00:00,80.1,140.73,53.33,9.48,7.44,0.44
11-02-2025 00:00,12-02-2025 00:00,49.4,106.69,55.23,9.77,6.49,0.43
12-02-2025 00:00,13-02-2025 00:00,35.6,94.15,53,8.17,7.68,0.55
13-02-2025 00:00,14-02-2025 00:00,45.91,105.69,54.7,7.75,12.61,0.49
14-02-2025 00:00,15-02-2025 00:00,37.88,99.43,53.64,8.01,9.93,0.46
15-02-2025 00:00,16-02-2025 00:00,41.81,95.75,45,8.25,17.33,0.38
16-02-2025 00:00,17-02-2025 00:00,39.43,91.39,46.21,9.52,17.96,0.38
17-02-2025 00:00,18-02-2025 00:00,40.16,87.3,47.47,8.07,16.06,0.39
18-02-2025 00:00,19-02-2025 00:00,36.85,88.44,50.06,8.01,10.69,0.37
19-02-2025 00:00,20-02-2025 00:00,39.15,97.64,55.11,8.21,9.92,0.41
20-02-2025 00:00,21-02-2025 00:00,41.38,101.85,54.85,8.51,10.01,0.4
21-02-2025 00:00,22-02-2025 00:00,39.46,96.01,48.53,8.55,25.37,0.43
