From Date,To Date,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,90.16,20.65,11.77,None,1.04
02-01-2025 00:00,03-01-2025 00:00,90.33,19.57,10.99,None,1.05
03-01-2025 00:00,04-01-2025 00:00,90.36,20.83,12.19,None,1.17
04-01-2025 00:00,05-01-2025 00:00,89.86,21.9,13.24,None,1.15
05-01-2025 00:00,06-01-2025 00:00,89.7,21.66,13.29,None,0.92
06-01-2025 00:00,07-01-2025 00:00,90.2,20.65,13.24,None,1.04
07-01-2025 00:00,08-01-2025 00:00,83.94,20.69,11.82,None,0.7
08-01-2025 00:00,09-01-2025 00:00,78.1,21.8,10.91,None,0.9
09-01-2025 00:00,10-01-2025 00:00,79.18,23.07,10.3,None,0.99
10-01-2025 00:00,11-01-2025 00:00,81.78,22.17,11.34,None,0.89
11-01-2025 00:00,12-01-2025 00:00,None,None,None,None,None
12-01-2025 00:00,13-01-2025 00:00,None,None,None,None,None
13-01-2025 00:00,14-01-2025 00:00,None,None,None,None,None
14-01-2025 00:00,15-01-2025 00:00,None,None,None,None,None
15-01-2025 00:00,16-01-2025 00:00,86.9,28.21,10.92,None,0.62
16-01-2025 00:00,17-01-2025 00:00,92.88,27.95,11.34,None,0.66
17-01-2025 00:00,18-01-2025 00:00,103.95,24.9,10.69,None,0.58
18-01-2025 00:00,19-01-2025 00:00,101.42,21,11.97,None,0.51
19-01-2025 00:00,20-01-2025 00:00,96.31,19.85,13.31,None,0.58
20-01-2025 00:00,21-01-2025 00:00,99.98,17.96,12.12,None,0.94
21-01-2025 00:00,22-01-2025 00:00,101.35,16.4,11.67,None,1.31
22-01-2025 00:00,23-01-2025 00:00,98.49,17.97,10.76,None,0.82
23-01-2025 00:00,24-01-2025 00:00,83.94,18.66,6.94,None,0.69
24-01-2025 00:00,25-01-2025 00:00,127.97,18.39,5.35,None,0.34
25-01-2025 00:00,26-01-2025 00:00,122.83,18.46,5.38,None,0.32
26-01-2025 00:00,27-01-2025 00:00,140.61,18.96,4.97,None,0.22
27-01-2025 00:00,28-01-2025 00:00,115.96,19.66,4.71,None,0.4
28-01-2025 00:00,29-01-2025 00:00,76.82,19.29,6.97,None,0.86
29-01-2025 00:00,30-01-2025 00:00,54.46,21.92,8.96,None,1.47
30-01-2025 00:00,31-01-2025 00:00,164.33,25.09,9.99,None,1.54
31-01-2025 00:00,01-02-2025 00:00,94.88,24.61,8.8,None,1.6
01-02-2025 00:00,02-02-2025 00:00,95.36,25.71,8.82,None,1.67
02-02-2025 00:00,03-02-2025 00:00,93.26,25.47,9.27,None,1.66
03-02-2025 00:00,04-02-2025 00:00,97,24.84,9.74,None,1.28
04-02-2025 00:00,05-02-2025 00:00,96.75,25,9.79,None,1.26
05-02-2025 00:00,06-02-2025 00:00,100.66,25.13,9.19,None,1.33
06-02-2025 00:00,07-02-2025 00:00,96.74,24.96,9.64,None,1.24
07-02-2025 00:00,08-02-2025 00:00,96.95,25.77,9.95,None,1.29
08-02-2025 00:00,09-02-2025 00:00,100.33,25.46,9.49,None,1.33
09-02-2025 00:00,10-02-2025 00:00,101.8,27.85,8.92,None,1.44
10-02-2025 00:00,11-02-2025 00:00,101.53,30.83,9.06,None,1.4
11-02-2025 00:00,12-02-2025 00:00,97.42,32.95,8.23,None,1.15
12-02-2025 00:00,13-02-2025 00:00,98.03,33.75,8.43,None,1.24
13-02-2025 00:00,14-02-2025 00:00,98.98,34.35,8.73,None,1.25
14-02-2025 00:00,15-02-2025 00:00,100.68,34.61,9.54,None,1.42
15-02-2025 00:00,16-02-2025 00:00,101.48,36.65,8.13,None,1.3
16-02-2025 00:00,17-02-2025 00:00,100.14,33.86,8.78,None,1.26
17-02-2025 00:00,18-02-2025 00:00,96.91,26.47,9.23,None,1.35
18-02-2025 00:00,19-02-2025 00:00,118.49,26.35,9.66,None,1.35
19-02-2025 00:00,20-02-2025 00:00,98.31,30.97,9.05,None,1.6
20-02-2025 00:00,21-02-2025 00:00,103.72,36.29,8.15,None,1.39
21-02-2025 00:00,22-02-2025 00:00,99,36.95,8.57,None,1.46
22-02-2025 00:00,23-02-2025 00:00,96.37,37.97,5.92,None,1.06
23-02-2025 00:00,24-02-2025 00:00,None,None,None,None,None
24-02-2025 00:00,25-02-2025 00:00,None,None,None,None,None
25-02-2025 00:00,26-02-2025 00:00,None,None,None,None,None
26-02-2025 00:00,27-02-2025 00:00,96.88,39.53,6.55,None,0.99
27-02-2025 00:00,28-02-2025 00:00,95.69,38.06,7.64,None,1.25
28-02-2025 00:00,01-03-2025 00:00,92.7,37.88,6.94,None,1.27
01-03-2025 00:00,02-03-2025 00:00,92.9,39.74,7.93,None,1.27
02-03-2025 00:00,03-03-2025 00:00,96.65,41.7,7.48,None,1.18
03-03-2025 00:00,04-03-2025 00:00,95.13,41.61,7.25,None,1.08
04-03-2025 00:00,05-03-2025 00:00,99.53,37.33,7.99,None,1.14
05-03-2025 00:00,06-03-2025 00:00,100.49,27.21,9.33,None,1.29
06-03-2025 00:00,07-03-2025 00:00,99.57,26.84,9.44,None,1.35
07-03-2025 00:00,08-03-2025 00:00,102.3,27.3,10.16,None,1.33
08-03-2025 00:00,09-03-2025 00:00,101.1,27.4,10.25,None,1.49
09-03-2025 00:00,10-03-2025 00:00,99.92,27.64,9.37,None,1.34
10-03-2025 00:00,11-03-2025 00:00,92.52,26.88,9.8,None,1.37
11-03-2025 00:00,12-03-2025 00:00,90.8,27,9.44,None,1.5
