From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,79.8,133.04,37.28,18.91,1.43,25.56
02-01-2025 00:00,03-01-2025 00:00,70.73,139.88,48.82,17.78,2.16,24.87
03-01-2025 00:00,04-01-2025 00:00,66.01,135.86,56.04,22.07,2,36.07
04-01-2025 00:00,05-01-2025 00:00,38.4,94.24,43.48,17.53,1.45,46.58
05-01-2025 00:00,06-01-2025 00:00,58.68,139.14,41.94,25.36,1.63,47.09
06-01-2025 00:00,07-01-2025 00:00,58.55,113.74,34.39,23.29,1.47,54.08
07-01-2025 00:00,08-01-2025 00:00,62.97,110.48,27.65,12.21,1.52,53.6
08-01-2025 00:00,09-01-2025 00:00,57.32,112.19,32.22,20.63,1.48,60.7
09-01-2025 00:00,10-01-2025 00:00,47.32,97.58,33.35,22.72,1.38,67.92
10-01-2025 00:00,11-01-2025 00:00,41.1,102.42,29.73,23.48,1.32,75.1
11-01-2025 00:00,12-01-2025 00:00,67.51,154.03,33.61,26.6,1.69,71.28
12-01-2025 00:00,13-01-2025 00:00,98.05,169.39,30.11,16.84,1.66,59.96
13-01-2025 00:00,14-01-2025 00:00,82,140.28,26.36,15.02,1.63,63.48
14-01-2025 00:00,15-01-2025 00:00,71.64,122.12,25.24,15.85,1.54,66.88
15-01-2025 00:00,16-01-2025 00:00,65.38,124.78,26.36,18.74,1.61,58.08
16-01-2025 00:00,17-01-2025 00:00,84.26,148.28,25.21,17.33,1.5,45.34
17-01-2025 00:00,18-01-2025 00:00,106.65,185.91,26.78,19.14,1.55,41.85
18-01-2025 00:00,19-01-2025 00:00,61.94,123.02,32.2,17.7,1.52,56.81
19-01-2025 00:00,20-01-2025 00:00,50.31,105.45,32.22,16.34,1.63,61.91
20-01-2025 00:00,21-01-2025 00:00,51.44,113.04,33.64,18.09,1.44,60.45
21-01-2025 00:00,22-01-2025 00:00,48.92,111.64,31.83,19.48,1.24,78.83
22-01-2025 00:00,23-01-2025 00:00,64.91,151.09,31.5,18.2,1.53,75.68
23-01-2025 00:00,24-01-2025 00:00,65.28,147.51,33.34,21.38,1.42,75.08
24-01-2025 00:00,25-01-2025 00:00,63.9,123.19,21.57,17.31,0.98,76.42
25-01-2025 00:00,26-01-2025 00:00,44.61,112.34,37.75,18.2,1.27,62.59
26-01-2025 00:00,27-01-2025 00:00,39.58,102.38,50.25,18.93,1.47,66.05
27-01-2025 00:00,28-01-2025 00:00,35.51,101.8,52.52,17.56,1.46,58.68
28-01-2025 00:00,29-01-2025 00:00,36.04,101.67,55.98,21.31,1.44,55.82
29-01-2025 00:00,30-01-2025 00:00,39.26,124.19,47.45,20.36,1.63,93.74
30-01-2025 00:00,31-01-2025 00:00,38.41,119.84,51.63,18.92,1.06,75.33
31-01-2025 00:00,01-02-2025 00:00,28.11,107.49,48.7,18.91,1.17,74.64
01-02-2025 00:00,02-02-2025 00:00,34.75,115.04,51.49,20.02,0.96,72
02-02-2025 00:00,03-02-2025 00:00,34.51,113.79,50.92,22.05,0.93,73.92
