From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,66.94,91.23,20.27,12.61,55.95,0.6
02-01-2025 00:00,03-01-2025 00:00,43.51,86.6,29.29,14.63,85.48,0.66
03-01-2025 00:00,04-01-2025 00:00,46.1,79,28.42,12.73,68.03,0.67
04-01-2025 00:00,05-01-2025 00:00,45.34,83.62,36.97,13.6,83.05,0.82
05-01-2025 00:00,06-01-2025 00:00,53.89,86,31.84,11.94,35.73,0.72
06-01-2025 00:00,07-01-2025 00:00,50.17,81.17,26.62,15.94,68.05,0.78
07-01-2025 00:00,08-01-2025 00:00,64.54,93.28,16.95,13.45,75.15,0.71
08-01-2025 00:00,09-01-2025 00:00,67.98,102.22,27.55,14.33,81.24,0.78
09-01-2025 00:00,10-01-2025 00:00,58.78,94.35,32.07,13.92,81.85,0.7
10-01-2025 00:00,11-01-2025 00:00,57.92,95.07,33.85,14.85,90.03,0.84
11-01-2025 00:00,12-01-2025 00:00,99.48,146,64.93,16.67,54.7,1.37
12-01-2025 00:00,13-01-2025 00:00,83.69,107.74,20.97,15.01,74.52,0.67
13-01-2025 00:00,14-01-2025 00:00,91.7,108.29,21.72,13.37,73.72,0.75
14-01-2025 00:00,15-01-2025 00:00,70.08,111.56,26.79,14.1,67.76,0.66
15-01-2025 00:00,16-01-2025 00:00,65.06,121.4,32.73,14.04,64.38,0.82
16-01-2025 00:00,17-01-2025 00:00,82.25,134.57,22.39,14.13,58.13,0.76
17-01-2025 00:00,18-01-2025 00:00,94.08,183.75,27.45,44.43,50.11,0.82
18-01-2025 00:00,19-01-2025 00:00,71.47,137.38,40.69,10.87,59.28,1.12
19-01-2025 00:00,20-01-2025 00:00,57.67,106.21,34.15,45.03,66.88,0.84
20-01-2025 00:00,21-01-2025 00:00,46.89,88.83,24.76,None,78.78,0.64
21-01-2025 00:00,22-01-2025 00:00,56.48,104.2,27.72,2.87,78.67,0.71
22-01-2025 00:00,23-01-2025 00:00,61.12,114.94,28.8,4.52,73.46,0.73
23-01-2025 00:00,24-01-2025 00:00,58.69,107.97,25.82,4.66,80.82,0.65
