From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,106.21,170.62,57.04,8.43,10.93,0.78
02-01-2025 00:00,03-01-2025 00:00,99.77,174.6,42.7,8.75,13.73,0.85
03-01-2025 00:00,04-01-2025 00:00,110.16,189.51,47.33,8.13,12.88,0.75
04-01-2025 00:00,05-01-2025 00:00,96.51,168.8,46.74,7.82,12.63,0.86
05-01-2025 00:00,06-01-2025 00:00,84,161.77,48.02,11.08,14.68,0.58
06-01-2025 00:00,07-01-2025 00:00,65.97,123.06,36.7,9.74,21.14,0.29
07-01-2025 00:00,08-01-2025 00:00,55.56,121.5,30.28,6.69,24.36,0.3
08-01-2025 00:00,09-01-2025 00:00,76.19,157.15,41.85,8.77,28.69,0.67
09-01-2025 00:00,10-01-2025 00:00,76.7,148.26,54.55,10.64,24.31,0.41
10-01-2025 00:00,11-01-2025 00:00,47.97,149.14,58.81,12.54,26.57,0.64
11-01-2025 00:00,12-01-2025 00:00,136.5,321.19,82.63,11.19,9.45,1.76
12-01-2025 00:00,13-01-2025 00:00,83.03,153.35,32.42,7.49,27.77,0.27
13-01-2025 00:00,14-01-2025 00:00,75.61,147.31,39.32,5.98,34.76,0.45
14-01-2025 00:00,15-01-2025 00:00,60.82,138.26,41.9,7.22,31.37,0.39
15-01-2025 00:00,16-01-2025 00:00,57.06,132.08,45.3,9.21,23.99,0.44
16-01-2025 00:00,17-01-2025 00:00,81.32,145.59,33.63,10.35,23.09,0.32
17-01-2025 00:00,18-01-2025 00:00,122.93,198.21,36.21,9.82,24.01,0.36
18-01-2025 00:00,19-01-2025 00:00,78.85,157.44,44.66,8.46,24.02,0.76
19-01-2025 00:00,20-01-2025 00:00,81.39,172.38,45.76,6.1,20.89,0.66
20-01-2025 00:00,21-01-2025 00:00,64.32,139.71,47.57,7.9,21.65,0.55
21-01-2025 00:00,22-01-2025 00:00,66.55,150.49,49.35,12.69,21.23,0.58
22-01-2025 00:00,23-01-2025 00:00,75.39,170.64,45.18,14.2,22.34,0.74
23-01-2025 00:00,24-01-2025 00:00,69.95,144.2,36.93,16.15,27.19,0.27
24-01-2025 00:00,25-01-2025 00:00,62.94,123.25,36.59,15.67,33.84,0.3
25-01-2025 00:00,26-01-2025 00:00,44.74,122.09,49.03,6.7,30.12,0.36
26-01-2025 00:00,27-01-2025 00:00,44.58,120.8,48.78,6.75,34.18,1.67
27-01-2025 00:00,28-01-2025 00:00,45.17,121.49,53.34,5.27,31.46,0.89
28-01-2025 00:00,29-01-2025 00:00,55.49,136.15,56.14,5.81,25.89,1.07
29-01-2025 00:00,30-01-2025 00:00,81.33,167.6,39.59,6.3,25.69,0.62
30-01-2025 00:00,31-01-2025 00:00,60.8,137.01,31.13,4.32,25,0.6
31-01-2025 00:00,01-02-2025 00:00,49.14,117.97,29.69,5.85,27.46,0.55
01-02-2025 00:00,02-02-2025 00:00,60.73,132.77,31.91,6.54,27.07,0.66
02-02-2025 00:00,03-02-2025 00:00,55.64,132.94,39.54,7.42,25.9,0.49
03-02-2025 00:00,04-02-2025 00:00,51.54,130.25,38.47,8.78,23.5,0.54
04-02-2025 00:00,05-02-2025 00:00,58.58,130.59,26.44,8.94,23.08,0.47
05-02-2025 00:00,06-02-2025 00:00,65.1,124.72,16.59,5.93,32.34,0.29
06-02-2025 00:00,07-02-2025 00:00,43.34,103.34,27.32,8.17,37.33,0.3
07-02-2025 00:00,08-02-2025 00:00,47.16,116.82,33.44,8.3,43.67,0.61
08-02-2025 00:00,09-02-2025 00:00,47.22,140.96,46.81,6.55,31.04,0.57
09-02-2025 00:00,10-02-2025 00:00,54.07,156.24,38.2,7.98,30.06,0.64
10-02-2025 00:00,11-02-2025 00:00,56.24,135.48,28.7,5.52,26.86,0.4
11-02-2025 00:00,12-02-2025 00:00,48.74,142.44,36.4,6.95,25.72,0.61
12-02-2025 00:00,13-02-2025 00:00,37.34,99.91,14.08,13.87,41.82,0.26
13-02-2025 00:00,14-02-2025 00:00,34.95,116.26,26.21,6.81,41.16,0.41
14-02-2025 00:00,15-02-2025 00:00,45.9,141.32,34.06,6.75,31.37,0.61
15-02-2025 00:00,16-02-2025 00:00,33.79,119.27,34.53,5.36,28.01,0.45
16-02-2025 00:00,17-02-2025 00:00,44.32,142.24,30.24,9.13,31.48,0.68
17-02-2025 00:00,18-02-2025 00:00,47.85,155.53,39.73,6.58,23.41,0.66
18-02-2025 00:00,19-02-2025 00:00,44.9,138.09,27.59,6.78,25.95,0.41
