From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,88.81,136.22,14.15,7.08,6.3,0.6
02-01-2025 00:00,03-01-2025 00:00,91.88,140.9,13.13,6.79,6.16,0.6
03-01-2025 00:00,04-01-2025 00:00,69.18,107.2,12.7,5.68,5.66,0.6
04-01-2025 00:00,05-01-2025 00:00,69.41,83.79,12.65,6.39,5.2,0.6
05-01-2025 00:00,06-01-2025 00:00,76.92,103.83,12.82,7.32,5.8,0.6
06-01-2025 00:00,07-01-2025 00:00,116.8,None,12.58,6.59,5.08,0.6
07-01-2025 00:00,08-01-2025 00:00,165.13,86.12,12.95,6.37,5.52,0.6
08-01-2025 00:00,09-01-2025 00:00,51.74,79.36,12.84,6.31,4.96,0.6
09-01-2025 00:00,10-01-2025 00:00,55.79,85.56,13.29,6.88,5.55,0.6
10-01-2025 00:00,11-01-2025 00:00,54.29,83.26,12.65,6.75,5.77,0.6
11-01-2025 00:00,12-01-2025 00:00,37.03,56.78,11.27,6.89,6.03,0.6
12-01-2025 00:00,13-01-2025 00:00,40.28,61.78,11.22,6.49,5.08,0.6
13-01-2025 00:00,14-01-2025 00:00,34.99,51.35,11.06,7.93,5.66,0.6
14-01-2025 00:00,15-01-2025 00:00,23.35,35.81,11.1,6.85,6.34,0.6
15-01-2025 00:00,16-01-2025 00:00,24.26,37.21,10.9,6.07,6.39,0.6
16-01-2025 00:00,17-01-2025 00:00,46.87,71.89,10.91,5.87,6.21,0.6
17-01-2025 00:00,18-01-2025 00:00,59.58,91.38,10.86,6.31,5.77,0.6
18-01-2025 00:00,19-01-2025 00:00,53.79,82.37,11.08,6.4,5.34,0.6
19-01-2025 00:00,20-01-2025 00:00,34.24,52.52,11.08,6.09,5.85,0.6
20-01-2025 00:00,21-01-2025 00:00,50.24,77.05,11.61,5.58,5.45,0.6
21-01-2025 00:00,22-01-2025 00:00,52.79,80.98,12,7.75,5.39,0.6
22-01-2025 00:00,23-01-2025 00:00,52.38,80.34,12.23,7.02,5.22,0.6
23-01-2025 00:00,24-01-2025 00:00,40.18,61.63,11.92,7.32,5.62,0.6
24-01-2025 00:00,25-01-2025 00:00,29.91,45.87,11.24,5.63,5.46,0.6
25-01-2025 00:00,26-01-2025 00:00,36.39,55.91,11.44,5.66,5.32,0.6
26-01-2025 00:00,27-01-2025 00:00,31.47,48.38,12.14,7.72,4.94,0.6
27-01-2025 00:00,28-01-2025 00:00,39.66,60.84,11.73,8.49,5.45,0.6
28-01-2025 00:00,29-01-2025 00:00,53.32,81.89,11.43,5.63,5.46,0.6
29-01-2025 00:00,30-01-2025 00:00,54.6,83.75,11.81,7.68,5.59,0.6
30-01-2025 00:00,31-01-2025 00:00,51.79,79.43,11.41,6.67,6.47,0.6
31-01-2025 00:00,01-02-2025 00:00,30.72,47.13,10.95,6.25,7.02,0.6
01-02-2025 00:00,02-02-2025 00:00,29.04,44.54,11.01,6.25,6.87,0.6
02-02-2025 00:00,03-02-2025 00:00,27.7,42.48,11.05,6.2,6.25,0.6
03-02-2025 00:00,04-02-2025 00:00,26.47,40.61,11.27,7.08,5.74,0.6
04-02-2025 00:00,05-02-2025 00:00,35.9,55.06,11.59,6.36,5.71,0.6
05-02-2025 00:00,06-02-2025 00:00,44.41,67.84,11.41,6.76,6.26,0.6
06-02-2025 00:00,07-02-2025 00:00,44.67,68.52,11.45,6.59,5.99,0.6
07-02-2025 00:00,08-02-2025 00:00,47.26,72.49,12.49,7.55,5.89,0.6
08-02-2025 00:00,09-02-2025 00:00,49.15,75.39,11.96,8.25,6.09,0.6
09-02-2025 00:00,10-02-2025 00:00,45.47,69.74,11.34,5.87,6.19,0.6
10-02-2025 00:00,11-02-2025 00:00,53.53,82.05,12.27,5.84,6.23,0.6
11-02-2025 00:00,12-02-2025 00:00,39.63,58.71,13.98,6.61,5.87,0.6
12-02-2025 00:00,13-02-2025 00:00,36.82,56.48,12.58,7.82,5.83,0.6
13-02-2025 00:00,14-02-2025 00:00,32.54,49.91,12.41,7.51,5.8,0.6
14-02-2025 00:00,15-02-2025 00:00,29.92,45.89,11.81,6.33,6.19,0.6
15-02-2025 00:00,16-02-2025 00:00,31.95,49.01,12.69,7.34,6.44,0.6
16-02-2025 00:00,17-02-2025 00:00,34.28,52.58,12.35,7.74,6.85,0.6
17-02-2025 00:00,18-02-2025 00:00,46.06,70.66,11.57,6.68,6.84,0.6
18-02-2025 00:00,19-02-2025 00:00,50.66,77.7,11.96,6.51,6.69,0.6
19-02-2025 00:00,20-02-2025 00:00,44.63,68.45,12.32,7.16,6.34,0.6
20-02-2025 00:00,21-02-2025 00:00,38.65,59.11,11.53,7.34,6.48,0.6
21-02-2025 00:00,22-02-2025 00:00,38.17,58.59,11.14,6.37,6.6,0.59
22-02-2025 00:00,23-02-2025 00:00,42.74,64.48,11.77,8.5,6.75,0.6
