From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,42.17,75.66,5.94,22.23,30.57,0.93
02-01-2025 00:00,03-01-2025 00:00,38.76,72.93,5.96,22,27.16,0.97
03-01-2025 00:00,04-01-2025 00:00,38.02,72.45,5.95,23.2,31.59,0.91
04-01-2025 00:00,05-01-2025 00:00,45.08,75.64,13.3,24.19,35.98,0.82
05-01-2025 00:00,06-01-2025 00:00,41.2,74.31,21.28,23.49,38.12,0.82
06-01-2025 00:00,07-01-2025 00:00,47.71,78.41,19.47,21.37,46.34,0.79
07-01-2025 00:00,08-01-2025 00:00,46.07,77.55,25.73,23.54,35.02,0.91
08-01-2025 00:00,09-01-2025 00:00,42.86,76.37,26.11,23.71,36.02,0.89
09-01-2025 00:00,10-01-2025 00:00,39.83,71.93,24.1,22.29,27.84,0.81
10-01-2025 00:00,11-01-2025 00:00,61.33,90.2,16.15,22.11,45.59,0.82
11-01-2025 00:00,12-01-2025 00:00,41.98,75.59,14.44,23,44.11,0.76
12-01-2025 00:00,13-01-2025 00:00,43.65,75,13.42,23.84,43.56,0.76
13-01-2025 00:00,14-01-2025 00:00,41.57,74.31,16.1,23.1,31.51,0.8
14-01-2025 00:00,15-01-2025 00:00,42.11,74.18,14.51,23.02,32.54,0.79
15-01-2025 00:00,16-01-2025 00:00,40.59,73.56,13.13,22.74,34.1,0.78
16-01-2025 00:00,17-01-2025 00:00,42.46,74.14,14.06,22.72,35.16,0.8
17-01-2025 00:00,18-01-2025 00:00,41.44,75.56,18.11,22.67,33.91,0.89
18-01-2025 00:00,19-01-2025 00:00,43.7,75.35,17.16,22.97,38.05,0.85
19-01-2025 00:00,20-01-2025 00:00,43.97,76.94,21.5,22.85,36.85,0.95
20-01-2025 00:00,21-01-2025 00:00,39.03,74,24.05,22.69,35.79,0.93
21-01-2025 00:00,22-01-2025 00:00,39.19,76.05,31.59,23.82,27.21,1.01
22-01-2025 00:00,23-01-2025 00:00,43.19,74.74,22.36,23.43,35.28,0.88
