From Date,To Date,PM2.5,PM10,NO2,SO2,Ozone,CO
01-01-2025 00:00,02-01-2025 00:00,74.36,141.79,56.37,11.64,27.14,0.81
02-01-2025 00:00,03-01-2025 00:00,91.95,162.89,59.68,10.22,26.85,0.92
03-01-2025 00:00,04-01-2025 00:00,114.05,219.58,80.61,9.3,25.52,1.29
04-01-2025 00:00,05-01-2025 00:00,126.76,226.7,83.02,8.5,25.29,0.97
05-01-2025 00:00,06-01-2025 00:00,100.95,182.7,102.28,6.43,21.46,1
06-01-2025 00:00,07-01-2025 00:00,95.14,178.1,117.56,7.27,24.04,1.28
07-01-2025 00:00,08-01-2025 00:00,92.22,167.48,47.52,10.11,27.56,1.21
08-01-2025 00:00,09-01-2025 00:00,74.36,135.97,35.84,9.41,33.1,0.72
09-01-2025 00:00,10-01-2025 00:00,72.8,142.13,42.66,8.57,33.83,0.8
10-01-2025 00:00,11-01-2025 00:00,113.69,213.63,65.58,12.44,34.75,0.96
11-01-2025 00:00,12-01-2025 00:00,129.31,217.98,94.03,9.42,30.46,1.92
12-01-2025 00:00,13-01-2025 00:00,126.6,219.98,87.87,7.66,31.31,2.1
13-01-2025 00:00,14-01-2025 00:00,121.33,223.08,73.92,14.19,33.47,1.76
14-01-2025 00:00,15-01-2025 00:00,127.41,233.94,105.45,10.96,25.6,1.41
15-01-2025 00:00,16-01-2025 00:00,92.98,163.02,58.95,12.22,32.45,0.59
16-01-2025 00:00,17-01-2025 00:00,84.8,161.55,50.73,17.73,26.21,0.76
17-01-2025 00:00,18-01-2025 00:00,98.91,170.55,76.1,13.29,27.11,0.7
18-01-2025 00:00,19-01-2025 00:00,95.64,163.66,67.72,13.3,28.29,1.01
19-01-2025 00:00,20-01-2025 00:00,83,159.34,72.16,12.23,33.17,1.02
20-01-2025 00:00,21-01-2025 00:00,89.54,160.03,65.14,12.89,33.32,0.92
21-01-2025 00:00,22-01-2025 00:00,95.07,185.2,76.91,10.64,34.12,0.9
22-01-2025 00:00,23-01-2025 00:00,87.52,171.59,103,10.81,33.92,1.24
23-01-2025 00:00,24-01-2025 00:00,111.97,199.33,62.09,9.4,27.75,1.12
24-01-2025 00:00,25-01-2025 00:00,98.55,178.52,60.99,8.7,34.87,0.55
25-01-2025 00:00,26-01-2025 00:00,94.02,173.86,50.06,8.95,26.88,0.49
26-01-2025 00:00,27-01-2025 00:00,67.53,126.69,39.87,10.08,42.95,0.86
27-01-2025 00:00,28-01-2025 00:00,85.75,171.3,49.38,11.33,36.88,1.26
28-01-2025 00:00,29-01-2025 00:00,92.21,180.61,50.97,16.24,42.89,1.37
29-01-2025 00:00,30-01-2025 00:00,68.19,130.37,41.77,8.2,47,0.76
30-01-2025 00:00,31-01-2025 00:00,49.98,89.89,55.84,8.14,43.5,0.53
31-01-2025 00:00,01-02-2025 00:00,45.08,85.36,13.5,10.93,32.89,0.57
01-02-2025 00:00,02-02-2025 00:00,51.29,93.96,15.83,5.81,21.26,0.89
02-02-2025 00:00,03-02-2025 00:00,70.11,127.77,25.47,5.86,19.3,1.11
03-02-2025 00:00,04-02-2025 00:00,86.53,163.65,30.84,5.74,30.2,1.63
04-02-2025 00:00,05-02-2025 00:00,71.02,142.55,44.23,9.32,40.58,1.15
05-02-2025 00:00,06-02-2025 00:00,89.39,160.94,40.64,8.71,35.04,1.07
06-02-2025 00:00,07-02-2025 00:00,61.55,118.46,39,9.04,35.27,0.98
07-02-2025 00:00,08-02-2025 00:00,62.55,131.52,29.61,10.08,43.53,0.74
08-02-2025 00:00,09-02-2025 00:00,67.96,144.29,46.8,10.98,40.93,0.91
09-02-2025 00:00,10-02-2025 00:00,76.53,153.46,50.24,8.71,46.95,0.98
10-02-2025 00:00,11-02-2025 00:00,69.4,135.48,35.68,9.5,46.06,0.71
11-02-2025 00:00,12-02-2025 00:00,50.72,99.04,30.48,8.02,42.18,0.45
12-02-2025 00:00,13-02-2025 00:00,49.03,95.43,31.05,8.79,33.14,0.49
13-02-2025 00:00,14-02-2025 00:00,55.66,119.14,45.08,6.88,25.78,1.08
14-02-2025 00:00,15-02-2025 00:00,71.26,149.59,53.1,8.94,32.96,1.08
15-02-2025 00:00,16-02-2025 00:00,87.68,151.43,53.98,12.73,31.1,1.22
16-02-2025 00:00,17-02-2025 00:00,68.4,106.24,28.42,7.58,37.31,0.69
17-02-2025 00:00,18-02-2025 00:00,50.42,71.67,22.83,5.72,29.56,0.38
18-02-2025 00:00,19-02-2025 00:00,44.04,68.49,23.23,5.49,31.05,0.43
19-02-2025 00:00,20-02-2025 00:00,51.35,74.16,26.97,4.26,21.9,0.49
20-02-2025 00:00,21-02-2025 00:00,33.64,53.2,26.23,4.32,16.61,0.48
21-02-2025 00:00,22-02-2025 00:00,54.84,115.92,36.59,7.24,19.86,0.82
22-02-2025 00:00,23-02-2025 00:00,46.67,87.69,32.83,8.19,19.76,0.55
23-02-2025 00:00,24-02-2025 00:00,56.36,110.04,38.51,11.45,18.36,0.61
24-02-2025 00:00,25-02-2025 00:00,75,18.9,39.63,7.73,18.61,0.77
25-02-2025 00:00,26-02-2025 00:00,85.46,158.28,42.91,10.34,21.04,0.77
26-02-2025 00:00,27-02-2025 00:00,82.29,171.03,44.55,10.97,19.03,0.58
27-02-2025 00:00,28-02-2025 00:00,103.01,207.91,39.75,10.64,18,0.64
28-02-2025 00:00,01-03-2025 00:00,81.34,161.93,41.19,10.66,19.44,0.41
01-03-2025 00:00,02-03-2025 00:00,54.81,108.32,23.21,8.18,19.6,0.1
02-03-2025 00:00,03-03-2025 00:00,55.85,120.83,28.36,14.8,19.78,0.52
03-03-2025 00:00,04-03-2025 00:00,57.12,139.01,38.36,8.18,20.79,0.73
04-03-2025 00:00,05-03-2025 00:00,55.3,139.25,40.34,10.38,14.99,0.72
05-03-2025 00:00,06-03-2025 00:00,69.34,177.05,53.23,13.08,37.44,0.64
06-03-2025 00:00,07-03-2025 00:00,54.09,171.97,35.85,11.34,40,0.43
07-03-2025 00:00,08-03-2025 00:00,66.44,172.43,44.33,14.35,41.61,0.62
08-03-2025 00:00,09-03-2025 00:00,56.17,130.73,26.96,10.85,40,0.4
09-03-2025 00:00,10-03-2025 00:00,45.02,98.44,22.47,6.13,35.4,0.26
10-03-2025 00:00,11-03-2025 00:00,46.42,96.98,27.53,9.48,39.72,0.43
11-03-2025 00:00,12-03-2025 00:00,36.05,78,23.82,14.23,43.61,0.39
12-03-2025 00:00,13-03-2025 00:00,41.88,94.59,23.77,13.04,46.59,0.44
13-03-2025 00:00,14-03-2025 00:00,38.73,99.36,24.75,9.98,36.55,0.59
14-03-2025 00:00,15-03-2025 00:00,37.74,92.52,22.32,6.49,30.03,0.6
15-03-2025 00:00,16-03-2025 00:00,30.9,76.97,20.78,4.09,26.43,0.57
16-03-2025 00:00,17-03-2025 00:00,22.53,62.8,22.72,12.59,25.75,0.55
17-03-2025 00:00,18-03-2025 00:00,33.69,73.93,22.63,5.28,22.88,0.67
18-03-2025 00:00,19-03-2025 00:00,48.02,82.55,29.78,8.36,41.8,0.66
19-03-2025 00:00,20-03-2025 00:00,85.41,129.14,25.03,11.06,39.54,0.9
20-03-2025 00:00,21-03-2025 00:00,41.17,68.54,25.95,5.84,28.01,0.72
21-03-2025 00:00,22-03-2025 00:00,51.73,88.98,32.61,11.74,36.94,0.86
22-03-2025 00:00,23-03-2025 00:00,29.28,42.8,24.25,6.04,15.96,0.76
23-03-2025 00:00,24-03-2025 00:00,61.42,97.81,34.2,11.16,17.11,1.05
24-03-2025 00:00,25-03-2025 00:00,80.99,148.88,44.54,9.45,23.53,1.38
25-03-2025 00:00,26-03-2025 00:00,76.71,150.01,39.97,17.06,36.36,1.23
26-03-2025 00:00,27-03-2025 00:00,45.65,79.57,20.44,10.29,36,0.74
27-03-2025 00:00,28-03-2025 00:00,46.57,94.42,26.4,12.08,39.19,0.87
28-03-2025 00:00,29-03-2025 00:00,59.96,125.67,25.36,14.42,49.33,0.85
29-03-2025 00:00,30-03-2025 00:00,66.83,141.66,28.65,8.86,38.69,0.65
30-03-2025 00:00,31-03-2025 00:00,55.49,103.28,15.73,7.49,29.55,0.43
31-03-2025 00:00,01-04-2025 00:00,43.89,84.43,13.51,5,27.99,0.42
