From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone
01-01-2025 00:00,02-01-2025 00:00,61.86,177.27,12.56,28.98,0.69,126.05
02-01-2025 00:00,03-01-2025 00:00,56.89,163.9,12.78,28.85,0.68,None
03-01-2025 00:00,04-01-2025 00:00,54.41,149.19,14.13,28.92,0.66,None
04-01-2025 00:00,05-01-2025 00:00,62.84,208.41,26.81,29.7,0.7,None
05-01-2025 00:00,06-01-2025 00:00,74.04,149.65,36.76,27.95,0.76,None
06-01-2025 00:00,07-01-2025 00:00,55.73,141.91,24.97,28.46,0.76,None
07-01-2025 00:00,08-01-2025 00:00,65.07,172.74,25.92,29.15,0.76,None
08-01-2025 00:00,09-01-2025 00:00,62.43,152.9,72.89,29,0.76,None
09-01-2025 00:00,10-01-2025 00:00,60.23,137.09,15.51,29.91,0.61,None
10-01-2025 00:00,11-01-2025 00:00,66.42,136.32,15.48,30.74,0.62,None
11-01-2025 00:00,12-01-2025 00:00,71.7,119.27,17.52,30.41,None,None
12-01-2025 00:00,13-01-2025 00:00,63.38,113.71,12.51,30.7,0.62,None
13-01-2025 00:00,14-01-2025 00:00,64.05,111.43,15.63,31.38,0.6,None
14-01-2025 00:00,15-01-2025 00:00,67.41,129.57,31.68,33.34,0.6,None
15-01-2025 00:00,16-01-2025 00:00,76.58,132.27,1.57,32.46,0.6,None
16-01-2025 00:00,17-01-2025 00:00,75.97,159.26,6.25,34.02,0.6,None
17-01-2025 00:00,18-01-2025 00:00,69.71,147.85,11.48,33.72,0.6,None
18-01-2025 00:00,19-01-2025 00:00,66.09,143.03,182.31,30.71,0.6,None
19-01-2025 00:00,20-01-2025 00:00,70.76,205.71,47.64,30.89,0.6,None
20-01-2025 00:00,21-01-2025 00:00,72.43,225.57,43.52,32.21,0.6,None
21-01-2025 00:00,22-01-2025 00:00,65.81,146.01,2.47,32.41,0.6,None
22-01-2025 00:00,23-01-2025 00:00,77.25,151.44,5.4,29.35,0.6,None
23-01-2025 00:00,24-01-2025 00:00,62.82,120.74,5.27,29.45,0.6,None
24-01-2025 00:00,25-01-2025 00:00,66.89,123.62,5.53,30.69,0.6,None
25-01-2025 00:00,26-01-2025 00:00,75.56,148.62,10.57,31.75,0.6,None
26-01-2025 00:00,27-01-2025 00:00,79.62,155.14,11.15,31.66,0.6,None
27-01-2025 00:00,28-01-2025 00:00,75.26,140.54,11.42,32.61,0.6,None
28-01-2025 00:00,29-01-2025 00:00,64.58,133.86,14.65,30.94,0.6,None
29-01-2025 00:00,30-01-2025 00:00,60.44,159.42,20.88,31.74,0.6,None
30-01-2025 00:00,31-01-2025 00:00,72.02,183.59,19.85,32.39,0.6,None
31-01-2025 00:00,01-02-2025 00:00,50.34,140.23,5.87,38.07,0.6,109.58
01-02-2025 00:00,02-02-2025 00:00,53.62,139.11,5.86,40.67,0.6,None
02-02-2025 00:00,03-02-2025 00:00,55.99,151.47,5.87,40.68,0.6,87.15
03-02-2025 00:00,04-02-2025 00:00,56.78,144.45,6.07,42.92,0.6,None
04-02-2025 00:00,05-02-2025 00:00,53.99,139.6,6.29,44.43,0.6,None
05-02-2025 00:00,06-02-2025 00:00,51.48,138.43,6.2,43.11,0.6,None
06-02-2025 00:00,07-02-2025 00:00,60.43,162.13,6.29,46.57,0.6,None
07-02-2025 00:00,08-02-2025 00:00,69.17,189.44,7.1,56.21,0.6,None
08-02-2025 00:00,09-02-2025 00:00,72.84,186.34,7.44,59.57,0.6,None
09-02-2025 00:00,10-02-2025 00:00,66.44,183.33,7.56,61.95,0.6,None
10-02-2025 00:00,11-02-2025 00:00,58.12,102.34,6.11,53.32,0.6,124.29
11-02-2025 00:00,12-02-2025 00:00,60.46,130.93,11.68,63.67,0.47,110.11
12-02-2025 00:00,13-02-2025 00:00,59.85,128.6,14.29,37.61,0.11,3.73
13-02-2025 00:00,14-02-2025 00:00,61.68,139.2,35.22,30.64,0.11,3.6
14-02-2025 00:00,15-02-2025 00:00,59.13,125.7,120.22,12.12,0.11,3.62
15-02-2025 00:00,16-02-2025 00:00,68.33,152.38,None,9.5,0.12,3.82
16-02-2025 00:00,17-02-2025 00:00,None,None,None,None,None,None
17-02-2025 00:00,18-02-2025 00:00,None,None,None,None,None,None
18-02-2025 00:00,19-02-2025 00:00,None,None,None,None,None,None
19-02-2025 00:00,20-02-2025 00:00,55.22,117.53,12.71,6.36,0.15,4.59
20-02-2025 00:00,21-02-2025 00:00,58.6,121.8,9.33,4.35,0.15,4.57
21-02-2025 00:00,22-02-2025 00:00,52.19,111.24,8.43,4.56,0.15,4.59
22-02-2025 00:00,23-02-2025 00:00,50.35,104.1,9.13,4.64,0.15,4.59
23-02-2025 00:00,24-02-2025 00:00,44.27,88.17,8.73,4.63,0.15,4.59
24-02-2025 00:00,25-02-2025 00:00,45.86,94.55,8.1,4.62,0.15,4.59
25-02-2025 00:00,26-02-2025 00:00,58.07,185,8.48,4.67,0.15,4.59
26-02-2025 00:00,27-02-2025 00:00,64.78,186.67,8.75,4.7,0.15,4.59
27-02-2025 00:00,28-02-2025 00:00,None,None,None,None,None,None
28-02-2025 00:00,01-03-2025 00:00,57,110.73,6.24,4.54,0.15,4.59
01-03-2025 00:00,02-03-2025 00:00,51.13,95.54,6.3,4.57,0.15,4.59
02-03-2025 00:00,03-03-2025 00:00,51.93,94.76,6.53,4.61,0.15,4.58
03-03-2025 00:00,04-03-2025 00:00,53.04,102.73,6.56,4.59,0.15,4.59
04-03-2025 00:00,05-03-2025 00:00,53.85,99.47,6.75,4.62,0.15,4.59
05-03-2025 00:00,06-03-2025 00:00,50.55,96.66,7.07,4.62,0.15,4.58
06-03-2025 00:00,07-03-2025 00:00,52.89,100.01,7.83,4.67,0.15,4.59
07-03-2025 00:00,08-03-2025 00:00,64.42,107.78,8.91,4.74,0.15,4.47
