city,temperature,humidity,pressure,wind_speed,wind_degree,clouds,timestamp
Delhi,33.29,7,1008,4.23,303,0,2026-03-03 12:09:27.110366
Mumbai,28.17,57,1008,9.92,328,5,2026-03-03 12:09:27.716456
Chennai,27.34,55,1010,4.45,117,5,2026-03-03 12:09:28.354778
Kolkata,30.19,13,1008,3.06,316,3,2026-03-03 12:09:28.997893
Bengaluru,30.72,23,1009,5.4,90,9,2026-03-03 12:09:29.620311
Hyderabad,33.77,15,1009,3.8,60,48,2026-03-03 12:09:30.236247
Pune,34.65,16,1009,3.17,51,6,2026-03-03 12:09:30.835562
Jaipur,31.31,11,1010,4.3,318,0,2026-03-03 12:09:31.417062
Lucknow,30.9,11,1008,3.71,301,0,2026-03-03 12:09:32.030372
Ahmedabad,36.26,14,1009,3.01,255,1,2026-03-03 12:09:32.606369
Surat,33.73,24,1009,4.45,310,1,2026-03-03 12:09:33.246048
Indore,33.08,14,1010,2.88,318,2,2026-03-03 12:09:33.896247
Nagpur,35.99,12,1008,1.39,326,31,2026-03-03 12:09:34.550664
Bhopal,32.88,15,1010,4.14,333,5,2026-03-03 12:09:35.707016
Patna,27.71,15,1008,3.34,335,0,2026-03-03 12:09:36.330518
Coimbatore,31.83,27,1009,4.86,89,1,2026-03-03 12:09:36.938036
Visakhapatnam,28.24,54,1010,4.21,196,31,2026-03-03 12:09:37.563574
Vadodara,36.48,15,1009,3.74,273,3,2026-03-03 12:09:38.178567
Kanpur,30.32,13,1008,3.34,299,0,2026-03-03 12:09:38.781610
Agra,33.28,8,1008,4.31,315,0,2026-03-03 12:09:39.395821
Madurai,33.49,25,1008,4.52,59,4,2026-03-03 12:09:39.988116
Thiruvananthapuram,27.44,66,1009,4.52,195,73,2026-03-03 12:09:40.602049
Chandigarh,29.05,16,1008,6.2,317,0,2026-03-03 12:09:41.213150
Mysore,32.64,19,1008,5.43,89,2,2026-03-03 12:09:41.899605
Guwahati,27.14,22,1008,1.54,19,0,2026-03-03 12:09:42.509443
Ranchi,27.58,11,1010,3.34,300,0,2026-03-03 12:09:43.149118
Dehradun,26.39,18,1008,2.05,230,1,2026-03-03 12:09:43.621826
Shimla,16.13,26,1011,2.25,302,0,2026-03-03 12:09:44.220124
Gwalior,31.48,16,1009,3.05,299,0,2026-03-03 12:09:44.854584
Varanasi,30.74,10,1008,3.49,315,0,2026-03-03 12:09:45.264357
Amritsar,33.69,8,1008,4.97,308,2,2026-03-03 12:09:45.720870
Jodhpur,34.37,12,1010,2.73,250,0,2026-03-03 12:09:46.202883
Raipur,33.6,13,1008,1.88,142,18,2026-03-03 12:09:47.158954
Vijayawada,31.86,35,1008,8.29,177,29,2026-03-03 12:09:47.796115
Rajkot,34.3,17,1010,2.29,306,1,2026-03-03 12:09:48.388728
Noida,33.31,7,1008,4.11,297,0,2026-03-03 12:09:49.011109
Faridabad,32.92,8,1008,4.42,286,0,2026-03-03 12:09:49.631056
Gurgaon,32.44,10,1008,4.96,278,0,2026-03-03 12:09:50.250680
Nashik,33.59,17,1010,1.83,90,1,2026-03-03 12:09:50.866701
Aurangabad,33.96,14,1009,4.22,2,7,2026-03-03 12:09:51.465601
Tiruchirappalli,33.53,22,1008,6.96,68,0,2026-03-03 12:09:52.088284
Salem,33.04,25,1008,4.67,88,1,2026-03-03 12:09:52.687057
Tirunelveli,30.01,41,1009,7.1,91,43,2026-03-03 12:09:53.341461
Jamshedpur,32.48,8,1008,2.87,334,1,2026-03-03 12:09:53.952790
Udaipur,33.12,16,1010,1.05,294,3,2026-03-03 12:09:54.596940
Kochi,28.08,70,1008,5.65,276,17,2026-03-03 12:09:55.207466
Kozhikode,28.19,69,1008,5.71,301,3,2026-03-03 12:09:55.836873
Allahabad,32.33,9,1008,4.07,318,0,2026-03-03 12:09:56.450470
Meerut,32.96,8,1007,5.79,304,0,2026-03-03 12:09:57.020267
Srinagar,18.72,11,1014,1.22,220,27,2026-03-03 12:09:57.554240
