last_updated_epoch,country,location_name,region,latitude,longitude,timezone,last_updated
1693000001,India,Ashoknagar,Madhya Pradesh,24.57,77.72,Asia/Kolkata,2023-08-29 10:45:00
1693000002,India,Raisen,Madhya Pradesh,23.33,77.8,Asia/Kolkata,2023-08-29 10:45:00
1693000003,India,Chhindwara,Madhya Pradesh,22.07,78.93,Asia/Kolkata,2023-08-29 10:45:00
1693000004,India,Betul,Madhya Pradesh,21.86,77.93,Asia/Kolkata,2023-08-29 10:45:00
1693000005,India,Hoshangabad,Madhya Pradesh,22.75,77.72,Asia/Kolkata,2023-08-29 10:45:00
1693000006,India,Sehore,Madhya Pradesh,23.2,77.08,Asia/Kolkata,2023-08-29 10:45:00
1693000007,India,Jabalpur,Madhya Pradesh,23.17,79.95,Asia/Kolkata,2023-08-29 10:45:00
1693000008,India,Narsimhapur,Madhya Pradesh,22.95,79.2,Asia/Kolkata,2023-08-29 10:45:00
1693000009,India,Panna,Madhya Pradesh,24.72,80.2,Asia/Kolkata,2023-08-29 10:45:00
1693000010,India,Ujjain,Madhya Pradesh,23.18,75.77,Asia/Kolkata,2023-08-29 10:45:00
1693000011,India,Rewa,Madhya Pradesh,24.53,81.3,Asia/Kolkata,2023-08-29 10:45:00
1693000012,India,Dindori,Madhya Pradesh,22.95,81.08,Asia/Kolkata,2023-08-29 10:45:00
1693000013,India,Balaghat,Madhya Pradesh,21.78,80.25,Asia/Kolkata,2023-08-29 10:45:00
1693000014,India,Barwani,Madhya Pradesh,22.03,74.9,Asia/Kolkata,2023-08-29 10:45:00
1693000015,India,Satna,Madhya Pradesh,24.58,80.83,Asia/Kolkata,2023-08-29 10:45:00
1693000016,India,Chhatarpur,Madhya Pradesh,24.9,79.6,Asia/Kolkata,2023-08-29 10:45:00
1693000017,India,Indore,Madhya Pradesh,22.72,75.83,Asia/Kolkata,2023-08-29 10:45:00
1693000018,India,Ratlam,Madhya Pradesh,23.32,75.07,Asia/Kolkata,2023-08-29 10:45:00
1693000019,India,Harda,Madhya Pradesh,22.33,77.1,Asia/Kolkata,2023-08-29 10:45:00
1693000020,India,Sagar,Madhya Pradesh,23.83,78.72,Asia/Kolkata,2023-08-29 10:45:00
1693000021,India,Neemuch,Madhya Pradesh,24.48,74.87,Asia/Kolkata,2023-08-29 10:45:00
1693000022,India,Tikamgarh,Uttar Pradesh,24.73,78.83,Asia/Kolkata,2023-08-29 10:45:00
1693000023,India,Guna,Madhya Pradesh,24.65,77.32,Asia/Kolkata,2023-08-29 10:45:00
1693000024,India,Dewas,Madhya Pradesh,22.97,76.07,Asia/Kolkata,2023-08-29 10:45:00
1693000025,India,Mandsaur,Madhya Pradesh,24.07,75.07,Asia/Kolkata,2023-08-29 10:45:00
1693000026,India,Khargone,Madhya Pradesh,21.82,75.6,Asia/Kolkata,2023-08-29 10:45:00
1693000027,India,Sheopur,Madhya Pradesh,25.67,76.7,Asia/Kolkata,2023-08-29 10:45:00
1693000028,India,Morena,Madhya Pradesh,26.5,78.0,Asia/Kolkata,2023-08-29 10:45:00
1693000029,India,Bhind,Madhya Pradesh,26.56,78.79,Asia/Kolkata,2023-08-29 10:45:00
1693000030,India,Jhabua,Madhya Pradesh,22.77,74.6,Asia/Kolkata,2023-08-29 10:45:00
1693000031,India,Seoni,Madhya Pradesh,22.08,79.53,Asia/Kolkata,2023-08-29 10:45:00
1693000032,India,Khandwa,Madhya Pradesh,21.83,76.33,Asia/Kolkata,2023-08-29 10:45:00
1693000033,India,Umaria,Madhya Pradesh,23.53,80.83,Asia/Kolkata,2023-08-29 10:45:00
1693000034,India,Gwalior,Madhya Pradesh,26.22,78.18,Asia/Kolkata,2023-08-29 10:45:00
1693000035,India,Damoh,Madhya Pradesh,23.83,79.45,Asia/Kolkata,2023-08-29 10:45:00
1693000036,India,Dhar,Madhya Pradesh,22.6,75.3,Asia/Kolkata,2023-08-29 10:45:00
1693000037,India,Katni,Orissa,20.3,85.72,Asia/Kolkata,2023-08-29 10:45:00
1693000038,India,Sidhi,Madhya Pradesh,24.42,81.88,Asia/Kolkata,2023-08-29 10:45:00
1693000039,India,Alirajpur,Madhya Pradesh,22.3,74.35,Asia/Kolkata,2023-08-29 10:45:00
1693000040,India,Bhopal,Madhya Pradesh,23.27,77.4,Asia/Kolkata,2023-08-29 10:45:00
1693000041,India,Rajgarh,Rajasthan,27.23,76.63,Asia/Kolkata,2023-08-29 10:45:00
1693000042,India,Mandla,Madhya Pradesh,22.6,80.38,Asia/Kolkata,2023-08-29 10:45:00
1693000043,India,Shajapur,Madhya Pradesh,23.43,76.27,Asia/Kolkata,2023-08-29 10:45:00
1693000044,India,Shivpuri,Madhya Pradesh,25.43,77.65,Asia/Kolkata,2023-08-29 10:45:00
1693000045,India,Datia,Madhya Pradesh,25.67,78.47,Asia/Kolkata,2023-08-29 10:45:00
1693000046,India,Burhanpur,Madhya Pradesh,21.3,76.23,Asia/Kolkata,2023-08-29 10:45:00
1693000047,India,Anuppur,Madhya Pradesh,23.1,81.68,Asia/Kolkata,2023-08-29 10:45:00
1693000048,India,Shahdol,Madhya Pradesh,23.28,81.35,Asia/Kolkata,2023-08-29 10:45:00
1693000049,India,Vidisha,Madhya Pradesh,23.53,77.82,Asia/Kolkata,2023-08-29 10:45:00
1693000050,India,Una,Gujarat,20.82,71.03,Asia/Kolkata,2023-08-29 10:45:00
1693000051,India,Solan,Himachal Pradesh,30.92,77.12,Asia/Kolkata,2023-08-29 10:45:00
1693000052,India,Sirmaur,Madhya Pradesh,24.85,81.38,Asia/Kolkata,2023-08-29 10:45:00
1693000053,India,Chamba,Himachal Pradesh,32.57,76.13,Asia/Kolkata,2023-08-29 10:45:00
1693000054,India,Shimla,Himachal Pradesh,31.1,77.17,Asia/Kolkata,2023-08-29 10:45:00
1693000055,India,Bilaspur,Chhattisgarh,22.08,82.15,Asia/Kolkata,2023-08-29 10:45:00
1693000056,India,Kangra,Himachal Pradesh,32.1,76.27,Asia/Kolkata,2023-08-29 10:45:00
1693000057,India,Mandi,Himachal Pradesh,31.72,76.92,Asia/Kolkata,2023-08-29 10:45:00
1693000058,India,Hamirpur,Uttar Pradesh,25.95,80.15,Asia/Kolkata,2023-08-29 10:45:00
1693000059,India,Talab Data,Jammu and Kashmir,32.65,74.93,Asia/Kolkata,2023-08-29 10:45:00
1693000060,India,Anantnag,Jammu and Kashmir,33.73,75.15,Asia/Kolkata,2023-08-29 10:45:00
1693000061,India,Baramula,Jammu and Kashmir,34.21,74.34,Asia/Kolkata,2023-08-29 10:45:00
1693000062,India,Kulgam,Jammu and Kashmir,33.65,75.02,Asia/Kolkata,2023-08-29 10:45:00
1693000063,India,Shupiyan,Jammu and Kashmir,33.72,74.83,Asia/Kolkata,2023-08-29 10:45:00
1693000064,India,Jammu,Jammu and Kashmir,32.73,74.87,Asia/Kolkata,2023-08-29 10:45:00
1693000065,India,Leh,Jammu and Kashmir,34.17,77.58,Asia/Kolkata,2023-08-29 10:45:00
1693000066,India,Srinagar,Jammu and Kashmir,34.09,74.8,Asia/Kolkata,2023-08-29 10:45:00
1693000067,India,Doda,Jammu and Kashmir,33.13,75.57,Asia/Kolkata,2023-08-29 10:45:00
1693000068,India,Pulwama,Jammu and Kashmir,33.88,74.92,Asia/Kolkata,2023-08-29 10:45:00
1693000069,India,Ramban,Jammu and Kashmir,33.25,75.25,Asia/Kolkata,2023-08-29 10:45:00
1693000070,India,Ganderbal,Jammu and Kashmir,34.23,74.78,Asia/Kolkata,2023-08-29 10:45:00
1693000071,India,Udhampur,Jammu and Kashmir,32.93,75.13,Asia/Kolkata,2023-08-29 10:45:00
1693000072,India,Badgam,Jammu and Kashmir,34.02,74.72,Asia/Kolkata,2023-08-29 10:45:00
1693000073,India,Punch,Uttar Pradesh,25.82,79.05,Asia/Kolkata,2023-08-29 10:45:00
1693000074,India,Kupwara,Jammu and Kashmir,34.03,74.26,Asia/Karachi,2023-08-29 10:15:00
1693000075,India,Samba,Jammu and Kashmir,32.57,75.12,Asia/Kolkata,2023-08-29 10:45:00
1693000076,India,Kathua,Jammu and Kashmir,32.37,75.52,Asia/Kolkata,2023-08-29 10:45:00
1693000077,India,Kargil,Jammu and Kashmir,34.57,76.1,Asia/Kolkata,2023-08-29 10:45:00
1693000078,India,Kishtwar,Jammu and Kashmir,33.32,75.77,Asia/Kolkata,2023-08-29 10:45:00
1693000079,India,Daman,Daman and Diu,20.42,72.85,Asia/Kolkata,2023-08-29 10:45:00
1693000080,India,Diu,Daman and Diu,20.7,70.98,Asia/Kolkata,2023-08-29 10:45:00
1693000081,India,Bhavnagar,Gujarat,21.77,72.15,Asia/Kolkata,2023-08-29 10:45:00
1693000082,India,Udaipur,Rajasthan,27.72,75.48,Asia/Kolkata,2023-08-29 10:45:00
1693000083,India,Vadodara,Gujarat,22.3,73.2,Asia/Kolkata,2023-08-29 10:45:00
1693000084,India,Kantha,Uttar Pradesh,26.58,80.75,Asia/Kolkata,2023-08-29 10:45:00
1693000085,India,Surendranagar,Gujarat,22.7,71.68,Asia/Kolkata,2023-08-29 10:45:00
1693000086,India,Anand,Gujarat,22.57,72.93,Asia/Kolkata,2023-08-29 10:45:00
1693000087,India,Amreli,Gujarat,21.62,71.23,Asia/Kolkata,2023-08-29 10:45:00
1693000088,India,Dohad,Gujarat,22.83,74.27,Asia/Kolkata,2023-08-29 10:45:00
1693000089,India,Rajkot,Gujarat,22.3,70.78,Asia/Kolkata,2023-08-29 10:45:00
1693000090,India,Mahesana,Gujarat,23.6,72.4,Asia/Kolkata,2023-08-29 10:45:00
1693000091,India,Patan,Gujarat,23.83,72.12,Asia/Kolkata,2023-08-29 10:45:00
1693000092,India,Bharuch,Gujarat,21.7,72.97,Asia/Kolkata,2023-08-29 10:45:00
1693000093,India,Somnath,Gujarat,20.88,70.37,Asia/Kolkata,2023-08-29 10:45:00
1693000094,India,Junagadh,Gujarat,21.52,70.47,Asia/Kolkata,2023-08-29 10:45:00
1693000095,India,Dwarka,Gujarat,22.24,68.97,Asia/Kolkata,2023-08-29 10:45:00
1693000096,India,Navsari,Gujarat,20.85,72.92,Asia/Kolkata,2023-08-29 10:45:00
1693000097,India,Surat,Gujarat,20.97,72.9,Asia/Kolkata,2023-08-29 10:45:00
1693000098,India,Jamnagar,Gujarat,22.47,70.07,Asia/Kolkata,2023-08-29 10:45:00
1693000099,India,Porbandar,Gujarat,21.63,69.6,Asia/Kolkata,2023-08-29 10:45:00
1693000100,India,Valsad,Gujarat,20.63,72.93,Asia/Kolkata,2023-08-29 10:45:00
1693000101,India,Gandhinagar,Gujarat,23.22,72.68,Asia/Kolkata,2023-08-29 10:45:00
1693000102,India,Morbi,Gujarat,22.82,70.83,Asia/Kolkata,2023-08-29 10:45:00
1693000103,India,Kheda,Gujarat,22.75,72.68,Asia/Kolkata,2023-08-29 10:45:00
1693000104,India,Dadra,Dadra and Nagar Haveli,20.32,72.97,Asia/Kolkata,2023-08-29 10:45:00
1693000105,India,Krishna,Andhra Pradesh,16.17,81.13,Asia/Kolkata,2023-08-29 10:45:00
1693000106,India,East Godavari,Andhra Pradesh,16.93,82.22,Asia/Kolkata,2023-08-29 10:45:00
1693000107,India,Visakhapatnam,Andhra Pradesh,17.7,83.3,Asia/Kolkata,2023-08-29 10:45:00
1693000108,India,Nellore,Andhra Pradesh,14.43,79.97,Asia/Kolkata,2023-08-29 10:45:00
1693000109,India,Chittoor,Andhra Pradesh,13.2,79.12,Asia/Kolkata,2023-08-29 10:45:00
1693000110,India,Srikakulam,Andhra Pradesh,18.3,83.9,Asia/Kolkata,2023-08-29 10:45:00
