StationId,StationName,City,State,Status,Latitude,Longitude
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,16.494222,80.5105858
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,,17.0050454,81.7804732
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,,13.6316368,79.4231711
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,,16.5115306,80.6160469
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,Active,17.6935526,83.2921297
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,Active,26.1805978,91.753943
BR001,"Collectorate, Gaya - BSPCB",Gaya,Bihar,,24.7964355,85.0079563
BR002,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,,24.7964355,85.0079563
BR003,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,,,
BR004,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,,26.1482548,85.3316097
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,Active,25.6093239,85.1235252
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,Active,25.6093239,85.1235252
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,Active,25.6093239,85.1235252
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,Active,25.6093239,85.1235252
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,Active,25.6093239,85.1235252
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,Active,25.6093239,85.1235252
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,Active,30.7334421,76.7797143
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.6138954,77.2090057
